asset_id,event_time,event_type,severity
A-17,2026-03-01T09:00:00Z,corrective,3
A-17,2026-03-29T11:30:00Z,inspection,2
A-31,2026-02-20T14:00:00Z,corrective,2
A-31,2026-03-25T16:45:00Z,corrective,4
B-07,2026-02-18T10:00:00Z,preventive,1
B-07,2026-03-11T08:20:00Z,corrective,4
B-07,2026-03-30T17:10:00Z,failure,5
C-02,2026-03-02T12:00:00Z,inspection,1
C-02,2026-04-02T10:00:00Z,corrective,3
D-12,2026-02-05T15:30:00Z,corrective,2
D-12,2026-04-01T07:45:00Z,inspection,1
E-44,2026-03-07T09:15:00Z,corrective,3
E-44,2026-03-21T13:10:00Z,corrective,4
F-09,2026-01-25T08:00:00Z,corrective,2
F-09,2026-03-28T11:20:00Z,preventive,1
G-55,2026-03-18T10:30:00Z,inspection,1
