asset_id,window_end,temp_c,vibration_mm_s,pressure_kpa,current_a,runtime_hours
A-17,2026-04-04T23:00:00Z,77.5,5.0,315.0,18.8,9098
A-17,2026-04-06T23:00:00Z,82.0,7.8,332.0,22.1,9120
A-17,2026-04-11T12:00:00Z,74.5,4.2,305.0,17.2,9145
A-31,2026-04-05T07:30:00Z,75.0,6.1,304.0,18.3,6192
A-31,2026-04-08T07:30:00Z,78.2,8.9,295.0,19.1,6220
B-07,2026-04-06T12:00:00Z,89.0,5.8,548.0,34.5,11010
B-07,2026-04-08T12:00:00Z,94.0,7.1,575.0,38.2,11040
C-02,2026-04-04T08:00:00Z,62.0,3.4,257.0,23.4,4855
C-02,2026-04-07T08:00:00Z,63.0,3.9,251.0,24.4,4880
C-02,2026-04-10T10:30:00Z,70.0,5.2,273.0,29.8,4910
D-12,2026-04-07T06:00:00Z,54.0,3.8,122.0,9.0,2288
D-12,2026-04-09T06:00:00Z,52.5,3.1,118.0,8.7,2310
D-12,2026-04-11T08:00:00Z,57.0,5.7,131.0,10.8,2336
E-44,2026-04-07T13:20:00Z,80.0,5.5,300.0,20.9,7010
E-44,2026-04-09T13:20:00Z,,6.4,318.0,23.6,7065
E-44,2026-04-12T07:45:00Z,86.0,8.4,342.0,25.1,7140
F-09,2026-04-08T14:00:00Z,84.0,5.9,529.0,30.8,9798
F-09,2026-04-10T14:00:00Z,87.0,6.6,520.0,32.4,9820
G-55,2026-04-10T10:00:00Z,60.0,2.3,262.0,22.4,3488
G-55,2026-04-12T10:00:00Z,61.0,2.6,259.0,22.9,3510
