alloy_id,softening_index,cost_house,cost_lab
A01,4.1419,2.482,6.89
A02,3.6376,2.131,6.237
A03,2.8726,1.971,7.03
A04,2.4137,2.302,6.773
A05,3.4432,1.794,4.896
A06,4.7155,1.992,5.133
A07,3.8832,2.302,7.255
A08,3.6286,2.192,6.367
A09,3.2598,2.323,8.374
A10,4.3124,2.042,6.238
A11,4.6118,2.344,6.954
A12,4.2073,1.905,6.201
A13,2.1729,2.252,5.881
A14,3.1177,2.276,8.147
A15,2.3872,2.007,5.584
A16,2.9675,2.121,7.005
A17,3.6517,2.041,6.546
A18,4.351,1.736,4.41
A19,2.7183,1.795,5.588
A20,4.2947,2.013,5.715
A21,3.7338,2.358,7.375
A22,2.9774,1.997,5.869
A23,2.9976,2.279,7.356
A24,2.6579,2.22,7.807
A25,5.3323,1.746,5.879
A26,3.163,2.105,7.191
A27,2.706,1.934,6.14
A28,4.0034,2.51,9.578
A29,3.0796,2.092,6.395
A30,4.0098,1.963,7.588
A31,3.2013,2.546,7.973
A32,3.3326,2.379,7.723
A33,2.7001,1.82,5.701
A34,3.1551,2.416,7.216
A35,5.1935,2.327,7.485
A36,3.0349,1.864,7.258
A37,4.038,2.372,7.923
A38,2.9743,2.532,6.617
A39,2.255,2.044,7.452
A40,3.7863,2.195,8.627
