alloy_id,banded
A01,0
A01,0
A01,0
A01,0
A02,1
A02,1
A02,0
A02,1
A02,1
A02,1
A03,0
A03,0
A03,1
A03,0
A04,0
A04,0
A04,1
A05,1
A05,1
A05,1
A05,0
A05,0
A05,1
A06,1
A06,1
A06,1
A06,1
A06,1
A06,1
A06,1
A06,1
A06,1
A07,1
A07,1
A07,1
A07,1
A07,1
A07,1
A07,1
A08,1
A08,0
A08,0
A08,1
A08,0
A08,1
A09,1
A09,1
A09,0
A09,1
A09,1
A10,1
A10,1
A10,1
A10,1
A10,1
A10,1
A10,0
A10,1
A11,1
A11,1
A11,1
A11,1
A11,1
A11,1
A11,1
A11,1
A11,1
A12,1
A12,1
A12,1
A12,1
A12,1
A12,1
A12,0
A12,1
A13,0
A13,0
A14,0
A14,0
A14,1
A14,1
A14,0
A15,0
A15,0
A16,1
A16,0
A16,0
A16,1
A16,0
A17,0
A17,1
A17,1
A17,1
A17,1
A17,1
A18,1
A18,1
A18,1
A18,1
A18,1
A18,1
A18,0
A18,1
A19,0
A19,0
A19,1
A19,1
A20,1
A20,1
A20,1
A20,1
A20,1
A20,1
A20,1
A20,1
A21,0
A21,0
A21,0
A21,0
A22,0
A22,1
A22,0
A22,1
A22,0
A23,0
A23,1
A23,0
A23,1
A23,1
A24,1
A24,1
A24,0
A24,0
A25,1
A25,1
A25,1
A25,1
A25,1
A25,1
A25,1
A25,1
A25,1
A25,1
A25,1
A26,1
A26,0
A26,0
A26,0
A26,1
A27,0
A27,0
A27,0
A27,0
A28,1
A28,1
A28,1
A28,1
A28,1
A28,1
A28,1
A29,1
A29,0
A29,0
A29,0
A29,1
A30,1
A30,1
A30,1
A30,1
A30,1
A30,1
A30,1
A31,0
A31,1
A31,0
A31,1
A31,0
A32,1
A32,1
A32,1
A32,0
A32,0
A33,0
A33,0
A33,0
A33,0
A34,0
A34,0
A34,0
A34,0
A35,1
A35,1
A35,1
A35,0
A35,1
A35,1
A35,1
A35,1
A35,0
A35,1
A36,0
A36,0
A36,0
A36,0
A36,1
A37,1
A37,1
A37,1
A37,1
A37,1
A37,1
A37,1
A38,1
A38,0
A38,0
A38,0
A38,1
A39,0
A40,0
A40,0
A40,0
A40,0
