"column","type","description"
"rownames","integer","row index"
"vote","categorical","party the respondent voted for, one of Conservative, Labour, Liberal Democrat"
"age","integer","respondent age in years"
"economic.cond.national","integer","assessment of the national economic conditions on a one to five scale"
"economic.cond.household","integer","assessment of the household economic conditions on a one to five scale"
"Blair","integer","rating of the Labour leader Blair on a one to five scale"
"Hague","integer","rating of the Conservative leader Hague on a one to five scale"
"Kennedy","integer","rating of the Liberal Democrat leader Kennedy on a one to five scale"
"Europe","integer","attitude toward European integration on a one to eleven scale, higher is more Eurosceptic"
"political.knowledge","integer","knowledge of the parties positions on European integration on a zero to three scale"
"gender","categorical","respondent gender, female or male"
