_STATE,split,n_rows,n_positive,weighted_n,weighted_prevalence
1,train,530,98,476085.96,0.143
2,train,636,65,59236.29,0.0793
4,train,1236,173,651048.9,0.1016
5,train,620,111,274253.75,0.1343
6,train,1116,133,3487304.37,0.1141
8,train,1085,96,546105.68,0.0909
10,train,462,68,86083.23,0.1547
11,train,380,37,65324.35,0.0774
12,train,1014,161,1372431.93,0.1372
13,train,966,163,1010980.4,0.1331
15,train,886,108,123074.51,0.1143
16,train,756,88,172033.99,0.1117
21,train,370,62,277023.73,0.122
22,train,618,108,397364.0,0.1439
23,train,1304,174,126017.78,0.1042
25,train,1056,106,641411.99,0.0918
26,train,1112,152,915679.56,0.1095
28,train,498,84,255662.69,0.1529
29,train,1016,148,543190.45,0.1114
31,train,1344,176,174696.13,0.1013
32,train,341,41,327402.98,0.071
33,train,773,98,131336.14,0.0979
34,train,954,109,824092.32,0.1123
35,train,552,80,198287.42,0.1241
36,train,2767,365,1786285.06,0.1234
37,train,521,71,926036.51,0.1266
39,train,1671,272,1083036.48,0.1183
40,train,684,107,356191.95,0.1324
41,train,665,73,385536.88,0.0834
44,train,662,83,102795.52,0.1113
45,train,1134,199,454766.97,0.1498
47,train,604,101,672089.35,0.1585
48,train,1319,207,2497254.75,0.1319
49,train,1198,129,271079.78,0.0849
50,train,881,85,61199.25,0.1025
54,train,622,122,162761.17,0.1694
55,train,1141,159,497966.9,0.1027
72,train,542,104,334747.05,0.1698
9,test,1044,118,313889.08,0.0967
17,test,488,61,1102894.56,0.1419
18,test,1182,187,603990.2,0.1225
19,test,1044,137,286763.44,0.1121
20,test,1459,206,248518.79,0.1084
24,test,1852,272,547471.53,0.1208
27,test,1849,211,505103.39,0.1011
30,test,781,93,100989.23,0.0786
38,test,611,76,71628.46,0.0914
42,test,430,49,814941.82,0.1421
46,test,778,112,74961.63,0.062
51,test,1025,160,754887.49,0.128
53,test,2485,286,701291.68,0.0995
56,test,510,66,53193.14,0.0956
66,test,227,39,14255.43,0.1449
78,test,199,32,6843.02,0.0888
