variable,description,type,domain
row_id,task row identifier (sequential),string,TR/TE prefix + 8-digit
_STATE,state FIPS code (BRFSS),integer,1-99
year,BRFSS survey year,integer,2021|2022|2023
_AGEG5YR,age in 5-year groups (BRFSS code),integer,1=18-24 ... 13=80+
SEXVAR,respondent sex (BRFSS code),integer,1=Male 2=Female
_RACEPRV,race/ethnicity (BRFSS recode),integer,1=White 2=Black ...
EDUCA,education attainment,integer,1=<grade school ... 6=college grad
INCOME3,household annual income bracket,integer,1=<$10k ... 11=$200k+
EMPLOY1,employment status,integer,1=Employed ... 8=Unable to work
_BMI5CAT,BMI category,integer,1=Under 2=Normal 3=Over 4=Obese
BPHIGH6,told had high blood pressure,integer,1=Yes 2=Yes(preg) 3=No 4=Borderline
TOLDHI3,told blood cholesterol is high,integer,1=Yes 2=No
SMOKE100,smoked >= 100 cigarettes lifetime,integer,1=Yes 2=No
_TOTINDA,any leisure-time physical activity,integer,1=Yes 2=No
_LLCPWT,BRFSS final design weight,float,"raked weight, scaled to state population"
_STSTR,design stratum,integer,BRFSS stratum
_PSU,primary sampling unit,integer,BRFSS PSU id
HAVEDIAB,diagnosed diabetes (binary; target),integer,1=ever diagnosed; 0=never
