module,question_variable,asked_2021,asked_2022,asked_2023,notes
Core,DIABETE4,Y,Y,Y,Annual core diabetes question; recoded to HAVEDIAB target
Core,_AGEG5YR,Y,Y,Y,Annual core age group recode
Core,SEXVAR,Y,Y,Y,Annual core respondent sex
Core,EDUCA,Y,Y,Y,Annual core education level
Core,INCOME3,Y,Y,Y,Annual core household income bracket
Core,EMPLOY1,Y,Y,Y,Annual core employment status
Core,_BMI5CAT,Y,Y,Y,Computed BMI category from height + weight
Core,SMOKE100,Y,Y,Y,Annual core smoking ever-100-cigarettes
Core,_TOTINDA,Y,Y,Y,Annual core any leisure physical activity
Hypertension Awareness,BPHIGH6,Y,N,Y,Rotated OFF in 2022 (module rotates biennially); 2022 rows have NA
Cholesterol Awareness,TOLDHI3,Y,N,Y,Rotated OFF in 2022 alongside hypertension
Design,_STATE,Y,Y,Y,State FIPS code (design field)
Design,_LLCPWT,Y,Y,Y,Final raked design weight
Design,_STSTR,Y,Y,Y,Design stratum
Design,_PSU,Y,Y,Y,Primary sampling unit
