_STATE,year,split,n_rows,weight_sum,weight_mean
1,2021,train,195,158856.23,814.6473
1,2022,train,161,153235.65,951.7742
1,2023,train,174,163994.08,942.4947
2,2021,train,207,20101.86,97.1104
2,2022,train,230,20997.62,91.294
2,2023,train,199,18136.81,91.1398
4,2021,train,412,219393.23,532.5078
4,2022,train,382,215118.09,563.1364
4,2023,train,442,216537.57,489.904
5,2021,train,195,92038.77,471.9937
5,2022,train,210,93506.4,445.2686
5,2023,train,215,88708.58,412.598
6,2021,train,264,1168329.36,4425.49
6,2022,train,383,1147693.7,2996.5893
6,2023,train,469,1171281.31,2497.4015
8,2021,train,392,172869.21,440.9929
8,2022,train,363,201915.04,556.2398
8,2023,train,330,171321.43,519.1559
9,2021,test,294,91583.33,311.5079
9,2022,test,402,120161.18,298.9084
9,2023,test,348,102144.57,293.5189
10,2021,train,131,27611.52,210.7749
10,2022,train,158,31096.59,196.8139
10,2023,train,173,27375.12,158.2377
11,2021,train,136,22184.77,163.1233
11,2022,train,125,23190.93,185.5275
11,2023,train,119,19948.65,167.6357
12,2022,train,507,647262.01,1276.6509
12,2023,train,507,725169.92,1430.3154
13,2021,train,316,342734.46,1084.6027
13,2022,train,344,309477.88,899.645
13,2023,train,306,358768.06,1172.4446
15,2021,train,279,37850.79,135.6659
15,2022,train,261,39813.36,152.5416
15,2023,train,346,45410.36,131.2438
16,2021,train,243,54440.21,224.0338
16,2022,train,246,55012.31,223.6273
16,2023,train,267,62581.48,234.3876
17,2021,test,110,311842.82,2834.9347
17,2022,test,160,399782.24,2498.639
17,2023,test,218,391269.5,1794.8142
18,2021,test,338,180570.54,534.2324
18,2022,test,401,210455.43,524.8265
18,2023,test,443,212964.23,480.7319
19,2021,test,367,98121.99,267.3624
19,2022,test,361,100554.32,278.5438
19,2023,test,316,88087.13,278.7567
20,2021,test,685,86822.44,126.7481
20,2022,test,407,80063.57,196.7164
20,2023,test,367,81632.78,222.4326
21,2021,train,212,139617.57,658.5734
21,2022,train,158,137406.17,869.6593
22,2021,train,176,113958.13,647.4894
22,2022,train,215,121379.99,564.5581
22,2023,train,227,162025.88,713.7704
23,2021,train,441,43393.27,98.3974
23,2022,train,375,36634.75,97.6927
23,2023,train,488,45989.76,94.2413
24,2021,test,613,186979.15,305.0231
24,2022,test,602,184644.85,306.719
24,2023,test,637,175847.54,276.0558
25,2021,train,281,218455.0,777.4199
25,2022,train,425,214532.0,504.7812
25,2023,train,350,208424.99,595.5
26,2021,train,402,358530.59,891.8671
26,2022,train,363,283325.69,780.5115
26,2023,train,347,273823.29,789.1161
27,2021,test,607,170546.75,280.9666
27,2022,test,613,165884.44,270.6108
27,2023,test,629,168672.2,268.1593
28,2021,train,175,75117.06,429.2404
28,2022,train,166,93090.05,560.7834
28,2023,train,157,87455.59,557.0419
29,2021,train,485,192493.51,396.8938
29,2022,train,264,166278.6,629.8432
29,2023,train,267,184418.34,690.7054
30,2021,test,239,30527.31,127.7293
30,2022,test,249,32923.95,132.2247
30,2023,test,293,37537.98,128.116
31,2021,train,569,54391.8,95.5919
31,2022,train,304,62727.78,206.3414
31,2023,train,471,57576.55,122.2432
32,2021,train,125,111313.94,890.5115
32,2022,train,118,97902.86,829.6853
32,2023,train,98,118186.17,1205.9813
33,2021,train,251,47890.67,190.7995
33,2022,train,255,41008.67,160.8183
33,2023,train,267,42436.8,158.9393
34,2021,train,311,262247.52,843.2396
34,2022,train,316,294703.69,932.6066
34,2023,train,327,267141.11,816.9453
35,2021,train,232,62270.87,268.4089
35,2022,train,191,74037.6,387.6314
35,2023,train,129,61978.95,480.457
36,2021,train,1445,632326.95,437.5965
36,2022,train,690,607970.54,881.1167
36,2023,train,632,545987.58,863.9044
37,2021,train,196,321365.93,1639.6221
37,2022,train,177,301061.31,1700.9113
37,2023,train,148,303609.27,2051.414
38,2021,test,222,24706.52,111.2906
38,2022,test,159,23211.54,145.9845
38,2023,test,230,23710.4,103.0887
39,2021,train,526,344614.24,655.1601
39,2022,train,613,325509.24,531.0102
39,2023,train,532,412913.01,776.1523
40,2021,train,203,117476.35,578.7012
40,2022,train,236,122924.92,520.8683
40,2023,train,245,115790.68,472.615
41,2021,train,202,125522.43,621.3981
41,2022,train,224,134989.44,602.6314
41,2023,train,239,125025.02,523.1172
42,2021,test,262,460518.05,1757.7025
42,2022,test,168,354423.77,2109.6653
44,2021,train,232,34465.42,148.5579
44,2022,train,223,38109.18,170.8932
44,2023,train,207,30220.91,145.9948
45,2021,train,395,139113.79,352.1868
45,2022,train,363,162559.94,447.8235
45,2023,train,376,153093.24,407.1629
46,2021,test,261,18730.99,71.7663
46,2022,test,291,28058.75,96.4218
46,2023,test,226,28171.88,124.6543
47,2021,train,192,232348.13,1210.1465
47,2022,train,222,254799.82,1147.7469
47,2023,train,190,184941.4,973.3758
48,2021,train,404,805055.12,1992.7107
48,2022,train,538,861844.47,1601.9414
48,2023,train,377,830355.15,2202.5336
49,2021,train,397,87496.84,220.3951
49,2022,train,392,95250.53,242.9861
49,2023,train,409,88332.41,215.9717
50,2021,train,249,18720.92,75.1844
50,2022,train,340,21180.78,62.2964
50,2023,train,292,21297.55,72.9368
51,2021,test,363,223916.47,616.8498
51,2022,test,406,246115.66,606.1962
51,2023,test,256,284855.36,1112.7163
53,2021,test,504,238871.44,473.9513
53,2022,test,977,232507.47,237.981
53,2023,test,1004,229912.76,228.9968
54,2021,train,278,57818.9,207.9816
54,2022,train,161,47661.91,296.0367
54,2023,train,183,57280.36,313.0074
55,2021,train,251,173818.37,692.5035
55,2022,train,409,166118.39,406.1574
55,2023,train,481,158030.14,328.545
56,2021,test,185,18407.35,99.4992
56,2022,test,163,18011.15,110.4978
56,2023,test,162,16774.65,103.5472
66,2021,test,65,4182.15,64.3408
66,2022,test,93,4880.01,52.4733
66,2023,test,69,5193.26,75.2647
72,2021,train,151,113878.52,754.1624
72,2022,train,224,123455.72,551.1416
72,2023,train,167,97412.81,583.3102
78,2021,test,59,2536.76,42.9959
78,2022,test,55,1898.66,34.5212
78,2023,test,85,2407.6,28.3247
