cartridge_id,read_margin,cost_bench,cost_lab
T01,23.1042,2.64,7.348
T02,28.5246,2.07,7.628
T03,32.2864,2.96,9.312
T04,11.0,2.918,10.083
T05,18.6149,2.248,6.762
T06,24.9815,2.81,8.652
T07,26.5266,2.7,8.62
T08,22.4035,2.682,10.24
T09,28.6744,2.542,6.712
T10,20.5392,2.25,8.067
T11,19.5667,2.013,6.84
T12,21.7586,2.16,7.175
T13,20.9905,2.242,8.54
T14,19.667,2.96,10.005
T15,29.4991,2.965,11.23
T16,28.6747,2.298,7.2
T17,27.714,2.35,6.682
T18,17.3151,2.825,7.422
T19,21.0303,2.502,8.63
T20,18.1792,2.835,9.622
T21,24.9069,2.71,6.885
T22,22.4534,2.9,9.492
T23,31.0899,2.988,11.448
T24,24.2854,2.902,9.3
T25,19.4594,2.295,6.555
T26,30.5204,2.672,10.588
T27,24.7856,2.08,7.09
T28,38.0003,2.648,10.492
T29,23.8523,2.385,6.065
T30,25.387,2.305,8.09
T31,22.5549,2.77,9.75
T32,34.9049,2.425,9.433
T33,21.5383,2.665,8.08
T34,30.6618,2.98,9.718
T35,28.179,2.185,6.792
T36,24.3159,2.49,7.08
T37,35.3754,2.152,5.472
T38,22.7393,2.442,7.218
T39,26.2208,2.66,8.765
T40,21.4106,2.245,7.1
