row_id,split,year,nct_id,brief_title,condition_group,sponsor_type,phase,enrollment,sites_planned,duration_months,eligibility_word_count,country_count,prior_amendment_count,rare_disease,gene_therapy,protocol_amendment_burden
1,train,2023,NCT09000002,rare disease rare genetic,rare_disease,government,phase4,104,1,4,213,1,1,1,0,0
2,train,2023,NCT09000003,cardiology,cardiology,academic,phase2,75,3,16,114,1,2,0,0,0
3,train,2023,NCT09000004,rare disease rare genetic,rare_disease,academic,phase2,260,4,30,152,2,2,1,1,0
4,train,2023,NCT09000005,metabolic,metabolic,industry,phase2,180,4,27,167,2,1,0,1,0
5,train,2023,NCT09000006,infectious basket platform,infectious,industry,phase3,265,2,10,228,1,6,0,0,1
6,train,2023,NCT09000007,neurology first in human long term extension,neurology,small_biotech,phase3,43,1,4,168,1,2,0,0,0
7,train,2023,NCT09000008,oncology adaptive basket long term extension,oncology,academic,phase1,106,1,10,278,1,2,0,0,0
8,train,2023,NCT09000009,infectious basket basket first in human long term extension,infectious,small_biotech,phase3,236,8,40,200,2,5,0,0,0
9,train,2023,NCT09000010,cardiology dose adaptive,cardiology,government,phase3,110,11,31,152,1,3,0,0,0
10,train,2023,NCT09000011,neurology adaptive platform,neurology,academic,phase2,73,1,6,248,2,4,0,0,0
11,train,2023,NCT09000012,cardiology,cardiology,industry,phase4,29,5,23,143,3,1,0,0,0
12,train,2023,NCT09000013,neurology long term extension,neurology,government,phase4,157,4,33,184,2,0,0,0,0
13,train,2023,NCT09000014,neurology long term extension,neurology,industry,phase2,43,6,25,239,3,3,0,0,0
14,train,2023,NCT09000015,rare disease rare genetic first in human,rare_disease,small_biotech,phase1,45,1,10,251,1,2,1,0,1
15,train,2023,NCT09000016,metabolic platform dose,metabolic,academic,phase3,161,8,24,297,1,4,0,0,0
16,train,2023,NCT09000017,neurology,neurology,academic,phase2,175,1,16,179,3,0,0,0,0
17,train,2023,NCT09000018,oncology adaptive device,oncology,academic,phase4,20,7,19,216,1,2,0,0,0
18,train,2023,NCT09000019,infectious pediatric registry long term extension,infectious,government,phase3,314,4,40,294,2,4,0,0,0
19,train,2023,NCT09000020,neurology pediatric pediatric,neurology,academic,phase3,49,11,32,197,1,3,0,0,0
20,train,2023,NCT09000021,neurology rare genetic first in human,neurology,small_biotech,phase2,66,5,6,210,1,0,1,0,1
21,train,2023,NCT09000022,rare disease rare genetic,rare_disease,industry,phase2,185,5,35,164,1,1,1,0,0
22,train,2023,NCT09000023,metabolic,metabolic,industry,phase3,274,10,32,80,5,2,0,0,0
23,train,2023,NCT09000024,neurology,neurology,academic,phase4,160,3,32,179,3,0,0,0,1
24,train,2023,NCT09000025,infectious first in human long term extension,infectious,small_biotech,phase3,60,6,40,195,1,4,0,0,0
25,train,2023,NCT09000026,oncology,oncology,industry,phase3,41,16,35,200,5,2,0,0,0
26,train,2023,NCT09000027,neurology decentralized decentralized first in human,neurology,small_biotech,phase2,76,,21,257,1,3,0,0,0
27,train,2023,NCT09000028,neurology,neurology,academic,phase1,29,4,16,168,1,3,0,0,0
28,train,2023,NCT09000029,infectious,infectious,government,phase1,83,3,9,257,1,1,0,0,0
29,train,2023,NCT09000030,infectious,infectious,industry,phase2,259,4,28,135,2,2,0,1,0
30,train,2023,NCT09000031,oncology first in human long term extension,oncology,small_biotech,phase3,83,7,30,164,1,4,0,0,0
31,train,2023,NCT09000032,metabolic long term extension,metabolic,government,phase1,107,1,21,118,4,3,0,0,1
32,train,2023,NCT09000033,metabolic long term extension,metabolic,academic,phase4,42,3,23,115,1,2,0,0,0
33,train,2023,NCT09000034,rare disease rare genetic first in human,rare_disease,small_biotech,phase4,14,3,4,200,1,2,1,0,0
34,train,2023,NCT09000035,cardiology first in human,cardiology,small_biotech,phase1,49,5,32,250,1,3,0,0,0
35,train,2023,NCT09000036,oncology,oncology,academic,phase4,39,,19,214,2,3,0,0,0
36,train,2023,NCT09000037,rare disease biomarker platform rare genetic first in human long term extension,rare_disease,small_biotech,phase1,31,2,22,356,1,2,1,1,1
37,train,2023,NCT09000038,metabolic,metabolic,academic,phase1,37,2,14,235,1,2,0,0,0
38,train,2023,NCT09000039,oncology,oncology,academic,phase1,49,4,15,138,3,1,0,0,0
39,train,2023,NCT09000040,cardiology,cardiology,industry,phase4,30,2,9,252,4,2,0,0,0
40,train,2023,NCT09000041,neurology long term extension,neurology,industry,phase3,223,,16,95,2,4,0,0,1
41,train,2023,NCT09000042,infectious,infectious,government,phase1,148,2,4,286,2,3,0,0,0
42,train,2023,NCT09000043,oncology rare genetic,oncology,academic,phase2,18,1,7,225,1,0,1,0,0
43,train,2023,NCT09000044,neurology first in human,neurology,small_biotech,phase1,184,2,7,171,3,1,0,0,0
44,train,2023,NCT09000045,oncology,oncology,industry,phase1,31,3,4,169,1,3,0,0,1
45,train,2023,NCT09000046,metabolic,metabolic,government,phase2,83,2,11,189,1,1,0,0,0
46,train,2023,NCT09000047,infectious long term extension,infectious,government,phase2,113,,4,181,3,1,0,0,1
47,train,2023,NCT09000048,oncology pediatric registry rare genetic,oncology,government,phase2,56,4,14,298,3,4,1,0,1
48,train,2023,NCT09000049,infectious,infectious,government,phase1,124,,21,232,3,1,0,0,0
49,train,2023,NCT09000050,rare disease platform extension rare genetic,rare_disease,government,phase4,21,2,14,230,3,2,1,0,1
50,train,2023,NCT09000051,neurology long term extension,neurology,academic,phase1,50,5,27,226,1,1,0,0,0
