column,level
split,train
split,validation
split,test
nct_id,NCT09000002
nct_id,NCT09000003
nct_id,NCT09000004
nct_id,NCT09000005
nct_id,NCT09000006
nct_id,NCT09000007
nct_id,NCT09000008
nct_id,NCT09000009
nct_id,NCT09000010
nct_id,NCT09000011
nct_id,NCT09000012
nct_id,NCT09000013
nct_id,NCT09000014
nct_id,NCT09000015
nct_id,NCT09000016
nct_id,NCT09000017
nct_id,NCT09000018
nct_id,NCT09000019
nct_id,NCT09000020
nct_id,NCT09000021
nct_id,NCT09000022
nct_id,NCT09000023
nct_id,NCT09000024
nct_id,NCT09000025
nct_id,NCT09000026
brief_title,rare disease rare genetic
brief_title,cardiology
brief_title,metabolic
brief_title,infectious basket platform
brief_title,neurology first in human long term extension
brief_title,oncology adaptive basket long term extension
brief_title,infectious basket basket first in human long term extension
brief_title,cardiology dose adaptive
brief_title,neurology adaptive platform
brief_title,neurology long term extension
brief_title,rare disease rare genetic first in human
brief_title,metabolic platform dose
brief_title,neurology
brief_title,oncology adaptive device
brief_title,infectious pediatric registry long term extension
brief_title,neurology pediatric pediatric
brief_title,neurology rare genetic first in human
brief_title,infectious first in human long term extension
brief_title,oncology
brief_title,neurology decentralized decentralized first in human
brief_title,infectious
brief_title,oncology first in human long term extension
brief_title,metabolic long term extension
brief_title,cardiology first in human
brief_title,rare disease biomarker platform rare genetic first in human long term extension
condition_group,rare_disease
condition_group,cardiology
condition_group,metabolic
condition_group,infectious
condition_group,neurology
condition_group,oncology
sponsor_type,government
sponsor_type,academic
sponsor_type,industry
sponsor_type,small_biotech
phase,phase4
phase,phase2
phase,phase3
phase,phase1
