row_id,split,year,nct_id,brief_title,condition_group,sponsor_type,phase,enrollment,sites_planned,duration_months,eligibility_word_count,country_count,prior_amendment_count,rare_disease,gene_therapy,protocol_amendment_burden
1,train,2023,NCT09000002,rare disease rare genetic,rare_disease,government,phase4,104,1,4,213,1,1,1,0,0
2,train,2023,NCT09000003,cardiology,cardiology,academic,phase2,75,3,16,114,1,2,0,0,0
3,train,2023,NCT09000004,rare disease rare genetic,rare_disease,academic,phase2,260,4,30,152,2,2,1,1,0
4,train,2023,NCT09000005,metabolic,metabolic,industry,phase2,180,4,27,167,2,1,0,1,0
5,train,2023,NCT09000006,infectious basket platform,infectious,industry,phase3,265,2,10,228,1,6,0,0,1
6,train,2023,NCT09000007,neurology first in human long term extension,neurology,small_biotech,phase3,43,1,4,168,1,2,0,0,0
7,train,2023,NCT09000008,oncology adaptive basket long term extension,oncology,academic,phase1,106,1,10,278,1,2,0,0,0
8,train,2023,NCT09000009,infectious basket basket first in human long term extension,infectious,small_biotech,phase3,236,8,40,200,2,5,0,0,0
9,train,2023,NCT09000010,cardiology dose adaptive,cardiology,government,phase3,110,11,31,152,1,3,0,0,0
10,train,2023,NCT09000011,neurology adaptive platform,neurology,academic,phase2,73,1,6,248,2,4,0,0,0
11,train,2023,NCT09000012,cardiology,cardiology,industry,phase4,29,5,23,143,3,1,0,0,0
12,train,2023,NCT09000013,neurology long term extension,neurology,government,phase4,157,4,33,184,2,0,0,0,0
13,train,2023,NCT09000014,neurology long term extension,neurology,industry,phase2,43,6,25,239,3,3,0,0,0
14,train,2023,NCT09000015,rare disease rare genetic first in human,rare_disease,small_biotech,phase1,45,1,10,251,1,2,1,0,1
15,train,2023,NCT09000016,metabolic platform dose,metabolic,academic,phase3,161,8,24,297,1,4,0,0,0
16,train,2023,NCT09000017,neurology,neurology,academic,phase2,175,1,16,179,3,0,0,0,0
17,train,2023,NCT09000018,oncology adaptive device,oncology,academic,phase4,20,7,19,216,1,2,0,0,0
18,train,2023,NCT09000019,infectious pediatric registry long term extension,infectious,government,phase3,314,4,40,294,2,4,0,0,0
19,train,2023,NCT09000020,neurology pediatric pediatric,neurology,academic,phase3,49,11,32,197,1,3,0,0,0
20,train,2023,NCT09000021,neurology rare genetic first in human,neurology,small_biotech,phase2,66,5,6,210,1,0,1,0,1
21,train,2023,NCT09000022,rare disease rare genetic,rare_disease,industry,phase2,185,5,35,164,1,1,1,0,0
22,train,2023,NCT09000023,metabolic,metabolic,industry,phase3,274,10,32,80,5,2,0,0,0
23,train,2023,NCT09000024,neurology,neurology,academic,phase4,160,3,32,179,3,0,0,0,1
24,train,2023,NCT09000025,infectious first in human long term extension,infectious,small_biotech,phase3,60,6,40,195,1,4,0,0,0
25,train,2023,NCT09000026,oncology,oncology,industry,phase3,41,16,35,200,5,2,0,0,0
26,train,2023,NCT09000027,neurology decentralized decentralized first in human,neurology,small_biotech,phase2,76,,21,257,1,3,0,0,0
27,train,2023,NCT09000028,neurology,neurology,academic,phase1,29,4,16,168,1,3,0,0,0
28,train,2023,NCT09000029,infectious,infectious,government,phase1,83,3,9,257,1,1,0,0,0
29,train,2023,NCT09000030,infectious,infectious,industry,phase2,259,4,28,135,2,2,0,1,0
30,train,2023,NCT09000031,oncology first in human long term extension,oncology,small_biotech,phase3,83,7,30,164,1,4,0,0,0
31,train,2023,NCT09000032,metabolic long term extension,metabolic,government,phase1,107,1,21,118,4,3,0,0,1
32,train,2023,NCT09000033,metabolic long term extension,metabolic,academic,phase4,42,3,23,115,1,2,0,0,0
33,train,2023,NCT09000034,rare disease rare genetic first in human,rare_disease,small_biotech,phase4,14,3,4,200,1,2,1,0,0
34,train,2023,NCT09000035,cardiology first in human,cardiology,small_biotech,phase1,49,5,32,250,1,3,0,0,0
35,train,2023,NCT09000036,oncology,oncology,academic,phase4,39,,19,214,2,3,0,0,0
36,train,2023,NCT09000037,rare disease biomarker platform rare genetic first in human long term extension,rare_disease,small_biotech,phase1,31,2,22,356,1,2,1,1,1
37,train,2023,NCT09000038,metabolic,metabolic,academic,phase1,37,2,14,235,1,2,0,0,0
38,train,2023,NCT09000039,oncology,oncology,academic,phase1,49,4,15,138,3,1,0,0,0
39,train,2023,NCT09000040,cardiology,cardiology,industry,phase4,30,2,9,252,4,2,0,0,0
40,train,2023,NCT09000041,neurology long term extension,neurology,industry,phase3,223,,16,95,2,4,0,0,1
41,train,2023,NCT09000042,infectious,infectious,government,phase1,148,2,4,286,2,3,0,0,0
42,train,2023,NCT09000043,oncology rare genetic,oncology,academic,phase2,18,1,7,225,1,0,1,0,0
43,train,2023,NCT09000044,neurology first in human,neurology,small_biotech,phase1,184,2,7,171,3,1,0,0,0
44,train,2023,NCT09000045,oncology,oncology,industry,phase1,31,3,4,169,1,3,0,0,1
45,train,2023,NCT09000046,metabolic,metabolic,government,phase2,83,2,11,189,1,1,0,0,0
46,train,2023,NCT09000047,infectious long term extension,infectious,government,phase2,113,,4,181,3,1,0,0,1
47,train,2023,NCT09000048,oncology pediatric registry rare genetic,oncology,government,phase2,56,4,14,298,3,4,1,0,1
48,train,2023,NCT09000049,infectious,infectious,government,phase1,124,,21,232,3,1,0,0,0
49,train,2023,NCT09000050,rare disease platform extension rare genetic,rare_disease,government,phase4,21,2,14,230,3,2,1,0,1
50,train,2023,NCT09000051,neurology long term extension,neurology,academic,phase1,50,5,27,226,1,1,0,0,0
51,train,2023,NCT09000052,rare disease rare genetic long term extension,rare_disease,industry,phase1,119,2,4,191,2,1,1,0,0
52,train,2023,NCT09000053,infectious first in human,infectious,small_biotech,phase4,45,4,12,199,1,1,0,0,0
53,train,2023,NCT09000054,cardiology,cardiology,industry,phase4,121,2,15,190,1,0,0,0,0
54,train,2023,NCT09000055,oncology,oncology,government,phase1,108,1,9,209,1,1,0,0,0
55,train,2023,NCT09000056,infectious,infectious,government,phase3,28,5,14,256,4,4,0,0,1
56,train,2023,NCT09000057,infectious basket dose long term extension,infectious,government,phase3,88,18,34,232,3,4,0,1,0
57,train,2023,NCT09000058,metabolic rare genetic,metabolic,government,phase4,35,13,28,231,1,2,1,0,0
58,train,2023,NCT09000059,oncology basket device long term extension,oncology,industry,phase4,82,2,11,256,3,2,0,0,1
59,train,2023,NCT09000060,neurology long term extension,neurology,government,phase2,103,12,32,241,3,2,0,0,0
60,train,2023,NCT09000061,infectious dose registry,infectious,academic,phase4,192,1,16,226,1,3,0,0,1
61,train,2023,NCT09000062,neurology,neurology,industry,phase4,110,23,42,170,3,1,0,0,0
62,train,2023,NCT09000063,metabolic adaptive biomarker,metabolic,industry,phase3,293,6,27,244,3,5,0,0,1
63,train,2023,NCT09000064,oncology,oncology,industry,phase3,35,,36,180,2,4,0,1,0
64,train,2023,NCT09000065,neurology,neurology,industry,phase4,43,4,24,147,3,1,0,0,0
65,train,2023,NCT09000066,metabolic decentralized extension long term extension,metabolic,academic,phase1,45,2,17,253,1,1,0,0,0
66,train,2023,NCT09000067,oncology long term extension,oncology,industry,phase4,512,6,32,170,5,1,0,0,0
67,train,2023,NCT09000068,oncology first in human,oncology,small_biotech,phase2,141,3,7,151,1,2,0,0,0
68,train,2023,NCT09000069,rare disease rare genetic long term extension,rare_disease,academic,phase3,129,7,33,247,2,2,1,1,0
69,train,2023,NCT09000070,rare disease rare genetic,rare_disease,academic,phase1,83,3,10,216,1,2,1,0,1
70,train,2023,NCT09000071,oncology first in human,oncology,small_biotech,phase2,151,4,19,154,1,1,0,0,0
71,train,2023,NCT09000072,infectious,infectious,government,phase2,48,17,31,212,2,0,0,0,0
72,train,2023,NCT09000073,metabolic basket adaptive,metabolic,academic,phase3,76,4,30,291,2,5,0,0,0
73,train,2023,NCT09000074,neurology first in human,neurology,small_biotech,phase1,72,2,16,174,2,1,0,0,0
74,train,2023,NCT09000075,oncology,oncology,government,phase2,125,8,25,217,1,3,0,0,0
75,train,2023,NCT09000076,oncology,oncology,government,phase3,145,1,16,208,1,4,0,0,0
76,train,2023,NCT09000077,metabolic pediatric biomarker,metabolic,academic,phase1,14,2,4,248,1,4,0,0,0
77,train,2023,NCT09000078,neurology long term extension,neurology,government,phase2,211,4,19,206,1,1,0,0,0
78,train,2023,NCT09000079,infectious biomarker dose first in human long term extension,infectious,small_biotech,phase2,82,1,8,237,1,4,0,0,0
79,train,2023,NCT09000080,metabolic long term extension,metabolic,academic,phase1,60,8,38,251,2,3,0,0,0
80,train,2023,NCT09000081,infectious pediatric device first in human,infectious,small_biotech,phase3,127,7,18,310,2,6,0,0,0
81,train,2023,NCT09000082,oncology,oncology,industry,phase4,24,1,8,185,2,2,0,0,0
82,train,2023,NCT09000083,metabolic pediatric basket,metabolic,academic,phase2,183,5,18,203,1,3,0,0,0
83,train,2023,NCT09000084,oncology,oncology,industry,phase4,120,4,14,254,4,3,0,0,1
84,train,2023,NCT09000085,neurology decentralized extension first in human long term extension,neurology,small_biotech,phase3,230,3,22,211,1,3,0,0,1
85,train,2023,NCT09000086,rare disease rare genetic,rare_disease,academic,phase1,21,11,36,270,2,2,1,1,0
86,train,2023,NCT09000087,oncology platform registry,oncology,academic,phase2,169,1,9,291,1,3,0,0,0
87,train,2023,NCT09000088,infectious basket pediatric first in human long term extension,infectious,small_biotech,phase2,66,5,29,309,2,4,0,1,1
88,train,2023,NCT09000089,neurology,neurology,government,phase4,62,,19,202,1,1,0,0,0
89,train,2023,NCT09000090,rare disease rare genetic first in human long term extension,rare_disease,small_biotech,phase2,57,1,21,176,1,1,1,1,0
90,train,2023,NCT09000091,infectious,infectious,academic,phase2,74,4,18,180,1,0,0,0,0
91,train,2023,NCT09000092,metabolic decentralized decentralized,metabolic,industry,phase4,128,3,14,233,2,4,0,0,0
92,train,2023,NCT09000093,metabolic adaptive registry long term extension,metabolic,government,phase4,50,1,8,255,1,4,0,0,0
93,train,2023,NCT09000094,oncology rare genetic first in human long term extension,oncology,small_biotech,phase1,38,3,15,266,1,3,1,1,1
94,train,2023,NCT09000095,infectious,infectious,academic,phase4,25,1,10,154,1,2,0,0,0
95,train,2023,NCT09000096,infectious first in human,infectious,small_biotech,phase1,208,1,20,148,1,1,0,0,0
96,train,2023,NCT09000097,metabolic,metabolic,academic,phase1,160,8,20,267,1,2,0,0,0
97,train,2023,NCT09000098,rare disease rare genetic,rare_disease,industry,phase3,106,9,45,212,4,3,1,0,0
98,train,2023,NCT09000099,neurology,neurology,academic,phase3,45,10,26,95,3,2,0,0,0
99,train,2023,NCT09000100,neurology,neurology,academic,phase1,89,2,7,225,1,2,0,0,0
100,train,2023,NCT09000101,neurology platform extension,neurology,academic,phase2,291,2,12,212,1,2,0,0,0
101,train,2023,NCT09000102,metabolic basket extension rare genetic first in human,metabolic,small_biotech,phase2,96,3,32,343,1,4,1,0,0
102,train,2023,NCT09000103,rare disease extension platform rare genetic,rare_disease,academic,phase1,40,3,15,297,2,3,1,1,1
103,train,2023,NCT09000104,cardiology rare genetic,cardiology,academic,phase1,52,1,5,313,1,3,1,0,0
104,train,2023,NCT09000105,metabolic,metabolic,academic,phase2,75,1,18,178,1,3,0,1,0
105,train,2023,NCT09000106,infectious,infectious,academic,phase3,147,9,39,197,1,2,0,0,0
106,train,2023,NCT09000107,infectious,infectious,government,phase4,103,3,18,190,3,3,0,0,0
107,train,2023,NCT09000108,neurology first in human,neurology,small_biotech,phase3,68,8,29,137,1,2,0,0,0
108,train,2023,NCT09000109,rare disease rare genetic long term extension,rare_disease,academic,phase4,37,2,4,281,4,1,1,0,1
109,train,2023,NCT09000110,neurology,neurology,government,phase1,43,1,19,288,2,1,0,0,0
110,train,2023,NCT09000111,cardiology first in human,cardiology,small_biotech,phase2,88,4,21,89,1,1,0,0,1
111,train,2023,NCT09000112,oncology rare genetic first in human long term extension,oncology,small_biotech,phase1,11,9,20,281,1,3,1,0,0
