corridor_id,window_id,mean_mps,bearing_deg
C-NE-01,W-101,1.39,187
C-NE-01,W-102,0.55,200
C-NE-02,W-101,0.88,72
C-NE-02,W-102,1.28,110
C-NE-03,W-101,0.56,213
C-NE-03,W-102,0.57,226
C-GL-01,W-201,0.55,200
C-GL-01,W-202,0.56,213
C-GL-01,W-203,0.57,226
C-GL-02,W-201,0.92,140
C-GL-02,W-202,1.19,170
C-GL-02,W-203,0.58,239
C-GL-03,W-201,1.21,200
C-GL-03,W-202,0.93,90
C-GL-03,W-203,1.38,75
C-GL-04,W-201,0.58,239
C-GL-04,W-202,0.59,252
C-GL-04,W-203,0.6,265
C-GL-05,W-201,0.59,252
C-GL-05,W-202,0.6,265
C-GL-05,W-203,0.61,278
C-SO-01,W-301,1.05,55
C-SO-01,W-302,0.82,80
C-SO-02,W-301,0.72,61
C-SO-02,W-302,0.73,74
C-EA-01,W-401,0.74,33
C-EA-01,W-402,1.22,220
