year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,0,0,,
1971,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,0,0,,
1972,2013,AK,Aleutians East Borough,rural  ,West,Pacific,6985.1,0,0,,
1973,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,0,0,,
1974,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,0,0,,
1975,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,0,0,,
1976,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,0,0,,
1977,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,0,0,,
1978,2013,AK,Aleutians East Borough,RURAL,West,Pacific,6985.1,0,0,,
1979,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,0,0,,
1980,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,1609,1184,,
1981,2013,AK,Aleutians East Borough,rural  ,West,Pacific,6985.1,1490,1105,,
1982,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,1754,1314,,
1983,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,1810,1368,,
1984,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,1825,1382,,
1985,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,1753,1331,,
1986,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,1861,1421,,
1987,2013,AK,Aleutians East Borough,Rural,West,Pacific,6985.1,1930,1472,,
1988,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2187,1685,,
1988,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2187,1685,,
1989,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2439,1891,,
1990,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2477,1930,,
1991,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2507,1903,,
1992,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2605,1991,,
1993,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2557,1982,,
1994,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2510,1963,,
1995,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2619,2075,,
1996,2013,AK,Aleutians East Borough,Rural,West,Pacific,6985.1,2709,2164,,
1997,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2768,2229,,
1998,2013,AK,Aleutians East Borough,RURAL,West,Pacific,6985.1,2750,2252,,
1999,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2739,2291,,
2000,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2693,2260,,
2001,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2590,2182,,
2002,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2734,2332,,
2003,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2732,2342,,
2004,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2727,2348,,
2005,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2787,2397,,
2006,2013,AK,Aleutians East Borough,Rural,West,Pacific,6985.1,2794,2390,,
2007,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3012,2601,,
2007,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3012,2601,,
2008,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,2991,2557,,
2009,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3084,2628,,
2010,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3141,2670,,
2011,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3170,2691,,
2012,2013,AK,Aleutians East Borough,  RURAL ,West,Pacific,6985.1,3262,2764,,
2013,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3304,2792,,
2014,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3324,2796,,
2015,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3325,2801,,
2016,2013,AK,Aleutians East Borough,rural,West,Pacific,6985.1,3346,2799,,
1970,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,0,0,,
1971,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,0,0,,
1972,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,0,0,,
1973,2016,AK,Aleutians West Census Area,RURAL,West,Pacific,4392.547,0,0,,
1974,2016,AK,Aleutians West Census Area,rural  ,West,Pacific,4392.547,0,0,,
1975,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,0,0,,
1976,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,0,0,,
1977,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,0,0,,
1977,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,0,0,,
1978,2016,AK,Aleutians West Census Area, rural,West,Pacific,4392.547,0,0,,
1979,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,0,0,,
1980,2016,AK,Aleutians West Census Area,rural  ,West,Pacific,4392.547,6182,4881,,
1981,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,6489,5145,,
1982,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,7091,5656,,
1983,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,7278,5816,,
1984,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,7565,6047,,
1985,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,7979,6366,,
1986,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,7932,6330,,
1987,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,8384,6669,,
1988,2016,AK,Aleutians West Census Area,Rural,West,Pacific,4392.547,8546,6849,,
1989,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,9306,7494,,
1990,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,9599,7827,,
1990,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,9599,7827,,
1991,2016,AK,Aleutians West Census Area,RURAL,West,Pacific,4392.547,9435,7562,,
1992,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,9334,7507,,
1993,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,10160,8057,,
1994,2016,AK,Aleutians West Census Area,RURAL,West,Pacific,4392.547,7291,5946,,
1994,2016,AK,Aleutians West Census Area,RURAL,West,Pacific,4392.547,7291,5946,,
1995,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5964,4979,,
1996,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5984,5002,,
1997,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5373,4427,,
1998,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5339,4396,,
1999,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5396,4510,,
2000,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5470,4573,,
2001,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5501,4616,,
2002,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5472,4581,,
2003,2016,AK,Aleutians West Census Area,rural  ,West,Pacific,4392.547,5709,4819,,
2004,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5798,4948,,
2005,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5913,5040,,
2006,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5658,4821,,
2007,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5466,4634,,
2008,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5393,4561,,
2009,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5537,4670,,
2010,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5561,4710,,
2011,2016,AK,Aleutians West Census Area,Rural,West,Pacific,4392.547,5564,4713,,
2012,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5587,4726,,
2013,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5689,4827,,
2014,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5752,4866,,
2015,2016,AK,Aleutians West Census Area,rural,West,Pacific,4392.547,5839,4918,,
2016,2016,AK,Aleutians West Census Area, rural,West,Pacific,4392.547,5818,4898,,
1970,2020,AK,Anchorage Municipality,small/mid,West,Pacific,1706.393,128026,83454,,
