year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,1001,AL,Autauga County,small/mid,South,East South Central,594.449,24661,14154,0,
1971,1001,AL,Autauga County,small/mid,South,East South Central,594.449,25503,14765,0,
1972,1001,AL,Autauga County,Small/mid,South,East South Central,594.449,27156,15939,0,
1973,1001,AL,Autauga County,small/mid,South,East South Central,594.449,28453,16906,0,
1974,1001,AL,Autauga County,small/mid,South,East South Central,594.449,29261,17578,0,
1975,1001,AL,Autauga County,small/mid,South,East South Central,594.449,29716,18007,0,
1976,1001,AL,Autauga County,small/mid,South,East South Central,594.449,29892,18476,0,
1976,1001,AL,Autauga County,small/mid,South,East South Central,594.449,29892,18476,0,
1977,1001,AL,Autauga County,Small/mid,South,East South Central,594.449,30457,19068,0,
1977,1001,AL,Autauga County,Small/mid,South,East South Central,594.449,30457,19068,0,
1978,1001,AL,Autauga County,small/mid,South,East South Central,594.449,30879,19566,37,
1979,1001,AL,Autauga County,small/mid,South,East South Central,594.449,32050,20523,36.2,
1980,1001,AL,Autauga County,small/mid,South,East South Central,594.449,32217,20767,35.4,
1981,1001,AL,Autauga County, small/mid,South,East South Central,594.449,31985,20686,34.6,
1982,1001,AL,Autauga County,small/mid,South,East South Central,594.449,32038,20790,33.8,
1983,1001,AL,Autauga County,small/mid,South,East South Central,594.449,32057,20849,33,48
1984,1001,AL,Autauga County,small/mid,South,East South Central,594.449,32130,20967,31.8,43
1985,1001,AL,Autauga County,small/mid,South,East South Central,594.449,32248,21116,30.6,59
1986,1001,AL,Autauga County,small/mid,South,East South Central,594.449,32895,21603,29.4,64
1987,1001,AL,Autauga County,small/mid  ,South,East South Central,594.449,33266,21895,28.2,68
1988,1001,AL,Autauga County,small/mid  ,South,East South Central,594.449,33637,22133,27,53
1989,1001,AL,Autauga County,small/mid,South,East South Central,594.449,33996,22356,26,59
1990,1001,AL,Autauga County,small/mid,South,East South Central,594.449,34353,22729,40,71
1991,1001,AL,Autauga County,  SMALL/MID ,South,East South Central,594.449,35010,23123,50,88
1992,1001,AL,Autauga County,small/mid,South,East South Central,594.449,35985,23790,52,97
1993,1001,AL,Autauga County,small/mid,South,East South Central,594.449,36953,24392,50,97
1994,1001,AL,Autauga County,small/mid,South,East South Central,594.449,38186,25232,58.83333,124
1995,1001,AL,Autauga County,small/mid,South,East South Central,594.449,39112,25798,67.66666,145
1995,1001,AL,Autauga County,small/mid,South,East South Central,594.449,39112,25798,67.66666,145
1996,1001,AL,Autauga County,small/mid,South,East South Central,594.449,40207,26547,76.5,137
1997,1001,AL,Autauga County,small/mid,South,East South Central,594.449,41238,27227,85.33334,158
1998,1001,AL,Autauga County,small/mid,South,East South Central,594.449,42106,27855,94.16666,170
1999,1001,AL,Autauga County,small/mid,South,East South Central,594.449,42963,28397,103,205
2000,1001,AL,Autauga County,small/mid,South,East South Central,594.449,44021,29066,111.1667,228
2001,1001,AL,Autauga County,small/mid,South,East South Central,594.449,44889,29665,119.3333,231
2002,1001,AL,Autauga County,SMALL/MID,South,East South Central,594.449,45909,30289,127.5,236
2003,1001,AL,Autauga County,small/mid,South,East South Central,594.449,46800,30912,135.6667,214
2004,1001,AL,Autauga County,small/mid,South,East South Central,594.449,48366,31965,143.8333,243
