year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,5001,AR,Arkansas County,Rural,South,West South Central,988.803,23345,13627,4,
1971,5001,AR,Arkansas County,rural,South,West South Central,988.803,23324,13638,4.625,
1972,5001,AR,Arkansas County,  RURAL ,South,West South Central,988.803,23175,13604,5.25,
1973,5001,AR,Arkansas County,rural,South,West South Central,988.803,23602,13966,5.875,
1974,5001,AR,Arkansas County,rural,South,West South Central,988.803,23695,14161,6.5,
1975,5001,AR,Arkansas County,rural,South,West South Central,988.803,23870,14403,7.125,
1976,5001,AR,Arkansas County,rural,South,West South Central,988.803,24217,14852,7.75,
1977,5001,AR,Arkansas County,rural,South,West South Central,988.803,23867,14675,8.375,
1978,5001,AR,Arkansas County,rural,South,West South Central,988.803,24417,15195,9,
1979,5001,AR,Arkansas County,rural,South,West South Central,988.803,24124,15040,10.2,
1980,5001,AR,Arkansas County,rural,South,West South Central,988.803,24193,15092,11.4,
1981,5001,AR,Arkansas County,rural,South,West South Central,988.803,24206,15077,12.6,
1982,5001,AR,Arkansas County,rural,South,West South Central,988.803,24118,14990,13.8,
1983,5001,AR,Arkansas County,rural,South,West South Central,988.803,23836,14796,15,
1984,5001,AR,Arkansas County,rural,South,West South Central,988.803,23397,14509,14,
1985,5001,AR,Arkansas County,rural,South,West South Central,988.803,23006,14217,13,
1986,5001,AR,Arkansas County,rural,South,West South Central,988.803,22578,13945,12,
1987,5001,AR,Arkansas County,Rural,South,West South Central,988.803,22178,13662,11,
1988,5001,AR,Arkansas County,rural,South,West South Central,988.803,21847,13381,10,
1989,5001,AR,Arkansas County,rural,South,West South Central,988.803,21704,13205,13.6,
1990,5001,AR,Arkansas County,rural,South,West South Central,988.803,21666,13175,17.2,
1991,5001,AR,Arkansas County,rural,South,West South Central,988.803,21536,13134,20.8,
1992,5001,AR,Arkansas County,rural,South,West South Central,988.803,21480,13091,24.4,
1993,5001,AR,Arkansas County,rural,South,West South Central,988.803,21311,13042,28,
1994,5001,AR,Arkansas County,rural,South,West South Central,988.803,21200,13032,24,
1995,5001,AR,Arkansas County,rural,South,West South Central,988.803,21128,12995,24,
1996,5001,AR,Arkansas County,rural,South,West South Central,988.803,21134,13062,24,
1997,5001,AR,Arkansas County,rural,South,West South Central,988.803,20975,13036,20,
1998,5001,AR,Arkansas County,rural,South,West South Central,988.803,20896,13026,36,
1999,5001,AR,Arkansas County,rural,South,West South Central,988.803,20966,13180,51,
2000,5001,AR,Arkansas County,rural,South,West South Central,988.803,20776,13074,58.66667,
2001,5001,AR,Arkansas County,rural,South,West South Central,988.803,20593,13003,66.33334,
2001,5001,AR,Arkansas County,rural,South,West South Central,988.803,20593,13003,66.33334,
2002,5001,AR,Arkansas County,rural,South,West South Central,988.803,20351,12903,74,
2003,5001,AR,Arkansas County,rural,South,West South Central,988.803,19981,12750,81.66666,
2004,5001,AR,Arkansas County,rural,South,West South Central,988.803,19967,12783,89.33334,
2005,5001,AR,Arkansas County,rural,South,West South Central,988.803,19954,12831,97,
2006,5001,AR,Arkansas County,rural,South,West South Central,988.803,19785,12756,95.5,
2007,5001,AR,Arkansas County,rural,South,West South Central,988.803,19434,12561,94,
2008,5001,AR,Arkansas County,rural,South,West South Central,988.803,19275,12406,92.5,
2009,5001,AR,Arkansas County,rural,South,West South Central,988.803,19134,12285,91,
2010,5001,AR,Arkansas County,rural,South,West South Central,988.803,19015,12258,89.5,
2011,5001,AR,Arkansas County,  RURAL ,South,West South Central,988.803,19016,12258,88,
2012,5001,AR,Arkansas County,rural,South,West South Central,988.803,18869,12174,86.5,
2013,5001,AR,Arkansas County,rural,South,West South Central,988.803,18957,12149,85,
2014,5001,AR,Arkansas County,rural,South,West South Central,988.803,18746,11983,85,
2015,5001,AR,Arkansas County,rural,South,West South Central,988.803,18484,11722,85,
2016,5001,AR,Arkansas County,rural,South,West South Central,988.803,18350,11575,,
1970,5003,AR,Ashley County,rural,South,West South Central,925.352,25059,14525,11,
1971,5003,AR,Ashley County,RURAL,South,West South Central,925.352,25433,14818,10.625,
1972,5003,AR,Ashley County,rural,South,West South Central,925.352,25632,15037,10.25,
1973,5003,AR,Ashley County,rural,South,West South Central,925.352,25473,15035,9.875,
1974,5003,AR,Ashley County,rural,South,West South Central,925.352,25470,15134,9.5,
1975,5003,AR,Ashley County,rural  ,South,West South Central,925.352,25829,15462,9.125,
1976,5003,AR,Ashley County,rural,South,West South Central,925.352,26152,15761,8.75,
1977,5003,AR,Ashley County,rural,South,West South Central,925.352,26615,16141,8.375,
1978,5003,AR,Ashley County,Rural,South,West South Central,925.352,26935,16371,8,
1979,5003,AR,Ashley County,rural,South,West South Central,925.352,26745,16253,9,
1980,5003,AR,Ashley County,rural,South,West South Central,925.352,26602,16147,10,
1981,5003,AR,Ashley County,rural,South,West South Central,925.352,26826,16347,11,
1981,5003,AR,Ashley County,rural,South,West South Central,925.352,26826,16347,11,
1982,5003,AR,Ashley County,rural,South,West South Central,925.352,26276,16069,12,
1983,5003,AR,Ashley County,rural,South,West South Central,925.352,25971,15940,13,
1984,5003,AR,Ashley County,  RURAL ,South,West South Central,925.352,26046,16052,13.6,
1985,5003,AR,Ashley County,rural,South,West South Central,925.352,26086,16106,14.2,
1986,5003,AR,Ashley County,rural,South,West South Central,925.352,25399,15769,14.8,
1987,5003,AR,Ashley County,rural,South,West South Central,925.352,25179,15683,15.4,
1987,5003,AR,Ashley County,rural,South,West South Central,925.352,25179,15683,15.4,
1988,5003,AR,Ashley County,rural,South,West South Central,925.352,24933,15521,16,
1989,5003,AR,Ashley County,rural,South,West South Central,925.352,24582,15297,18.4,
1990,5003,AR,Ashley County,rural,South,West South Central,925.352,24283,15158,20.8,
1991,5003,AR,Ashley County,rural,South,West South Central,925.352,24447,15275,23.2,
1992,5003,AR,Ashley County,rural,South,West South Central,925.352,24565,15353,25.6,
1993,5003,AR,Ashley County,rural,South,West South Central,925.352,24647,15469,28,
1994,5003,AR,Ashley County,rural,South,West South Central,925.352,24556,15458,30.83333,
1994,5003,AR,Ashley County,rural,South,West South Central,925.352,24556,15458,30.83333,
1995,5003,AR,Ashley County,rural,South,West South Central,925.352,24475,15419,33.66667,
1996,5003,AR,Ashley County,rural,South,West South Central,925.352,24417,15414,36.5,
1997,5003,AR,Ashley County,rural,South,West South Central,925.352,24365,15453,39.33333,
1998,5003,AR,Ashley County,RURAL,South,West South Central,925.352,24359,15492,42.16667,
1999,5003,AR,Ashley County,rural,South,West South Central,925.352,24261,15522,45,
2000,5003,AR,Ashley County,rural,South,West South Central,925.352,24179,15518,38,
2001,5003,AR,Ashley County,rural,South,West South Central,925.352,23824,15272,38,
