year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,4001,AZ,Apache County,rural,West,Mountain,11197.465,32946,17173,7,
1971,4001,AZ,Apache County,rural,West,Mountain,11197.465,35537,18752,7.5,
1972,4001,AZ,Apache County,rural,West,Mountain,11197.465,37044,19818,8,
1973,4001,AZ,Apache County, rural,West,Mountain,11197.465,39526,21418,8.5,
1974,4001,AZ,Apache County,rural  ,West,Mountain,11197.465,40268,22079,9,
1975,4001,AZ,Apache County,rural,West,Mountain,11197.465,42912,23811,9.5,
1976,4001,AZ,Apache County,rural,West,Mountain,11197.465,44292,24868,10,
1977,4001,AZ,Apache County,rural,West,Mountain,11197.465,48487,27549,10.5,
1978,4001,AZ,Apache County,rural,West,Mountain,11197.465,50680,29054,11,
1979,4001,AZ,Apache County,rural  ,West,Mountain,11197.465,52120,30022,13.2,
1980,4001,AZ,Apache County,rural,West,Mountain,11197.465,51508,29775,15.4,
1981,4001,AZ,Apache County,rural,West,Mountain,11197.465,51203,29627,17.6,
1982,4001,AZ,Apache County,rural,West,Mountain,11197.465,52151,30175,19.8,
1983,4001,AZ,Apache County,rural,West,Mountain,11197.465,53080,30676,22,
1984,4001,AZ,Apache County,rural,West,Mountain,11197.465,52997,30590,21.8,
1984,4001,AZ,Apache County,rural,West,Mountain,11197.465,52997,30590,21.8,
1985,4001,AZ,Apache County, rural,West,Mountain,11197.465,53467,30856,21.6,
1986,4001,AZ,Apache County,RURAL,West,Mountain,11197.465,55745,32367,21.4,
1987,4001,AZ,Apache County,Rural,West,Mountain,11197.465,58195,33769,21.2,
1988,4001,AZ,Apache County,rural,West,Mountain,11197.465,59540,34538,21,
1989,4001,AZ,Apache County,rural,West,Mountain,11197.465,60827,35044,24.2,
1990,4001,AZ,Apache County,rural,West,Mountain,11197.465,61939,35332,27.4,
1991,4001,AZ,Apache County,rural,West,Mountain,11197.465,62634,35755,30.6,
1992,4001,AZ,Apache County,rural,West,Mountain,11197.465,63026,36087,33.8,
1993,4001,AZ,Apache County,Rural,West,Mountain,11197.465,64489,37020,37,
1993,4001,AZ,Apache County,Rural,West,Mountain,11197.465,64489,37020,37,
1994,4001,AZ,Apache County,rural,West,Mountain,11197.465,66085,38335,45.83333,
1995,4001,AZ,Apache County,rural,West,Mountain,11197.465,68274,39782,54.66667,
1996,4001,AZ,Apache County,rural,West,Mountain,11197.465,69508,40714,63.5,
1997,4001,AZ,Apache County,  RURAL ,West,Mountain,11197.465,70478,41958,72.33334,
1998,4001,AZ,Apache County,rural,West,Mountain,11197.465,69851,41694,81.16666,
1999,4001,AZ,Apache County,rural,West,Mountain,11197.465,69802,41729,90,
2000,4001,AZ,Apache County,rural,West,Mountain,11197.465,69507,41669,95.5,68
2001,4001,AZ,Apache County,rural,West,Mountain,11197.465,67863,41206,101,83
2001,4001,AZ,Apache County,rural,West,Mountain,11197.465,67863,41206,101,83
2002,4001,AZ,Apache County,rural,West,Mountain,11197.465,67319,41213,106.5,84
2003,4001,AZ,Apache County,rural,West,Mountain,11197.465,68072,42045,112,84
2004,4001,AZ,Apache County,rural,West,Mountain,11197.465,68161,42382,117.5,94
2005,4001,AZ,Apache County,rural,West,Mountain,11197.465,68521,42728,123,108
2006,4001,AZ,Apache County,rural,West,Mountain,11197.465,69390,43642,117.375,125
2007,4001,AZ,Apache County,rural,West,Mountain,11197.465,69602,43824,111.75,145
2008,4001,AZ,Apache County,rural,West,Mountain,11197.465,69883,44089,106.125,153
2009,4001,AZ,Apache County,rural,West,Mountain,11197.465,71008,44631,100.5,143
2010,4001,AZ,Apache County,rural,West,Mountain,11197.465,71524,44885,94.875,131
2011,4001,AZ,Apache County,rural,West,Mountain,11197.465,71838,45116,89.25,126
2012,4001,AZ,Apache County,rural,West,Mountain,11197.465,72179,45448,83.625,132
2013,4001,AZ,Apache County,rural,West,Mountain,11197.465,72215,45458,78,132
2014,4001,AZ,Apache County,rural,West,Mountain,11197.465,72292,45550,78,137
2014,4001,AZ,Apache County,rural,West,Mountain,11197.465,72292,45550,78,137
2015,4001,AZ,Apache County,rural,West,Mountain,11197.465,71762,45080,78,121
2016,4001,AZ,Apache County,rural,West,Mountain,11197.465,70979,44494,,
