year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,6001,CA,Alameda County,  URBAN ,West,Pacific,737.307,1074050,696319,1800,
1971,6001,CA,Alameda County,urban,West,Pacific,737.307,1084476,708356,1786,
1972,6001,CA,Alameda County,urban,West,Pacific,737.307,1099588,725516,1772,
1973,6001,CA,Alameda County,urban,West,Pacific,737.307,1089329,724581,1758,
1974,6001,CA,Alameda County,urban,West,Pacific,737.307,1092235,732867,1744,
1975,6001,CA,Alameda County,urban,West,Pacific,737.307,1090869,737518,1730,
1976,6001,CA,Alameda County,urban,West,Pacific,737.307,1098145,749276,1716,
1976,6001,CA,Alameda County,urban,West,Pacific,737.307,1098145,749276,1716,
1977,6001,CA,Alameda County,urban,West,Pacific,737.307,1099852,755234,1702,
1978,6001,CA,Alameda County,urban,West,Pacific,737.307,1103712,761474,1688,
1978,6001,CA,Alameda County,urban,West,Pacific,737.307,1103712,761474,1688,
1979,6001,CA,Alameda County,urban,West,Pacific,737.307,1099273,761949,1967.8,
1980,6001,CA,Alameda County,urban,West,Pacific,737.307,1108791,771268,2247.6,
1981,6001,CA,Alameda County,urban,West,Pacific,737.307,1125949,784641,2527.4,
1982,6001,CA,Alameda County,urban,West,Pacific,737.307,1140263,794325,2807.2,
1983,6001,CA,Alameda County,urban,West,Pacific,737.307,1160695,807653,3087,1897
1984,6001,CA,Alameda County,urban,West,Pacific,737.307,1179130,820633,2976,2021
1985,6001,CA,Alameda County,urban,West,Pacific,737.307,1197407,833690,2865,2285
1986,6001,CA,Alameda County,urban,West,Pacific,737.307,1215509,846249,2952,2605
1987,6001,CA,Alameda County,urban,West,Pacific,737.307,1229320,854301,2895,3104
1988,6001,CA,Alameda County,urban,West,Pacific,737.307,1251097,868145,3040,3675
1989,6001,CA,Alameda County,urban,West,Pacific,737.307,1271451,880564,3360,3718
1989,6001,CA,Alameda County,urban,West,Pacific,737.307,1271451,880564,3360,3718
1990,6001,CA,Alameda County,urban,West,Pacific,737.307,1306166,893705,3902,3761
1991,6001,CA,Alameda County,urban,West,Pacific,737.307,1318543,896633,3128,3804
1992,6001,CA,Alameda County,urban,West,Pacific,737.307,1332208,905440,3445,3863
1993,6001,CA,Alameda County,urban,West,Pacific,737.307,1339189,905948,3777,3987
1994,6001,CA,Alameda County,urban,West,Pacific,737.307,1341707,904792,3273,4236
1995,6001,CA,Alameda County,urban,West,Pacific,737.307,1346548,906566,4053,4325
1996,6001,CA,Alameda County,urban,West,Pacific,737.307,1359099,914648,4097,4713
1997,6001,CA,Alameda County,urban,West,Pacific,737.307,1380383,935240,4300,4873
1998,6001,CA,Alameda County,urban,West,Pacific,737.307,1405903,960308,4012,5046
1999,6001,CA,Alameda County,urban,West,Pacific,737.307,1427114,980847,4428,5144
2000,6001,CA,Alameda County,urban,West,Pacific,737.307,1449840,1001712,4229,5401
2001,6001,CA,Alameda County,urban,West,Pacific,737.307,1469484,1020661,3856,5210
2002,6001,CA,Alameda County,urban,West,Pacific,737.307,1462106,1017808,3886,5165
2003,6001,CA,Alameda County,urban,West,Pacific,737.307,1454163,1013418,3840,4832
2003,6001,CA,Alameda County,urban,West,Pacific,737.307,1454163,1013418,3840,4832
2004,6001,CA,Alameda County,urban,West,Pacific,737.307,1445721,1009491,4056,4845
2005,6001,CA,Alameda County,urban,West,Pacific,737.307,1441545,1008446,4028,4866
2006,6001,CA,Alameda County,urban,West,Pacific,737.307,1444484,1013204,3982,4878
2007,6001,CA,Alameda County,Urban,West,Pacific,737.307,1455715,1022616,4282,4752
2008,6001,CA,Alameda County,urban,West,Pacific,737.307,1477208,1037557,4371,4910
2009,6001,CA,Alameda County,  URBAN ,West,Pacific,737.307,1498539,1051949,4444,4766
2010,6001,CA,Alameda County,urban,West,Pacific,737.307,1510261,1059247,4305,4600
2011,6001,CA,Alameda County,urban,West,Pacific,737.307,1513402,1061211,3714,4109
2012,6001,CA,Alameda County,urban,West,Pacific,737.307,1532215,1073527,3628,3809
2013,6001,CA,Alameda County,urban,West,Pacific,737.307,1556648,1087374,3277,3888
2013,6001,CA,Alameda County,urban,West,Pacific,737.307,1556648,1087374,3277,3888
2014,6001,CA,Alameda County,Urban,West,Pacific,737.307,1582936,1102981,3380,3824
2015,6001,CA,Alameda County,urban,West,Pacific,737.307,1611572,1120496,2583,3762
2016,6001,CA,Alameda County,urban,West,Pacific,737.307,1637141,1136160,,
1970,6003,CA,Alpine County,rural,West,Pacific,738.34,499,315,0,
1971,6003,CA,Alpine County,rural,West,Pacific,738.34,579,378,0,
1972,6003,CA,Alpine County,  RURAL ,West,Pacific,738.34,701,469,0,
1973,6003,CA,Alpine County,rural,West,Pacific,738.34,679,455,0,
1974,6003,CA,Alpine County,rural,West,Pacific,738.34,739,509,0,
1975,6003,CA,Alpine County,rural,West,Pacific,738.34,786,559,0,
1976,6003,CA,Alpine County, rural,West,Pacific,738.34,825,592,0,
1977,6003,CA,Alpine County,rural,West,Pacific,738.34,894,654,0,
1978,6003,CA,Alpine County,rural,West,Pacific,738.34,989,724,0,
1979,6003,CA,Alpine County,rural,West,Pacific,738.34,1160,868,0,
1980,6003,CA,Alpine County,rural,West,Pacific,738.34,1100,825,0,
