year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,8001,CO,Adams County,suburban,West,Mountain,1167.272,187385,113058,70,
1971,8001,CO,Adams County,SUBURBAN,West,Mountain,1167.272,193790,118936,68.25,
1972,8001,CO,Adams County,suburban,West,Mountain,1167.272,203923,127716,66.5,
1973,8001,CO,Adams County,suburban,West,Mountain,1167.272,211821,135212,64.75,
1973,8001,CO,Adams County,suburban,West,Mountain,1167.272,211821,135212,64.75,
1974,8001,CO,Adams County,suburban  ,West,Mountain,1167.272,214691,139353,63,
1975,8001,CO,Adams County,  SUBURBAN ,West,Mountain,1167.272,218817,144173,627,
1975,8001,,,,,,,,,61.25,
1976,8001,CO,Adams County,suburban,West,Mountain,1167.272,224437,149888,59.5,
1977,8001,CO,Adams County,suburban,West,Mountain,1167.272,227869,153172,57.75,
1978,8001,CO,Adams County,suburban,West,Mountain,1167.272,239597,162582,56,
1979,8001,CO,Adams County,suburban,West,Mountain,1167.272,245961,168150,73,
1980,8001,CO,Adams County,suburban,West,Mountain,1167.272,247223,169983,90,
1981,8001,CO,Adams County,suburban,West,Mountain,1167.272,251347,172881,107,
1982,8001,CO,Adams County,suburban,West,Mountain,1167.272,258861,178075,124,
1983,8001,CO,Adams County,suburban,West,Mountain,1167.272,262150,179898,141,
1984,8001,CO,Adams County,suburban,West,Mountain,1167.272,264810,181687,157,232
1985,8001,CO,Adams County,suburban,West,Mountain,1167.272,266974,183101,173,221
1986,8001,CO,Adams County,suburban,West,Mountain,1167.272,267683,183289,432,259
1987,8001,CO,Adams County,Suburban,West,Mountain,1167.272,268488,182855,410,321
1988,8001,CO,Adams County,suburban,West,Mountain,1167.272,266683,180778,328,423
1989,8001,CO,Adams County,suburban,West,Mountain,1167.272,263397,177828,512,568
1990,8001,CO,Adams County,suburban  ,West,Mountain,1167.272,266629,178638,558,549
1991,8001,CO,Adams County,suburban,West,Mountain,1167.272,274311,183949,508,608
1992,8001,CO,Adams County,suburban,West,Mountain,1167.272,284362,191021,457,646
1993,8001,CO,Adams County,suburban,West,Mountain,1167.272,293995,197946,519,670
1993,8001,CO,Adams County,suburban,West,Mountain,1167.272,293995,197946,519,670
1994,8001,CO,Adams County,suburban,West,Mountain,1167.272,302198,204307,535,791
1995,8001,CO,Adams County,suburban,West,Mountain,1167.272,313440,212822,678,884
1996,8001,CO,Adams County,suburban,West,Mountain,1167.272,323218,219913,628,996
1997,8001,CO,Adams County,suburban,West,Mountain,1167.272,332463,226127,781,1062
1998,8001,CO,Adams County,suburban,West,Mountain,1167.272,343094,233116,796,1108
1999,8001,CO,Adams County,suburban,West,Mountain,1167.272,354146,240721,810,1251
2000,8001,CO,Adams County,SUBURBAN,West,Mountain,1167.272,350888,238599,831,1393
2001,8001,CO,Adams County,suburban,West,Mountain,1167.272,359816,245355,857,1423
2002,8001,CO,Adams County,suburban,West,Mountain,1167.272,370753,253308,930,1525
2003,8001,CO,Adams County, suburban,West,Mountain,1167.272,377464,257711,1123,1653
2004,8001,CO,Adams County,Suburban,West,Mountain,1167.272,384809,262392,1174,1827
2005,8001,CO,Adams County,suburban,West,Mountain,1167.272,395146,268815,1167,2082
2006,8001,CO,Adams County,suburban,West,Mountain,1167.272,406575,275587,1285,2200
2007,8001,CO,Adams County,suburban,West,Mountain,1167.272,415746,281381,1263,2247
2008,8001,CO,Adams County,suburban,West,Mountain,1167.272,424913,287130,1214,2342
2009,8001,CO,Adams County,suburban,West,Mountain,1167.272,435700,293425,1271,2279
2010,8001,CO,Adams County, suburban,West,Mountain,1167.272,441702,297195,1276,2337
2011,8001,CO,Adams County,suburban,West,Mountain,1167.272,443672,298554,1247,2251
2012,8001,CO,Adams County,suburban,West,Mountain,1167.272,451443,303377,1028,2042
2013,8001,CO,Adams County,suburban,West,Mountain,1167.272,459861,308364,1046,2014
2014,8001,CO,Adams County,suburban,West,Mountain,1167.272,469377,314230,1025,1935
2015,8001,CO,Adams County,suburban,West,Mountain,1167.272,479488,321286,941,1792
2016,8001,CO,Adams County,suburban,West,Mountain,1167.272,489822,328457,,
1970,8003,CO,Alamosa County,rural,West,Mountain,722.577,11500,7257,2,
