year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,9001,CT,Fairfield County,small/mid  ,Northeast,New England,624.97,792801,497126,,
1971,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,792757,500177,,
1972,9001,CT,Fairfield County,small/mid  ,Northeast,New England,624.97,788035,501357,,
1973,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,786527,505052,,
1973,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,786527,505052,,
1974,9001,CT,Fairfield County,Small/mid,Northeast,New England,624.97,788321,510560,,
1975,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,794558,518936,,
1976,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,797443,525635,,
1977,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,810423,539296,,
1977,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,810423,539296,,
1978,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,802645,537302,,
1978,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,802645,537302,,
1979,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,802659,540614,,
1980,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,808907,547685,,
1981,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,813187,553441,,
1982,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,817944,558077,,
1983,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,821860,561575,,
1984,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,825107,565465,,
1985,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,830393,569989,,
1985,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,830393,569989,,
1986,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,831802,571369,,
1987,9001,CT,Fairfield County,  SMALL/MID ,Northeast,New England,624.97,828286,568249,,
1988,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,826605,565658,,
1989,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,827522,563201,,
1990,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,828860,561084,,
1991,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,833094,558680,,
1992,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,834372,554291,,
1993,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,838945,552591,,
1994,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,842482,551745,,
1995,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,848057,553413,,
1996,9001,CT,Fairfield County,small/mid,Northeast,New England,624.97,854421,557102,,
