year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,755466,497832,3222,
1971,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,750641,498042,2995.125,
1972,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,743778,497946,2768.25,
1973,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,733677,495502,2541.375,
1974,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,720758,490982,2867,
1974,11001,,,,,,,,,2314.5,
1975,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,710304,487907,2087.625,
1976,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,696305,481984,1860.75,
1977,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,681766,474286,1633.875,
1978,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,670045,469146,1407,
1979,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,655620,461609,1694.2,
1980,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,637161,450540,1981.4,
1981,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,636891,452368,2268.6,
1982,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,634174,452682,2555.8,
1983,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,632433,452586,2843,
1984,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,633385,454195,3278.5,
1985,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,634545,454821,3714,
1985,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,634545,454821,3714,
1986,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,638280,457787,2365,
1987,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,636931,455967,1682,
1987,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,636931,455967,1682,
1988,11001,DC,District of Columbia,URBAN,South,South Atlantic,61.14,630427,450575,1551,
1989,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,624160,443780,1706,
1990,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,605321,433714,1692,
1991,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,600870,424419,2365,
1991,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,600870,424419,2365,
1992,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,597567,419450,1691,
1993,11001,DC,District of Columbia,urban  ,South,South Atlantic,61.14,595302,415842,1683,
1994,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,589240,409259,1684,
1995,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,580519,400563,1666,
1996,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,572379,396050,1663,
1997,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,567739,394091,1606,
1998,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,565232,397367,1660,
1999,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,570220,402025,1660,
2000,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,572046,404827,1560,
2001,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,574504,407905,1665,
2002,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,573158,408148,1749,
2003,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,568502,406312,3172,
2004,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,567754,408041,3521,
2005,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,567136,410935,3540,
2006,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,570681,417342,3584,
2007,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,574404,422655,3325,
2008,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,580236,429094,3012,
2009,11001,DC,District of Columbia, urban,South,South Atlantic,61.14,592228,439892,3030,
2010,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,601766,449151,3102,
2011,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,605040,451566,3030,
2012,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,620336,462424,2755,
2013,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,635630,470925,2288,
2014,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,650114,478709,2306,
2014,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,650114,478709,2306,
2015,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,660797,483678,1814,
2016,11001,DC,District of Columbia,urban,South,South Atlantic,61.14,672736,489899,,
