year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,82835,50593,,
1971,10001,DE,Kent County,Small/mid,South,South Atlantic,586.322,86634,53370,,
1972,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,89518,55760,,
1973,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,90294,56827,,
1974,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,91032,57851,,
1975,10001,DE,Kent County,  SMALL/MID ,South,South Atlantic,586.322,92515,59313,,
1976,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,94460,61245,,
1977,10001,DE,Kent County,  SMALL/MID ,South,South Atlantic,586.322,96258,62831,,
1977,10001,DE,Kent County,  SMALL/MID ,South,South Atlantic,586.322,96258,62831,,
1978,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,98247,64788,,
1979,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,99164,65842,,
1980,10001,DE,Kent County,small/mid  ,South,South Atlantic,586.322,98272,65518,,
1981,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,98313,65835,,
1982,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,99227,66355,,
1983,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,100958,67435,,
1984,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,101263,67694,,
1985,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,102826,68724,,
1986,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,104709,70086,,
1987,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,106263,71204,,
1988,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,106965,71537,,
1989,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,109050,72701,,
1990,10001,DE,Kent County,small/mid,South,South Atlantic,586.322,111638,74078,,
1991,10001,DE,Kent County,SMALL/MID,South,South Atlantic,586.322,114288,75545,,
