year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,105582,71298,122,
1971,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,108875,74145,119.375,
1972,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,119776,82392,116.75,
1973,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,125907,87413,114.125,
1974,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,131229,92158,111.5,
1975,12001,FL,Alachua County,SMALL/MID,South,South Atlantic,875.062,132639,94006,108.875,
1976,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,132792,95558,106.25,
1977,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,137370,99933,103.625,
1978,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,142720,104542,101,
1978,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,142720,104542,101,
1979,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,146022,107488,121.6,
1980,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,152232,112614,142.2,
1981,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,155353,115160,162.8,
1982,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,159118,117953,183.4,
1983,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,161886,119956,204,
1983,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,161886,119956,204,
1984,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,165460,122532,239.5,
1985,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,169518,125293,275,
1986,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,171741,126591,297,
1987,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,174528,128185,363,696
1988,12001,FL,Alachua County,Small/mid,South,South Atlantic,875.062,176881,128964,340,612
1989,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,179551,130049,397,702.666666667
1990,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,182723,130649,537,793.333333333
1991,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,188259,135121,534,884
1992,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,193494,139094,491,874.25
1993,12001,FL,Alachua County,SMALL/MID,South,South Atlantic,875.062,197336,141691,426,864.5
1994,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,198919,142258,453,854.75
1995,12001,FL,Alachua County,Small/mid,South,South Atlantic,875.062,203700,146372,550,845
1996,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,206601,148952,643,802
1997,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,210096,152205,715,864
1997,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,210096,152205,715,864
1998,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,212707,154874,763,855
1999,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,215847,158452,803,985
2000,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,218611,161513,808,972
2001,12001,FL,Alachua County,Small/mid,South,South Atlantic,875.062,221718,164875,712,925
2002,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,224614,167905,856,1016
2003,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,227022,170348,979,1152
2003,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,227022,170348,979,1152
2004,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,229867,172976,925,1253
2005,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,233756,175930,1010,1419
2006,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,239506,180125,1056,1511
2007,12001,FL,Alachua County, small/mid,South,South Atlantic,875.062,242685,182468,1112,1585
2008,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,244888,183593,1068,1569
2009,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,246657,184289,1404,1559
2009,12001,,,,,,,,,864,
2010,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,247337,184234,908,1720
2011,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,247606,184190,1033,1729
2012,12001,FL,Alachua County, small/mid,South,South Atlantic,875.062,249832,185034,978,1779
2013,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,251654,184916,1003,1784
2014,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,252704,184201,862,1756
2015,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,255809,185260,806,1657
2016,12001,FL,Alachua County,small/mid,South,South Atlantic,875.062,259525,186881,,
1970,12003,FL,Baker County,suburban,South,South Atlantic,585.23,9348,5683,4,
1970,12003,FL,Baker County,suburban,South,South Atlantic,585.23,9348,5683,4,
1971,12003,FL,Baker County,suburban,South,South Atlantic,585.23,9740,5945,6.5,
1971,12003,FL,Baker County,suburban,South,South Atlantic,585.23,9740,5945,6.5,
1972,12003,FL,Baker County,suburban,South,South Atlantic,585.23,10551,6503,9,
1973,12003,FL,Baker County,suburban,South,South Atlantic,585.23,11251,6991,11.5,
1974,12003,FL,Baker County,  SUBURBAN ,South,South Atlantic,585.23,12374,7777,14,
1975,12003,FL,Baker County,suburban,South,South Atlantic,585.23,12928,8171,16.5,
1976,12003,FL,Baker County,suburban,South,South Atlantic,585.23,13245,8417,19,
1977,12003,FL,Baker County,suburban  ,South,South Atlantic,585.23,14057,8989,21.5,
1978,12003,FL,Baker County,suburban,South,South Atlantic,585.23,14566,9318,24,
1979,12003,FL,Baker County,suburban,South,South Atlantic,585.23,15053,9650,25.2,
1980,12003,FL,Baker County,suburban,South,South Atlantic,585.23,15389,9888,26.4,
1981,12003,FL,Baker County,suburban,South,South Atlantic,585.23,15767,10226,27.6,
