year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,13001,GA,Appling County,suburban,South,South Atlantic,507.141,12839,7479,1,
1971,13001,GA,Appling County,rural,South,South Atlantic,507.141,13342,7740,1.875,
1972,13001,GA,Appling County,rural,South,South Atlantic,507.141,13652,7907,2.75,
1973,13001,GA,Appling County, rural,South,South Atlantic,507.141,14385,8344,3.625,
1973,13001,GA,Appling County,suburban,South,South Atlantic,507.141,14385,8344,3.625,
1974,13001,GA,Appling County,rural,South,South Atlantic,507.141,14535,8478,4.5,
1975,13001,GA,Appling County,rural,South,South Atlantic,507.141,14758,8656,5.375,
1976,13001,GA,Appling County,suburban,South,South Atlantic,507.141,15182,9166,6.25,
1977,13001,GA,Appling County,rural,South,South Atlantic,507.141,15530,9430,7.125,
1978,13001,GA,Appling County,rural,South,South Atlantic,507.141,15524,9548,8,
1979,13001,GA,Appling County,suburban,South,South Atlantic,507.141,15200,9342,9.4,
1980,13001,GA,Appling County,rural,South,South Atlantic,507.141,15524,9580,10.8,
1981,13001,GA,Appling County,suburban,South,South Atlantic,507.141,15364,9535,12.2,
1982,13001,GA,Appling County,suburban,South,South Atlantic,507.141,15602,9738,13.6,
1983,13001,GA,Appling County,suburban,South,South Atlantic,507.141,15787,9898,15,27
1984,13001,GA,Appling County,rural,South,South Atlantic,507.141,15976,10084,18,31
1984,13001,GA,Appling County,rural,South,South Atlantic,507.141,15976,10084,18,31
1985,13001,GA,Appling County,rural,South,South Atlantic,507.141,15860,10066,21,19
1986,13001,GA,Appling County,rural,South,South Atlantic,507.141,15743,10056,20,30
1987,13001,GA,Appling County,rural,South,South Atlantic,507.141,15719,10088,19,34
1988,13001,GA,Appling County,suburban,South,South Atlantic,507.141,15813,10159,19,38
1989,13001,GA,Appling County,rural,South,South Atlantic,507.141,15746,10111,19.2,33
1990,13001,GA,Appling County,rural,South,South Atlantic,507.141,15776,10149,19.4,44
1991,13001,GA,Appling County,rural  ,South,South Atlantic,507.141,16020,10339,19.6,35
1992,13001,GA,Appling County,rural,South,South Atlantic,507.141,16172,10450,19.8,45
1993,13001,GA,Appling County,rural,South,South Atlantic,507.141,16273,10495,20,50
1994,13001,GA,Appling County,suburban,South,South Atlantic,507.141,16323,10591,21.33333,59
1995,13001,GA,Appling County,rural,South,South Atlantic,507.141,16540,10789,22.66667,52
1996,13001,GA,Appling County,rural,South,South Atlantic,507.141,16728,10963,24,62
1997,13001,GA,Appling County,suburban,South,South Atlantic,507.141,16892,11143,25.33333,77
1998,13001,GA,Appling County,rural,South,South Atlantic,507.141,17116,11319,26.66667,84
1999,13001,GA,Appling County,rural  ,South,South Atlantic,507.141,17323,11473,28,85
2000,13001,GA,Appling County,suburban,South,South Atlantic,507.141,17396,11544,36.66667,80
