year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,15001,HI,Hawaii County,rural  ,West,Pacific,4028.45,65477,40192,,
1971,15001,HI,Hawaii County,rural,West,Pacific,4028.45,73509,45778,,
1972,15001,HI,Hawaii County,rural,West,Pacific,4028.45,69926,43599,,
1973,15001,HI,Hawaii County,rural,West,Pacific,4028.45,72854,45861,,
1974,15001,HI,Hawaii County,rural,West,Pacific,4028.45,73893,46723,,
1975,15001,HI,Hawaii County,rural,West,Pacific,4028.45,77212,49141,,
1976,15001,HI,Hawaii County,rural  ,West,Pacific,4028.45,80480,51462,,
1977,15001,HI,Hawaii County,rural,West,Pacific,4028.45,82608,53010,,
1978,15001,HI,Hawaii County,rural,West,Pacific,4028.45,85661,55045,,
1979,15001,HI,Hawaii County,rural,West,Pacific,4028.45,89069,57313,,
1980,15001,HI,Hawaii County,rural,West,Pacific,4028.45,92296,59416,,
1981,15001,HI,Hawaii County,rural,West,Pacific,4028.45,96119,61730,,
1982,15001,HI,Hawaii County,rural,West,Pacific,4028.45,98794,63300,,
1983,15001,HI,Hawaii County,rural,West,Pacific,4028.45,100763,64328,,
1984,15001,HI,Hawaii County,rural,West,Pacific,4028.45,103523,65773,,
1985,15001,HI,Hawaii County,rural,West,Pacific,4028.45,105900,67005,,
1986,15001,HI,Hawaii County,rural,West,Pacific,4028.45,108368,68659,,
1987,15001,HI,Hawaii County,rural,West,Pacific,4028.45,111731,70804,,
1988,15001,HI,Hawaii County,rural,West,Pacific,4028.45,113443,71626,,4
1989,15001,HI,Hawaii County,rural,West,Pacific,4028.45,116588,73348,,5
1990,15001,HI,Hawaii County,rural,West,Pacific,4028.45,121572,76836,,8
1991,15001,HI,Hawaii County,rural,West,Pacific,4028.45,127266,80552,,11
1992,15001,HI,Hawaii County,rural,West,Pacific,4028.45,131630,83286,,15
1993,15001,HI,Hawaii County,rural,West,Pacific,4028.45,135085,85402,,37
1994,15001,HI,Hawaii County,rural,West,Pacific,4028.45,137713,86949,,75
1995,15001,HI,Hawaii County,rural,West,Pacific,4028.45,140492,88737,,122
1996,15001,HI,Hawaii County,rural,West,Pacific,4028.45,141935,89925,,195
1997,15001,HI,Hawaii County,rural,West,Pacific,4028.45,144445,92226,,315
1998,15001,HI,Hawaii County,rural,West,Pacific,4028.45,145833,93903,,287
1999,15001,HI,Hawaii County,rural,West,Pacific,4028.45,146970,95168,,112
2000,15001,HI,Hawaii County,  RURAL ,West,Pacific,4028.45,149244,97309,,295
2001,15001,HI,Hawaii County,rural,West,Pacific,4028.45,151690,99582,,293
2002,15001,HI,Hawaii County,rural,West,Pacific,4028.45,154576,102311,,321
2002,15001,HI,Hawaii County,rural,West,Pacific,4028.45,154576,102311,,321
2003,15001,HI,Hawaii County,rural,West,Pacific,4028.45,158442,105574,,366
2004,15001,HI,Hawaii County,rural,West,Pacific,4028.45,162852,108775,,411
2005,15001,HI,Hawaii County,rural,West,Pacific,4028.45,168237,113116,,403
2005,15001,HI,Hawaii County,rural,West,Pacific,4028.45,168237,113116,,403
2006,15001,HI,Hawaii County,rural,West,Pacific,4028.45,173536,117144,,395
2007,15001,HI,Hawaii County,rural,West,Pacific,4028.45,177733,120048,,413
2008,15001,HI,Hawaii County,rural,West,Pacific,4028.45,181506,122399,,421
2009,15001,HI,Hawaii County,rural,West,Pacific,4028.45,183629,123080,,416
2010,15001,HI,Hawaii County,rural,West,Pacific,4028.45,185076,123399,,444
2011,15001,HI,Hawaii County,rural,West,Pacific,4028.45,185347,123365,,330
2011,15001,HI,Hawaii County,rural,West,Pacific,4028.45,185347,123365,,330
2012,15001,HI,Hawaii County,rural,West,Pacific,4028.45,187049,123611,,400
2013,15001,HI,Hawaii County,rural,West,Pacific,4028.45,189118,123503,,330
2014,15001,HI,Hawaii County,rural,West,Pacific,4028.45,191583,123741,,376
2015,15001,HI,Hawaii County,rural,West,Pacific,4028.45,194240,123986,,1155
2016,15001,HI,Hawaii County,rural,West,Pacific,4028.45,196740,124159,,
1970,15003,HI,Honolulu County, small/mid,West,Pacific,600.613,632968,412305,,
1971,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,642717,421938,,
1972,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,674336,447418,,
1973,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,692449,464062,,
1974,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,706475,477581,,
1975,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,717221,488460,,
1976,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,726645,498195,,
1977,15003,HI,Honolulu County,  SMALL/MID ,West,Pacific,600.613,734966,506315,,
1978,15003,HI,Honolulu County, small/mid,West,Pacific,600.613,740500,512936,,
1979,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,753426,523874,,
1980,15003,HI,Honolulu County,small/mid  ,West,Pacific,600.613,758973,529201,,
1981,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,767572,534148,,
1982,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,776076,538753,,
1983,15003,HI,Honolulu County, small/mid,West,Pacific,600.613,789100,546053,,451
1983,15003,HI,Honolulu County, small/mid,West,Pacific,600.613,789100,546053,,451
1984,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,797794,549839,,477
1985,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,804292,552274,,705
1986,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,810445,557082,,870
1987,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,818449,562586,,1169
1988,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,824073,564384,,1293
1989,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,831326,567496,,1414
1990,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,838534,573569,,1415
1991,15003,HI,Honolulu County,Small/mid,West,Pacific,600.613,850510,578434,,1344
1992,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,863959,584778,,1713
1993,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,870348,584166,,1698
1994,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,878591,586019,,1611
1995,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,881399,585440,,1463
1996,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,883443,585561,,1396
1997,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,886711,588974,,1829
1998,15003,HI,Honolulu County,small/mid  ,West,Pacific,600.613,886909,591069,,1448
1999,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,878906,584994,,630
2000,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,876629,584181,,1729
2001,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,882755,589318,,1621
2002,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,890473,595711,,1848
2003,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,894311,598291,,2035
2004,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,907997,609071,,2071
2005,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,918181,618047,,2245
2006,15003,HI,Honolulu County, small/mid,West,Pacific,600.613,926954,626352,,2189
2007,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,925335,624095,,2449
2008,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,933680,628968,,2392
2009,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,943177,633463,,2209
2010,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,953209,639492,,2129
2011,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,956193,641376,,1319
2012,15003,HI,Honolulu County,SMALL/MID,West,Pacific,600.613,966514,645469,,1905
2013,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,976299,648182,,1476
2014,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,985734,650911,,1528
2015,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,989438,650065,,3230
2016,15003,HI,Honolulu County,small/mid,West,Pacific,600.613,993716,649743,,
1970,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1971,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1972,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1972,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1973,15005,HI,Kalawao County, small/mid,West,Pacific,11.991,0,0,,
1974,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1975,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1976,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1977,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1978,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1978,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1979,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,0,0,,
1980,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,144,107,,
1981,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,144,105,,
1982,15005,HI,Kalawao County,small/mid  ,West,Pacific,11.991,133,96,,
1983,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,130,92,,0
1984,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,132,94,,0
1985,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,131,89,,0
1985,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,131,89,,0
1986,15005,HI,Kalawao County,  SMALL/MID ,West,Pacific,11.991,128,87,,0
1987,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,121,81,,0
1988,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,124,82,,0
1989,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,127,83,,0
1990,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,134,134,,0
1991,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,141,141,,0
1992,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,145,145,,0
1993,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,146,146,,0
1994,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,159,159,,0
1995,15005,HI,Kalawao County,small/mid  ,West,Pacific,11.991,164,164,,0
1996,15005,HI,Kalawao County,small/mid,West,Pacific,11.991,163,163,,0
1997,15005,HI,Kalawao County,small/mid  ,West,Pacific,11.991,169,169,,0
