year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,19001,IA,Adair County,Rural,Midwest,West North Central,569.271,9445,5425,2,
1971,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9284,5267,2,
1971,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9284,5267,2,
1972,19001,IA,Adair County,rural  ,Midwest,West North Central,569.271,9453,5354,2,
1973,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9560,5407,2,
1974,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9306,5243,2,
1975,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9308,5259,2,
1976,19001,IA,Adair County,  RURAL ,Midwest,West North Central,569.271,9342,5386,2,
1977,19001,IA,Adair County,rural  ,Midwest,West North Central,569.271,9372,5424,2,
1978,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9437,5536,2,
1979,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9556,5607,2,
1980,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9497,5563,2,
1981,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9397,5476,2,
1982,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9258,5362,2,
1983,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9210,5305,2,
1984,19001,IA,Adair County,rural,Midwest,West North Central,569.271,9147,5245,2,
1985,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8934,5100,529,
1985,19001,,,,,,,,,2,
1986,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8699,4939,2,
1987,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8549,4827,2,
1987,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8549,4827,2,
1988,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8509,4783,2,
1989,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8431,4695,1.8,8
1990,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8397,4659,1.6,7
1991,19001,IA,Adair County, rural,Midwest,West North Central,569.271,8430,4687,1.4,7
1992,19001,IA,Adair County,RURAL,Midwest,West North Central,569.271,8441,4717,1.2,7
1992,19001,IA,Adair County,RURAL,Midwest,West North Central,569.271,8441,4717,1.2,7
1993,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8483,4776,1,10
1994,19001,IA,Adair County,rural  ,Midwest,West North Central,569.271,8380,4756,1.166667,11
1995,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8366,4816,1.333333,10.9090909091
1996,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8363,4829,1.5,10.8181818182
1997,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8310,4844,1.666667,10.7272727273
1998,19001,IA,Adair County,Rural,Midwest,West North Central,569.271,8305,4857,1.833333,10.6363636364
1999,19001,IA,Adair County,RURAL,Midwest,West North Central,569.271,8298,4873,2,10.5454545455
2000,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8223,4847,2.333333,10.4545454545
2001,19001,IA,Adair County,RURAL,Midwest,West North Central,569.271,8132,4796,2.666667,10.3636363636
2002,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8059,4809,3,10.2727272727
2003,19001,IA,Adair County, rural,Midwest,West North Central,569.271,8050,4775,3.333333,10.1818181818
2004,19001,IA,Adair County,rural,Midwest,West North Central,569.271,8019,4780,3.666667,10.0909090909
2005,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7932,4765,4,10
2006,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7924,4717,3.875,8
2006,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7924,4717,3.875,8
2007,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7871,4688,3.75,11
2008,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7747,4624,3.625,11
2009,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7676,4584,3.5,6
2010,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7682,4637,3.375,5
2011,19001,IA,Adair County,Rural,Midwest,West North Central,569.271,7679,4641,3.25,4
2012,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7545,4567,3.125,7
2013,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7468,4516,3,8
2014,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7387,4475,3,7
2015,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7367,4445,3,6
2016,19001,IA,Adair County,rural,Midwest,West North Central,569.271,7141,4323,,
1970,19003,IA,Adams County,rural,Midwest,West North Central,423.439,6310,3667,0,
1971,19003,IA,Adams County,rural,Midwest,West North Central,423.439,6288,3680,501,
1971,19003,,,,,,,,,0,
1972,19003,IA,Adams County,rural,Midwest,West North Central,423.439,6288,3719,0,
1973,19003,IA,Adams County,rural,Midwest,West North Central,423.439,6086,3614,0,
1974,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5973,3563,0,
1975,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5913,3555,0,
1976,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5830,3507,0,
1977,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5918,3585,0,
1978,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5946,3614,1,
1979,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5856,3558,1,
1980,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5714,3473,1,
1980,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5714,3473,1,
1981,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5629,3405,1,
1982,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5557,3343,1,
1983,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5496,3289,1,
1984,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5424,3237,1,
1985,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5306,3155,1,
1986,19003,IA,Adams County,RURAL,Midwest,West North Central,423.439,5197,3072,1,
1987,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5214,3068,1,
1988,19003,IA,Adams County,rural,Midwest,West North Central,423.439,5097,2991,1,
1989,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4986,2905,1.6,0
1990,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4845,2805,2.2,
1991,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4748,2735,2.8,
1992,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4687,2704,543,0
1992,19003,,,,,,,,,3.4,
1993,19003,IA,Adams County,Rural,Midwest,West North Central,423.439,4634,2680,4,5
1994,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4616,2692,5.666667,5
1995,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4578,2692,7.333333,4.90909090909
1996,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4534,2669,9,4.81818181818
1997,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4503,2665,10.66667,4.72727272727
1998,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4493,2647,12.33333,4.63636363636
1999,19003,IA,Adams County,rural  ,Midwest,West North Central,423.439,4498,2658,14,4.54545454545
1999,19003,IA,Adams County,rural  ,Midwest,West North Central,423.439,4498,2658,14,4.54545454545
2000,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4476,2643,13.16667,4.45454545455
2001,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4402,2616,12.33333,4.36363636364
2002,19003,IA,Adams County,RURAL,Midwest,West North Central,423.439,4370,2594,11.5,4.27272727273
2003,19003,IA,Adams County,Rural,Midwest,West North Central,423.439,4365,2623,10.66667,4.18181818182
2004,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4307,2579,9.833333,4.09090909091
2005,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4226,2567,9,4
2006,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4224,2570,10,4
2007,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4195,2527,11,7
2007,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4195,2527,11,7
2008,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4151,2501,12,7
2009,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4047,2456,13,4
2010,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4029,2484,14,5
2011,19003,IA,Adams County,rural,Midwest,West North Central,423.439,4023,2483,15,6
2012,19003,IA,Adams County,rural,Midwest,West North Central,423.439,3994,2461,16,8
2013,19003,IA,Adams County,  RURAL ,Midwest,West North Central,423.439,3909,2387,17,8
