year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,16001,ID,Ada County,small/mid,West,Mountain,1052.091,113346,70012,87,
1971,16001,ID,Ada County,small/mid,West,Mountain,1052.091,117822,73368,88,
1971,16001,ID,Ada County,small/mid,West,Mountain,1052.091,117822,73368,88,
1972,16001,ID,Ada County,  SMALL/MID ,West,Mountain,1052.091,123129,77494,89,
1973,16001,ID,Ada County,small/mid,West,Mountain,1052.091,129722,82563,90,
1974,16001,ID,Ada County,small/mid,West,Mountain,1052.091,135539,87090,91,
1975,16001,ID,Ada County,Small/mid,West,Mountain,1052.091,141053,91359,92,
1976,16001,ID,Ada County,small/mid,West,Mountain,1052.091,147331,96345,93,
1977,16001,ID,Ada County,small/mid,West,Mountain,1052.091,154507,101753,94,
1978,16001,ID,Ada County,Small/mid,West,Mountain,1052.091,162276,107530,95,
1978,16001,ID,Ada County,Small/mid,West,Mountain,1052.091,162276,107530,95,
1979,16001,ID,Ada County,SMALL/MID,West,Mountain,1052.091,168774,112165,95.61697,
1980,16001,ID,Ada County,small/mid,West,Mountain,1052.091,174191,115568,97.75147,
1980,16001,ID,Ada County,small/mid,West,Mountain,1052.091,174191,115568,97.75147,
1981,16001,ID,Ada County,small/mid,West,Mountain,1052.091,177615,117404,99.90073,
1982,16001,ID,Ada County,small/mid,West,Mountain,1052.091,180483,118741,102.1085,
1983,16001,ID,Ada County,small/mid,West,Mountain,1052.091,182915,120098,104.338,
1984,16001,ID,Ada County,small/mid,West,Mountain,1052.091,186279,122280,119.004,
1985,16001,ID,Ada County,small/mid,West,Mountain,1052.091,189807,124622,133.7178,
1986,16001,ID,Ada County,small/mid,West,Mountain,1052.091,191043,125439,137.6754,
1987,16001,ID,Ada County,small/mid,West,Mountain,1052.091,192922,126502,165.1603,
1988,16001,ID,Ada County,small/mid,West,Mountain,1052.091,195507,128064,177.0361,
1989,16001,ID,Ada County,small/mid,West,Mountain,1052.091,200951,131476,243.0004,
1990,16001,ID,Ada County,small/mid,West,Mountain,1052.091,207722,135656,213.3358,
1991,16001,ID,Ada County,small/mid,West,Mountain,1052.091,216798,142920,191.6305,
1992,16001,ID,Ada County,small/mid,West,Mountain,1052.091,225266,149179,201.3159,
1993,16001,ID,Ada County,small/mid,West,Mountain,1052.091,236477,157545,219.7896,
1994,16001,ID,Ada County,small/mid,West,Mountain,1052.091,247225,165379,221.6587,
1995,16001,ID,Ada County,Small/mid,West,Mountain,1052.091,256860,173001,442.0768,
