year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,17001,IL,Adams County,rural,Midwest,East North Central,855.206,70797,41780,18,
1971,17001,IL,Adams County,rural,Midwest,East North Central,855.206,70528,41480,18.125,
1972,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71909,42439,18.25,
1973,17001,IL,Adams County,rural,Midwest,East North Central,855.206,72745,43048,18.375,
1974,17001,IL,Adams County,rural,Midwest,East North Central,855.206,72727,43385,18.5,
1975,17001,IL,Adams County,rural,Midwest,East North Central,855.206,72329,43426,18.625,
1976,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71947,44008,18.75,
1977,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71283,43930,18.875,
1978,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71640,44680,19,
1979,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71276,44675,22.6,
1979,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71276,44675,22.6,
1980,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71645,45056,26.2,
1981,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71324,44727,29.8,
1982,17001,IL,Adams County,rural,Midwest,East North Central,855.206,71177,44457,33.4,
1983,17001,IL,Adams County,Rural,Midwest,East North Central,855.206,70389,43781,37,73
1984,17001,IL,Adams County,rural,Midwest,East North Central,855.206,69499,43081,40.4,85
1984,17001,IL,Adams County,rural,Midwest,East North Central,855.206,69499,43081,40.4,85
1985,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68545,42394,43.8,97
1986,17001,IL,Adams County,rural,Midwest,East North Central,855.206,67400,41570,47.2,109
1987,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66831,41072,50.6,121
1988,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66694,40859,54,133
1989,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66353,40432,56.4,150
1990,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66109,40250,58.8,189
1991,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66689,40508,61.2,184
1992,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66920,40650,63.6,217
1993,17001,IL,Adams County,rural,Midwest,East North Central,855.206,67558,41091,66,247
1994,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68394,41695,66.83334,246
1995,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68636,41889,67.66666,269
1996,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68680,42037,68.5,284
1997,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68715,42173,69.33334,293
1998,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68681,42305,571,328
1998,17001,,,,,,,,,70.16666,
1999,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68430,42303,71,352
2000,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68183,42299,77.83334,307
2001,17001,IL,Adams County,rural,Midwest,East North Central,855.206,68014,42250,84.66666,274
2002,17001,IL,Adams County,rural,Midwest,East North Central,855.206,67776,42268,91.5,300
2003,17001,IL,Adams County,rural,Midwest,East North Central,855.206,67267,42127,98.33334,347
2004,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66818,42165,105.1667,323
2005,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66920,42398,112,344
2006,17001,IL,Adams County,rural,Midwest,East North Central,855.206,67106,42658,107.5,328
2007,17001,IL,Adams County,  RURAL ,Midwest,East North Central,855.206,66943,42519,103,278
2008,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66943,42516,98.5,278
2009,17001,IL,Adams County,rural,Midwest,East North Central,855.206,67039,42601,94,298
2010,17001,IL,Adams County, rural,Midwest,East North Central,855.206,67103,42620,89.5,340
2011,17001,IL,Adams County,rural,Midwest,East North Central,855.206,67166,42657,85,395
2012,17001,IL,Adams County,  RURAL ,Midwest,East North Central,855.206,67201,42688,80.5,442
2012,17001,IL,Adams County,  RURAL ,Midwest,East North Central,855.206,67201,42688,80.5,442
2013,17001,IL,Adams County,  RURAL ,Midwest,East North Central,855.206,67139,42335,76,393
2013,17001,IL,Adams County,  RURAL ,Midwest,East North Central,855.206,67139,42335,76,393
2014,17001,IL,Adams County,rural,Midwest,East North Central,855.206,66996,42037,76,419
2015,17001,IL,Adams County,RURAL,Midwest,East North Central,855.206,67016,41820,76,
2016,17001,IL,Adams County,rural,Midwest,East North Central,855.206,67014,41610,,
1970,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12035,6799,3,
1971,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12173,6905,3.538461,
1972,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12256,6988,4.076923,
1973,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12315,7061,4.615385,
1974,17003,IL,Alexander County,SMALL/MID,Midwest,East North Central,235.521,12082,6914,5.153846,
1975,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12365,7125,5.692307,
1976,17003,IL,Alexander County,small/mid  ,Midwest,East North Central,235.521,12747,7405,6.230769,
1977,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12624,7327,6.769231,
1978,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12222,7089,7.307693,
1979,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12288,7118,7.846154,
1980,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12277,7111,8.384615,
1981,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12322,7136,8.923077,
1982,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,12054,6972,9.461538,
1983,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,11948,6899,10,44
1984,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,11947,6896,9.2,46
1985,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,11679,6747,8.4,48
1986,17003,IL,Alexander County,SMALL/MID,Midwest,East North Central,235.521,11415,6596,7.6,50
1987,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,11344,6561,6.8,52
1988,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,11137,6439,6,54
1989,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,10777,6218,7.2,59
1990,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,10579,6113,8.4,61
1991,17003,IL,Alexander County,small/mid  ,Midwest,East North Central,235.521,10518,6083,9.6,82
1991,17003,IL,Alexander County,small/mid  ,Midwest,East North Central,235.521,10518,6083,9.6,82
1992,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,10452,6055,10.8,70
1993,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,10265,5968,12,59
1994,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,10053,5847,33.04991,52
1995,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9989,5887,35.83182,59
1996,17003,IL,Alexander County, small/mid,Midwest,East North Central,235.521,9889,5899,38.6088,55
1997,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9659,5802,40.99757,48
1998,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9632,5896,44.13858,54
1999,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9621,5958,47.1249,53
2000,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9684,6029,50.54906,53
2001,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9592,6031,52.68927,59
2002,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9592,6072,46.81785,49
2003,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9254,5856,51.59472,45
2004,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,9186,5807,16.10223,48
2005,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,8914,5660,50.15624,41
2006,17003,IL,Alexander County,SMALL/MID,Midwest,East North Central,235.521,8730,5532,49.41607,51
2007,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,8552,5455,49.13658,44
2008,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,8461,5425,49.43208,56
2009,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,8295,5333,49.02222,50
2010,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,8238,5261,48.68149,48
2011,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,8206,5237,48.22204,41
2012,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,7991,5096,47.24123,45
2013,17003,IL,Alexander County,Small/mid,Midwest,East North Central,235.521,7716,4851,46.83817,46
2014,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,7234,4354,46.83817,46
2015,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,7080,4212,46.83817,
2016,17003,IL,Alexander County,small/mid,Midwest,East North Central,235.521,6759,4032,,
1970,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,14090,8308,4,
1971,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,14411,8582,4.625,
1971,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,14411,8582,4.625,
1972,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,14950,9018,5.25,
1973,17005,IL,Bond County,Suburban,Midwest,East North Central,380.279,15264,9305,5.875,
1974,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15547,9563,6.5,
1975,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15570,9639,7.125,
1976,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15836,9905,7.75,
1977,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15971,10013,8.375,
1978,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15663,9807,9,
1979,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,16227,10225,9,
1980,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,16288,10264,9,
1981,17005,IL,Bond County,suburban  ,Midwest,East North Central,380.279,16491,10384,9,
1982,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,16136,10143,9,
1983,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15933,9995,9,19
1984,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15750,9867,9.6,18.4
1985,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15597,9774,10.2,17.8
1986,17005,IL,Bond County,SUBURBAN,Midwest,East North Central,380.279,15538,9730,10.8,17.2
1987,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15503,9695,11.4,16.6
1988,17005,IL,Bond County, suburban,Midwest,East North Central,380.279,15325,9577,12,16
1989,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15005,9345,17.4,18
1990,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15027,9362,22.8,14
1991,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15165,9464,28.2,16
1992,17005,IL,Bond County,SUBURBAN,Midwest,East North Central,380.279,15251,9544,33.6,14
1993,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15396,9628,39,23
1993,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,15396,9628,39,23
1994,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,16076,10334,35,32
1995,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17100,11271,31,24
1996,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17267,11419,27,26
1997,17005,IL,Bond County, suburban,Midwest,East North Central,380.279,17378,11545,23,28
1998,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17588,11808,19,22
1999,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17532,11796,15,35
2000,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17659,11928,16,30
2001,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17586,11945,17,35
2002,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17735,12027,18,38
2003,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17960,12211,19,40
2004,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,18101,12350,20,43
2004,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,18101,12350,20,43
2005,17005,IL,Bond County,suburban  ,Midwest,East North Central,380.279,17988,12309,21,42
2005,17005,IL,Bond County,suburban  ,Midwest,East North Central,380.279,17988,12309,21,42
2006,17005,IL,Bond County,  SUBURBAN ,Midwest,East North Central,380.279,18004,12255,21.375,44
2007,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,18077,12370,21.75,48
2008,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17916,12216,22.125,54
2008,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17916,12216,22.125,54
2009,17005,IL,Bond County,Suburban,Midwest,East North Central,380.279,17747,12150,536,46
2009,17005,,,,,,,,,22.5,
2010,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17768,12108,22.875,52
2011,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17787,12110,23.25,51
2012,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17719,12027,23.625,64
2013,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17532,11852,24,77
2014,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17322,11643,24,73
2015,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,17130,11491,24,
2016,17005,IL,Bond County,suburban,Midwest,East North Central,380.279,16929,11352,,
1970,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,25481,15308,14,
1971,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,25646,15463,14,
1972,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,26393,16062,14,
1972,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,26393,16062,14,
1973,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,27037,16603,14,
1974,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,27386,16918,14,
1975,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,27411,17001,14,
1976,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,27625,17299,14,
1977,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,28039,17656,14,
1978,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,28685,18202,14,
1978,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,28685,18202,14,
1979,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,29237,18680,14.4,
1980,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,28770,18396,14.8,
1981,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,29183,18702,15.2,
1982,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,29211,18748,15.6,
1983,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,29133,18722,16,20
1984,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,29174,18780,19.5,21
1985,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,29482,19036,23,22
1986,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,29626,19178,20,23
1987,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,29641,19224,21,24
1988,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,30111,19575,27,25
1989,17007,IL,Boone County, small/mid,Midwest,East North Central,280.732,30364,19744,28,40
1990,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,30981,20199,33,59
1991,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,31810,20641,35,55
1992,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,32901,21289,31,57
1993,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,33933,21919,28,52
1994,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,35268,22744,32.66667,65
1995,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,36651,23631,37.33333,56
1996,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,37956,24421,42,61
1997,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,38853,24976,46.66667,62
1998,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,39864,25666,51.33333,71
1999,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,40844,26283,56,82
2000,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,42052,27071,66.16666,77
2001,17007,IL,Boone County,  SMALL/MID ,Midwest,East North Central,280.732,43220,27847,76.33334,79
2002,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,44585,28750,86.5,100
2003,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,46242,29779,96.66666,106
2004,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,47893,30959,106.8333,118
2005,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,49725,32138,117,119
2006,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,51797,33350,114.75,117
2007,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,53512,34482,112.5,142
2008,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,54211,34838,110.25,152
2009,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,54154,34962,108,138
2010,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,54167,34984,105.75,151
2011,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,54106,35022,103.5,157
2012,17007,IL,Boone County,small/mid,Midwest,East North Central,280.732,54130,35180,101.25,154
