year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,18001,IN,Adams County,rural,Midwest,East North Central,339.028,26939,15610,8,
1970,18001,IN,Adams County,rural,Midwest,East North Central,339.028,26939,15610,8,
1971,18001,IN,Adams County,rural,Midwest,East North Central,339.028,27178,15720,7.375,
1972,18001,IN,Adams County,rural,Midwest,East North Central,339.028,27149,15707,6.75,
1973,18001,IN,Adams County,rural,Midwest,East North Central,339.028,27965,16257,6.125,
1974,18001,IN,Adams County,rural,Midwest,East North Central,339.028,28006,16370,5.5,
1975,18001,IN,Adams County,rural,Midwest,East North Central,339.028,28227,16584,4.875,
1976,18001,IN,Adams County,rural,Midwest,East North Central,339.028,28433,17005,4.25,
1977,18001,IN,Adams County,Rural,Midwest,East North Central,339.028,29017,17449,3.625,
1977,18001,IN,Adams County,Rural,Midwest,East North Central,339.028,29017,17449,3.625,
1978,18001,IN,Adams County,rural,Midwest,East North Central,339.028,29320,17796,3,
1979,18001,IN,Adams County,rural,Midwest,East North Central,339.028,29650,18052,5,
1980,18001,IN,Adams County,rural,Midwest,East North Central,339.028,29676,18046,7,
1981,18001,IN,Adams County,rural,Midwest,East North Central,339.028,29728,18049,9,
1982,18001,IN,Adams County,rural,Midwest,East North Central,339.028,29758,18040,11,
1983,18001,IN,Adams County,rural,Midwest,East North Central,339.028,29886,18083,13,
1984,18001,IN,Adams County,rural,Midwest,East North Central,339.028,30115,18225,20.2,
1985,18001,IN,Adams County,rural,Midwest,East North Central,339.028,30282,18339,27.4,
1986,18001,IN,Adams County,rural,Midwest,East North Central,339.028,30427,18448,34.6,
1987,18001,IN,Adams County,rural,Midwest,East North Central,339.028,30837,18672,41.8,
1988,18001,IN,Adams County,rural,Midwest,East North Central,339.028,31192,18835,49,
1989,18001,IN,Adams County,rural,Midwest,East North Central,339.028,31051,18622,47.6,
1990,18001,IN,Adams County,rural,Midwest,East North Central,339.028,31160,18755,46.2,
1991,18001,IN,Adams County,rural,Midwest,East North Central,339.028,31385,18888,44.8,
1992,18001,IN,Adams County,rural,Midwest,East North Central,339.028,31545,19030,43.4,
1993,18001,IN,Adams County,rural,Midwest,East North Central,339.028,31758,19190,42,
1994,18001,IN,Adams County,rural  ,Midwest,East North Central,339.028,32204,19485,50,
1995,18001,IN,Adams County,rural,Midwest,East North Central,339.028,32565,19712,56,
1996,18001,IN,Adams County,rural,Midwest,East North Central,339.028,32866,19971,58,
