year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15051,8398,1,
1970,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15051,8398,1,
1971,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15096,8365,1,
1972,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15296,8465,1,
1973,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15520,8582,1,
1974,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15418,8610,1,
1975,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15286,8602,1,
1976,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15441,8898,1,
1977,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15704,9154,1,
1977,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15704,9154,1,
1978,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15704,9324,1,
1979,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15796,9412,3.2,
1980,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15663,9298,5.4,
1981,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15616,9251,7.6,
1982,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15639,9251,9.8,
1983,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15819,9343,12,
1983,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15819,9343,12,
1984,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15863,9359,12,
1984,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15863,9359,12,
1985,20001,KS,Allen County,rural,Midwest,West North Central,500.297,15481,9107,12,
1986,20001,KS,Allen County,Rural,Midwest,West North Central,500.297,15166,8923,12,
1987,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14786,8659,12,
1988,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14520,8485,12,
1989,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14644,8509,12.8,
1990,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14640,8516,13.6,
1991,20001,KS,Allen County,RURAL,Midwest,West North Central,500.297,14645,8504,14.4,
1992,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14697,8591,15.2,
1993,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14693,8638,16,
1994,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14721,8734,16.33333,
1995,20001,KS,Allen County, rural,Midwest,West North Central,500.297,14667,8782,16.66667,
1996,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14677,8851,17,
1997,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14500,8780,17.33333,
1998,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14551,8896,17.66667,
1999,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14444,8887,18,
2000,20001,KS,Allen County, rural,Midwest,West North Central,500.297,14393,8921,23.33333,
2001,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14171,8850,28.66667,
2002,20001,KS,Allen County,rural,Midwest,West North Central,500.297,14110,8841,34,
2003,20001,KS,Allen County,Rural,Midwest,West North Central,500.297,13940,8731,39.33333,
2004,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13923,8778,44.66667,
2005,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13733,8695,50,
2006,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13639,8595,50,
2007,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13545,8480,50,
2008,20001,KS,Allen County, rural,Midwest,West North Central,500.297,13422,8383,50,
2009,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13407,8336,50,
2010,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13366,8314,564,
2010,20001,,,,,,,,,50,
2011,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13357,8314,50,
2012,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13339,8317,50,
2013,20001,KS,Allen County,  RURAL ,Midwest,West North Central,500.297,13294,8301,50,
2014,20001,KS,Allen County,rural,Midwest,West North Central,500.297,13054,8132,50,
2015,20001,KS,Allen County,rural,Midwest,West North Central,500.297,12882,7932,50,
2016,20001,KS,Allen County,rural,Midwest,West North Central,500.297,12657,7819,,
1970,20003,KS,Anderson County,rural,Midwest,West North Central,579.647,8499,4617,0,
1971,20003,KS,Anderson County,rural,Midwest,West North Central,579.647,8479,4626,0,
1972,20003,KS,Anderson County,rural,Midwest,West North Central,579.647,8643,4770,0,
1973,20003,KS,Anderson County,rural,Midwest,West North Central,579.647,8645,4813,0,
