year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,52178,30009,34,
1971,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,52509,30286,35.375,
1972,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,52624,30524,36.75,
1973,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,52767,30805,38.125,
1973,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,52767,30805,38.125,
1974,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,52692,30969,39.5,
1974,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,52692,30969,39.5,
1975,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,53130,31461,40.875,
1976,22001,LA,Acadia Parish, small/mid,South,West South Central,655.13,53762,32237,42.25,
1977,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,53808,32482,43.625,
1978,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,54371,33106,45,
1979,22001,LA,Acadia Parish, small/mid,South,West South Central,655.13,55395,33935,47.8,
1980,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,56640,34857,50.6,
1981,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,57342,35405,53.4,
1982,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,58558,36272,56.2,
1983,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,59135,36651,59,
1984,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,58753,36399,61,
1985,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,59016,36504,63,
1986,22001,LA,Acadia Parish,SMALL/MID,South,West South Central,655.13,59175,36482,64,
1987,22001,LA,Acadia Parish,Small/mid,South,West South Central,655.13,58326,35807,64,
1988,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,57343,35030,76,
1989,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,56782,34627,64,98.3333333333
1990,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,55741,34308,64,151.666666667
1991,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,56237,34483,58,205
1992,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,56357,34537,64,226
1993,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,56885,34915,76,274
1994,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,56992,35063,96.16666,270
1995,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,57473,35537,116.3333,275
1996,22001,LA,Acadia Parish, small/mid,South,West South Central,655.13,58064,36109,136.5,269
1997,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,58218,36405,156.6667,269
1998,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,58501,36758,176.8333,245
1999,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,58762,37036,197,224
2000,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,58795,37181,184,
2001,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,58844,37380,180,
2002,22001,LA,Acadia Parish, small/mid,South,West South Central,655.13,59065,37630,192,
2003,22001,LA,Acadia Parish,SMALL/MID,South,West South Central,655.13,59194,37839,210,
2004,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,59223,37994,218,
2005,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,59524,38426,86,
2006,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,60522,39221,76.75,
2007,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,60762,39408,67.5,
2008,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,61115,39577,58.25,
2009,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,61451,39648,49,
2010,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,61770,39839,39.75,
2011,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,61859,39914,30.5,
2012,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,61826,39932,21.25,
2012,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,61826,39932,21.25,
2013,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,61984,39901,12,
2014,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,62284,40048,12,
2015,22001,LA,Acadia Parish,  SMALL/MID ,South,West South Central,655.13,62664,40202,12,
2016,22001,LA,Acadia Parish,small/mid,South,West South Central,655.13,62696,40134,,
1970,22003,LA,Allen Parish,rural,South,West South Central,761.812,20825,11882,9,
1971,22003,LA,Allen Parish,rural,South,West South Central,761.812,21001,12061,9.375,
1972,22003,LA,Allen Parish,rural,South,West South Central,761.812,21104,12227,9.75,
1973,22003,LA,Allen Parish,rural,South,West South Central,761.812,20764,12104,10.125,
1974,22003,LA,Allen Parish,rural,South,West South Central,761.812,20556,12064,10.5,
1975,22003,LA,Allen Parish,rural,South,West South Central,761.812,20660,12228,10.875,
1976,22003,LA,Allen Parish,rural,South,West South Central,761.812,20747,12398,11.25,
1977,22003,LA,Allen Parish,rural,South,West South Central,761.812,20912,12563,11.625,
1978,22003,LA,Allen Parish,rural,South,West South Central,761.812,21035,12704,12,
1979,22003,LA,Allen Parish,rural,South,West South Central,761.812,21154,12866,16.2,
1980,22003,LA,Allen Parish,rural,South,West South Central,761.812,21392,13095,20.4,
1981,22003,LA,Allen Parish,rural,South,West South Central,761.812,21288,13126,24.6,
1982,22003,LA,Allen Parish,rural,South,West South Central,761.812,21711,13493,28.8,
1983,22003,LA,Allen Parish,rural,South,West South Central,761.812,21708,13542,33,
1984,22003,LA,Allen Parish,rural,South,West South Central,761.812,21522,13477,18.5,
1985,22003,LA,Allen Parish,rural,South,West South Central,761.812,21582,13547,557,
1985,22003,,,,,,,,,4,
1986,22003,LA,Allen Parish,rural,South,West South Central,761.812,21663,13608,3,
1987,22003,LA,Allen Parish,rural,South,West South Central,761.812,22597,14192,3,
1988,22003,LA,Allen Parish,rural,South,West South Central,761.812,21175,13285,42,
1989,22003,LA,Allen Parish,rural,South,West South Central,761.812,21386,13454,42.4,21.6666666667
1990,22003,LA,Allen Parish,rural,South,West South Central,761.812,21232,13488,42.8,34.3333333333
1991,22003,LA,Allen Parish,rural,South,West South Central,761.812,21968,14114,43.2,47
1992,22003,LA,Allen Parish,rural,South,West South Central,761.812,22822,14847,43.6,47
1993,22003,LA,Allen Parish,rural,South,West South Central,761.812,23510,15542,44,61
1994,22003,LA,Allen Parish,rural,South,West South Central,761.812,23792,15764,35,78
1995,22003,LA,Allen Parish,rural,South,West South Central,761.812,24246,16137,35,68
1995,22003,LA,Allen Parish,rural,South,West South Central,761.812,24246,16137,35,68
1996,22003,LA,Allen Parish,rural,South,West South Central,761.812,24687,16553,37,98
1997,22003,LA,Allen Parish,rural,South,West South Central,761.812,24605,16499,37,86
1998,22003,LA,Allen Parish,rural,South,West South Central,761.812,25114,16965,38,90
1999,22003,LA,Allen Parish,rural,South,West South Central,761.812,25364,17166,40,98
2000,22003,LA,Allen Parish,rural,South,West South Central,761.812,25401,17201,40,
2001,22003,LA,Allen Parish,rural,South,West South Central,761.812,25399,17197,40,
2002,22003,LA,Allen Parish,rural,South,West South Central,761.812,25194,17115,40,
2003,22003,LA,Allen Parish,RURAL,South,West South Central,761.812,25327,17167,40,
2004,22003,LA,Allen Parish,rural,South,West South Central,761.812,25338,17265,40,
2005,22003,LA,Allen Parish,rural,South,West South Central,761.812,25076,17058,40,
2006,22003,LA,Allen Parish,rural,South,West South Central,761.812,25692,17609,40.625,
2006,22003,LA,Allen Parish,rural,South,West South Central,761.812,25692,17609,40.625,
2007,22003,LA,Allen Parish,rural,South,West South Central,761.812,25937,17792,41.25,
2008,22003,LA,Allen Parish,rural,South,West South Central,761.812,25854,17647,41.875,
2009,22003,LA,Allen Parish,rural,South,West South Central,761.812,25863,17686,42.5,
2010,22003,LA,Allen Parish,rural,South,West South Central,761.812,25764,17576,43.125,
2011,22003,LA,Allen Parish,rural,South,West South Central,761.812,25721,17544,43.75,
2012,22003,LA,Allen Parish,rural,South,West South Central,761.812,25741,17498,44.375,
2013,22003,LA,Allen Parish,rural,South,West South Central,761.812,25632,17389,45,
2014,22003,LA,Allen Parish,rural,South,West South Central,761.812,25676,17354,45,
2015,22003,LA,Allen Parish,rural,South,West South Central,761.812,25724,17362,45,
2016,22003,LA,Allen Parish,rural,South,West South Central,761.812,25630,17253,,
1970,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,37267,21095,22,
1971,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,38017,21715,23.75,
1972,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,39520,22894,25.5,
1973,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,39947,23403,27.25,
1974,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,40591,24036,29,
1975,22005,LA,Ascension Parish,  SMALL/MID ,South,West South Central,289.974,41497,24815,30.75,
1976,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,42960,26101,32.5,
1977,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,44608,27471,34.25,
1978,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,46303,28839,36,
1979,22005,LA,Ascension Parish,Small/mid,South,West South Central,289.974,48213,30326,43.8,
1980,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,50422,31958,51.6,
1981,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,51756,33025,59.4,
1982,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,53054,34056,67.2,
1983,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,55232,35572,75,
1984,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,57260,36977,62.5,
1985,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,57977,37491,50,
1986,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,58703,37986,55,
1987,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,58604,37898,52,
1988,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,57273,36976,74,
1989,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,57587,37221,96.4,85.6666666667
1990,22005,LA,Ascension Parish,SMALL/MID,South,West South Central,289.974,58408,38193,118.8,132.333333333
1991,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,59447,38753,141.2,179
1992,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,60829,39680,163.6,160
1993,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,62219,40716,186,200
1994,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,64216,42162,169,214
1995,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,66138,43594,195,273
1996,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,68093,45150,200,295
1997,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,70505,46994,200,295
1998,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,72272,48351,223,295
1999,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,74662,50125,228,295
2000,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,77335,52101,234.1667,
2001,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,79210,53541,767,
2001,22005,,,,,,,,,240.3333,
2002,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,81379,55179,760,
2002,22005,,,,,,,,,246.5,
2003,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,83967,56967,252.6667,
2004,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,86352,58456,258.8333,
2005,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,89741,60671,265,
2006,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,96421,65187,270,
2007,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,100132,67473,275,
2008,22005,LA,Ascension Parish, small/mid,South,West South Central,289.974,102891,69143,294,
2009,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,105172,70662,428,
2010,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,107194,71975,460,
2011,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,107870,72488,430,
2012,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,109996,73914,435,
2013,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,112203,75101,485,
2014,22005,LA,Ascension Parish,SMALL/MID,South,West South Central,289.974,114572,76528,480,
2015,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,117263,78265,480,
2016,22005,LA,Ascension Parish,small/mid,South,West South Central,289.974,119376,79562,,
1970,22007,LA,Assumption Parish,rural,South,West South Central,338.663,19703,10833,3,
1971,22007,LA,Assumption Parish,rural,South,West South Central,338.663,19939,11089,4.125,
1972,22007,LA,Assumption Parish,rural  ,South,West South Central,338.663,20168,11367,5.25,
1973,22007,LA,Assumption Parish,RURAL,South,West South Central,338.663,20353,11629,6.375,
