year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,97168,55459,45.13859,
1971,25001,MA,Barnstable County,small/mid  ,Northeast,New England,394.206,99247,56280,613,
1971,25001,,,,,,,,,47.88327,
1972,25001,MA,Barnstable County,SMALL/MID,Northeast,New England,394.206,99241,55730,50.68198,
1973,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,111100,63495,53.45061,
1974,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,123823,72315,55.95285,
1975,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,129441,76053,58.67918,
1976,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,133145,79204,61.59203,
1977,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,138075,82774,64.4377,
1978,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,140970,84951,67.19061,
1979,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,146268,88734,70.24891,
1979,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,146268,88734,70.24891,
1980,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,148924,90421,73.26378,
1981,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,152199,92705,76.18295,
1982,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,154454,94128,79.03275,
1983,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,157320,95874,81.87526,
1984,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,162140,99049,103.0276,
1985,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,166581,101844,124.1988,
1986,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,171635,104859,669,
1986,25001,,,,,,,,,103.091,
1987,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,176212,107333,103.1242,
1988,25001,MA,Barnstable County,SMALL/MID,Northeast,New England,394.206,181132,110173,125.3028,
1989,25001,MA,Barnstable County,SMALL/MID,Northeast,New England,394.206,184642,111588,124.3831,
1990,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,187335,112576,131.1647,
1991,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,189165,112222,140.6581,
1992,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,191595,113175,146.3279,
1993,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,194830,114356,146.1222,
1993,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,194830,114356,146.1222,
1994,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,198533,116399,162.2434,
1995,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,202874,119155,178.4599,
1996,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,206852,121257,194.6148,
1997,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,210380,123717,210.7458,
1998,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,214497,126739,226.6015,
1999,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,218960,130596,242.5826,
2000,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,223031,133937,257.4803,
2001,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,224087,135393,272.8559,
2002,25001,MA,Barnstable County,Small/mid,Northeast,New England,394.206,225421,137375,287.9311,
2003,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,226011,138494,303.0948,
2004,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,224264,138396,318.0412,
2005,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,221995,137509,333.136,
2006,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,220037,136495,337.9498,
2007,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,218380,135126,342.7212,
2008,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,217066,133476,347.4722,231
2009,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,215994,132393,352.4814,236
2010,25001,MA,Barnstable County, small/mid,Northeast,New England,394.206,215868,132239,357.7333,254
2011,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,215877,132205,362.981,266
2012,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,215340,131650,367.639,254
2013,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,214787,129663,372.156,247
2014,25001,MA,Barnstable County,small/mid,Northeast,New England,394.206,214566,128479,376.5946,272
2015,25001,MA,Barnstable County, small/mid,Northeast,New England,394.206,214279,127360,381.7251,288
2016,25001,MA,Barnstable County,small/mid  ,Northeast,New England,394.206,213773,126179,,
1970,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,149716,90229,61,
1971,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,150990,91803,63.125,
1972,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,148871,91288,65.25,
1973,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,149578,92779,67.375,
1974,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,149651,93821,648,
1974,25003,,,,,,,,,69.5,
1975,25003,MA,Berkshire County,  SMALL/MID ,Northeast,New England,926.907,148791,94131,71.625,
1976,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,146362,93426,73.75,
1977,25003,MA,Berkshire County,  SMALL/MID ,Northeast,New England,926.907,144829,93148,75.875,
1978,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,146357,95022,78,
1979,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,145440,94973,81.6,
1980,25003,MA,Berkshire County,small/mid,Northeast,New England,926.907,145167,95257,85.2,
