year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,84057,52547,29,
1971,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,84155,52710,29.5,
1972,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,84834,53437,30,
1973,24001,MD,Allegany County,small/mid  ,South,South Atlantic,422.138,84017,53118,30.5,
1974,24001,MD,Allegany County,Small/mid,South,South Atlantic,422.138,84112,53510,31,
1975,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,82762,52813,31.5,
1976,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,81943,52981,32,
1977,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,81444,52934,32.5,
1978,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,80773,52384,33,
1979,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,81103,52781,32,
1980,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,80639,52514,31,
1981,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,80565,52578,30,
1982,24001,MD,Allegany County,SMALL/MID,South,South Atlantic,422.138,79650,51940,29,
1983,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,78765,51297,28,83
1984,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,77476,50417,35.8,79
1985,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,76303,49573,43.6,87
1986,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75920,49286,51.4,80
1987,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75464,48786,59.2,84
1988,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75433,48502,67,95
1989,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75191,47972,74.4,97
1990,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,74954,47415,81.8,104
1991,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75305,47365,89.2,107
1991,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75305,47365,89.2,107
1992,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75411,47207,96.6,119
1993,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75296,47028,104,149
1994,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75203,46996,106,153
1995,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75427,47234,97,168
1996,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75132,47344,100,172
1997,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75310,48026,95,179
1998,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75547,48693,88,194
1999,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75288,48998,88,188
2000,24001,MD,Allegany County,  SMALL/MID ,South,South Atlantic,422.138,74804,48956,99.16666,182
2001,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,74525,48958,110.3333,202
2002,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,74204,49034,121.5,224
2003,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,74076,49064,132.6667,202
2004,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,74408,49527,143.8333,236
2005,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,73979,49459,155,193
2006,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,73980,49612,154.75,188
2007,24001,MD,Allegany County,  SMALL/MID ,South,South Atlantic,422.138,74449,50021,154.5,198
2008,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,74638,50176,154.25,191
2009,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75101,50707,154,177
2010,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,75058,50672,153.75,171
2011,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,74977,50577,153.5,159
2012,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,74585,50290,153.25,156
2013,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,73962,49486,153,156
2014,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,73604,48994,153,156
2015,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,73045,48335,153,156
2016,24001,MD,Allegany County,small/mid,South,South Atlantic,422.138,72498,47922,,
1970,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,300240,192700,120,
1971,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,309038,200042,126.375,
1972,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,316609,207215,132.75,
1973,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,330647,218935,139.125,
1974,24003,MD,Anne Arundel County,  SUBURBAN ,South,South Atlantic,414.785,334747,223935,145.5,
1975,24003,MD,Anne Arundel County,Suburban,South,South Atlantic,414.785,345614,233489,704,
1975,24003,,,,,,,,,151.875,
1976,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,353987,241905,158.25,
1977,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,361059,249157,164.625,
1978,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,365599,254527,171,
1979,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,368968,258886,177.8,
1980,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,372453,263054,184.6,
1981,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,378225,268319,191.4,
1982,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,382450,271900,198.2,
1983,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,385373,274415,205,600
1984,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,389987,278069,212,617
1985,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,396032,282589,219,645
1986,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,403531,288331,238,661
1987,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,412138,293915,306,693
1988,24003,MD,Anne Arundel County,suburban,South,South Atlantic,414.785,418049,296947,342,712
