year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,91605,54366,34,
1971,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,92884,55479,33.125,
1972,23001,ME,Androscoggin County,SMALL/MID,Northeast,New England,467.941,93755,56475,32.25,
1973,23001,ME,Androscoggin County,SMALL/MID,Northeast,New England,467.941,95077,57814,31.375,
1974,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,95871,58769,30.5,
1975,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,95536,58890,29.625,
1976,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,97125,60597,28.75,
1977,23001,ME,Androscoggin County,small/mid  ,Northeast,New England,467.941,98182,61802,27.875,
1977,23001,ME,Androscoggin County,small/mid  ,Northeast,New England,467.941,98182,61802,27.875,
1978,23001,ME,Androscoggin County, small/mid,Northeast,New England,467.941,98837,62679,27,
1979,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,99656,63505,529,
1979,23001,,,,,,,,,28,
1980,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,99622,63674,29,
1981,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,99521,63847,30,
1982,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,98861,63461,31,
1983,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,99267,63840,32,
1984,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,100019,64558,36.2,
1985,23001,ME,Androscoggin County,SMALL/MID,Northeast,New England,467.941,100117,64764,40.4,
1986,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,100205,64996,44.6,
1987,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,101384,65860,48.8,
1988,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,103562,67399,53,
1989,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,105274,68382,66,
1990,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,105412,68499,85,
1991,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,104973,67981,96,
1992,23001,ME,Androscoggin County,small/mid  ,Northeast,New England,467.941,104335,67403,92,194
1993,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,104464,67346,76,203
1994,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,104112,67178,76.66666,218
1994,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,104112,67178,76.66666,218
1995,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,103769,67315,578,210
1995,23001,,,,,,,,,77.33334,
1996,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,102966,66935,78,182
1997,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,102518,66847,78.66666,185
1997,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,102518,66847,78.66666,185
1998,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,103120,67467,79.33334,184.285714286
1999,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,103403,67950,80,183.571428571
2000,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,103852,68495,87.5,182.857142857
2001,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,104260,69145,95,182.142857143
2002,23001,ME,Androscoggin County,  SMALL/MID ,Northeast,New England,467.941,105063,70026,102.5,181.428571429
2003,23001,ME,Androscoggin County,Small/mid,Northeast,New England,467.941,106140,71039,110,180.714285714
2003,23001,ME,Androscoggin County,Small/mid,Northeast,New England,467.941,106140,71039,110,180.714285714
2004,23001,ME,Androscoggin County,small/mid,Northeast,New England,467.941,106867,71672,117.5,180
