year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,7214,4057,2,
1971,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,7608,4305,2.125,
1972,26001,MI,Alcona County,rural  ,Midwest,East North Central,674.655,8110,4645,2.25,
1973,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,8412,4845,2.375,
1974,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,8556,4928,2.5,
1975,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,8686,5005,2.625,
1976,26001,MI,Alcona County,Rural,Midwest,East North Central,674.655,8983,5280,2.75,
1977,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9264,5481,2.875,
1978,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9475,5655,3,
1979,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9553,5678,3,
1980,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9766,5793,3,
1981,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9823,5806,3,
1982,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9801,5782,3,
1983,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9832,5784,3,5
1984,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9861,5811,3.8,7
1985,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10013,5917,4.6,7
1986,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10100,5994,5.4,8
1986,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10100,5994,5.4,8
1987,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,9980,5922,6.2,9
1988,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10158,6011,7,10
1989,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10141,5973,10.4,13
1990,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10169,5985,13.8,9
1991,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10312,6033,17.2,10
1991,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10312,6033,17.2,10
1992,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10401,6083,20.6,10
1993,26001,MI,Alcona County,  RURAL ,Midwest,East North Central,674.655,10316,5958,24,15
1994,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10560,6123,24.33333,15
1995,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,10775,6281,24.66667,15
1996,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11106,6541,25,20
1996,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11106,6541,25,20
1997,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11233,6655,25.33333,25
1998,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11464,6872,25.66667,27
1999,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11641,7007,26,28
2000,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11677,7062,26.66667,38
2001,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11665,6996,27.33333,36
2002,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11480,6913,28,38
2002,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11480,6913,28,38
2003,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11495,6868,28.66667,31
2004,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11459,6840,29.33333,37
2005,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11517,6827,30,46
2005,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11517,6827,30,46
2006,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11503,6793,29,52
2007,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11412,6691,29,56
2008,26001,MI,Alcona County,rural,Midwest,East North Central,674.655,11286,6572,23,52
2009,26001,MI,Alcona County, rural,Midwest,East North Central,674.655,11106,6391,26,45
