year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,11452,6241,4,
1971,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,11646,6320,3.875,
1972,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,11982,6523,3.75,
1973,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12072,6561,3.625,
1974,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12100,6637,3.5,
1975,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12142,6728,3.375,
1976,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12347,7068,3.25,
1977,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12690,7344,3.125,
1977,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12690,7344,3.125,
1978,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12899,7575,3,
1979,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13030,7665,5,
1980,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13387,7890,7,
1981,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13276,7804,9,
1982,27001,MN,Aitkin County,RURAL,Midwest,West North Central,1821.735,13247,7746,11,
1983,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13440,7812,13,
1984,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13218,7667,578,
1984,27001,,,,,,,,,12.8,
1985,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13070,7576,12.6,
1986,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12770,7380,12.4,7
1987,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12665,7284,12.2,7
1988,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12540,7175,12,6
1989,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12417,7057,12.6,8
1990,27001,MN,Aitkin County,  RURAL ,Midwest,West North Central,1821.735,12462,7037,13.2,10
1991,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12603,7143,592,12.6666666667
1991,27001,,,,,,,,,13.8,
1992,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,12825,7286,14.4,15.3333333333
1993,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13112,7491,15,18
1994,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13524,7814,16.5,18
1995,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,13847,8073,18,21
1996,27001,MN,Aitkin County,RURAL,Midwest,West North Central,1821.735,14181,8339,19.5,24
1997,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,14403,8541,21,23
1998,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,14840,8881,22.5,23
1999,27001,MN,Aitkin County,rural  ,Midwest,West North Central,1821.735,15062,9064,24,23
2000,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,15282,9240,32,25
2000,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,15282,9240,32,25
2001,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,15334,9310,606,26
2001,27001,,,,,,,,,40,
2002,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,15616,9501,48,26
2002,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,15616,9501,48,26
2003,27001,MN,Aitkin County,rural  ,Midwest,West North Central,1821.735,15795,9587,56,25
2004,27001,MN,Aitkin County, rural,Midwest,West North Central,1821.735,16028,9739,64,31
2005,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,16162,9802,72,39
2006,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,16357,9895,68,37
2006,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,16357,9895,68,37
2007,27001,MN,Aitkin County,rural,Midwest,West North Central,1821.735,16481,9841,65,40
