year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,29001,MO,Adair County,rural,Midwest,West North Central,567.324,22438,15113,6,
1971,29001,MO,Adair County,rural,Midwest,West North Central,567.324,22295,14866,7.125,
1972,29001,MO,Adair County,rural,Midwest,West North Central,567.324,23359,15497,8.25,
1973,29001,MO,Adair County,rural,Midwest,West North Central,567.324,23944,15797,9.375,
1974,29001,MO,Adair County,rural,Midwest,West North Central,567.324,23893,15755,10.5,
1975,29001,MO,Adair County,rural,Midwest,West North Central,567.324,23439,15411,11.625,
1976,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24096,16293,12.75,
1977,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24051,16309,13.875,
1978,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24332,16705,15,
1979,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24502,16890,15.2,
1980,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24975,17387,15.4,
1981,29001,MO,Adair County, rural,Midwest,West North Central,567.324,25257,17618,15.6,
1982,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25363,17694,15.8,
1983,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25530,17830,16,10
1984,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25521,17838,18,20
1985,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25318,17724,20,23
1986,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24746,17349,20,29
1987,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24766,17360,20,29
1988,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24485,17142,19,43
1989,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24567,17149,19,47
1989,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24567,17149,19,47
1990,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24584,17170,19,41
1991,29001,MO,Adair County,rural  ,Midwest,West North Central,567.324,24574,17153,19,40
1992,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24690,17285,19,31
1993,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24844,17408,19,29
1994,29001,MO,Adair County,  RURAL ,Midwest,West North Central,567.324,24959,17554,19.16667,40
1995,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24998,17681,19.33333,41
1996,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24883,17692,19.5,57
1997,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24871,17712,19.66667,56
1998,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24887,17773,19.83333,55
1999,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24961,17913,20,54
2000,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24956,18014,24,64
2001,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24967,18067,28,64
2002,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25072,18140,32,64
2003,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24958,18123,36,65
2004,29001,MO,Adair County,rural,Midwest,West North Central,567.324,24988,18067,40,74
2005,29001,MO,Adair County,RURAL,Midwest,West North Central,567.324,24849,17974,44,68
2006,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25007,18109,44,72
2007,29001,MO,Adair County,RURAL,Midwest,West North Central,567.324,24983,18031,44,81
2008,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25399,18222,44,83
2009,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25577,18288,44,83
2010,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25607,18304,44,83
2011,29001,MO,Adair County, rural,Midwest,West North Central,567.324,25625,18306,44,94
2012,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25635,18307,44,90
2012,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25635,18307,44,90
2013,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25668,18266,44,86
2014,29001,MO,Adair County,Rural,Midwest,West North Central,567.324,25709,18264,44,107
2015,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25537,18113,44,123
2016,29001,MO,Adair County,rural,Midwest,West North Central,567.324,25339,17914,,
1970,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,12006,6865,2,
1971,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,12417,7183,2.625,
1972,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,12611,7363,3.25,
1973,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,12819,7576,3.875,
1974,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,12981,7721,4.5,
1975,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,13479,8098,5.125,
1976,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,13437,8103,5.75,
1977,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,13432,8131,6.375,
1977,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,13432,8131,6.375,
1978,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,13828,8423,7,
1979,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,13789,8440,6.8,
1980,29003,MO,Andrew County,SMALL/MID,Midwest,West North Central,432.689,14019,8618,6.6,
1981,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14131,8683,6.4,
1982,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14273,8760,6.2,
1983,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14508,8919,6,7
1984,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14709,9051,6.8,5
1985,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14611,9009,7.6,7
1986,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14475,8947,8.4,11
1987,29003,MO,Andrew County, small/mid,Midwest,West North Central,432.689,14539,8993,9.2,12
1988,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14597,9022,10,13
1989,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14534,8952,10,28
1990,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,14696,9044,10,33
1991,29003,MO,Andrew County,small/mid  ,Midwest,West North Central,432.689,14898,9171,10,29
1992,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,15042,9275,10,31
1993,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,15157,9375,10,32
1993,29003,MO,Andrew County,small/mid,Midwest,West North Central,432.689,15157,9375,10,32
