year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,28001,MS,Adams County,rural,South,East South Central,462.344,37443,21872,20,
1971,28001,MS,Adams County,rural,South,East South Central,462.344,38065,22376,21.625,
1972,28001,MS,Adams County,rural,South,East South Central,462.344,37851,22409,23.25,
1973,28001,MS,Adams County,rural,South,East South Central,462.344,37392,22273,24.875,
1973,28001,MS,Adams County,rural,South,East South Central,462.344,37392,22273,24.875,
1974,28001,MS,Adams County,rural,South,East South Central,462.344,37668,22660,26.5,
1975,28001,MS,Adams County,rural,South,East South Central,462.344,38394,23340,28.125,
1976,28001,MS,Adams County,rural,South,East South Central,462.344,37985,23344,29.75,
1977,28001,MS,Adams County,rural,South,East South Central,462.344,37861,23451,31.375,
1978,28001,MS,Adams County,rural,South,East South Central,462.344,37875,23669,33,
1979,28001,MS,Adams County,rural,South,East South Central,462.344,37713,23724,37.8,
1980,28001,MS,Adams County,rural,South,East South Central,462.344,38180,24126,42.6,
1981,28001,MS,Adams County,rural,South,East South Central,462.344,38697,24399,47.4,
1982,28001,MS,Adams County,rural,South,East South Central,462.344,39175,24621,52.2,
1983,28001,MS,Adams County,rural,South,East South Central,462.344,38843,24300,571,79
1983,28001,,,,,,,,,57,
1984,28001,MS,Adams County,rural,South,East South Central,462.344,39009,24315,53.2,84
1985,28001,MS,Adams County,rural,South,East South Central,462.344,38823,24107,49.4,123
1986,28001,MS,Adams County,  RURAL ,South,East South Central,462.344,37693,23381,45.6,109
1987,28001,MS,Adams County,rural,South,East South Central,462.344,36540,22638,41.8,108
1988,28001,MS,Adams County,rural,South,East South Central,462.344,35795,22114,38,117
1989,28001,MS,Adams County,rural  ,South,East South Central,462.344,35768,22022,47.4,89
1990,28001,MS,Adams County,RURAL,South,East South Central,462.344,35294,21891,56.8,89
1991,28001,MS,Adams County,  RURAL ,South,East South Central,462.344,35390,21869,66.2,104
1992,28001,MS,Adams County,rural,South,East South Central,462.344,34899,21465,75.6,111
1993,28001,MS,Adams County,rural,South,East South Central,462.344,35013,21565,85,125
1994,28001,MS,Adams County,rural,South,East South Central,462.344,35151,21696,88.33334,122
1994,28001,MS,Adams County,rural,South,East South Central,462.344,35151,21696,88.33334,122
1995,28001,MS,Adams County,rural,South,East South Central,462.344,34976,21645,91.66666,113
1995,28001,MS,Adams County,rural,South,East South Central,462.344,34976,21645,91.66666,113
1996,28001,MS,Adams County,rural,South,East South Central,462.344,35105,21847,95,145
1997,28001,MS,Adams County,rural,South,East South Central,462.344,35242,21958,599,180
1997,28001,,,,,,,,,98.33334,
1998,28001,MS,Adams County,rural,South,East South Central,462.344,34969,21882,101.6667,180
1999,28001,MS,Adams County,rural,South,East South Central,462.344,34591,21656,105,170
2000,28001,MS,Adams County,Rural,South,East South Central,462.344,34246,21462,100.8333,175.083333333
2001,28001,MS,Adams County,Rural,South,East South Central,462.344,33945,21395,96.66666,180.166666667
2002,28001,MS,Adams County,rural,South,East South Central,462.344,33730,21313,92.5,185.25
2003,28001,MS,Adams County,Rural,South,East South Central,462.344,33482,21283,88.33334,190.333333333
2004,28001,MS,Adams County,rural,South,East South Central,462.344,32785,21008,84.16666,195.416666667
2005,28001,MS,Adams County,rural,South,East South Central,462.344,32674,21060,80,200.5
2006,28001,MS,Adams County,rural,South,East South Central,462.344,33220,21433,80.875,205.583333333
2007,28001,MS,Adams County,rural,South,East South Central,462.344,32889,21315,81.75,210.666666667
2008,28001,MS,Adams County,rural,South,East South Central,462.344,32629,21315,82.625,215.75
2009,28001,MS,Adams County,rural,South,East South Central,462.344,32305,21199,83.5,220.833333333
2010,28001,MS,Adams County,rural,South,East South Central,462.344,32297,21303,84.375,225.916666667
2011,28001,MS,Adams County,rural,South,East South Central,462.344,32566,21594,85.25,231
2011,28001,MS,Adams County,rural,South,East South Central,462.344,32566,21594,85.25,231
2012,28001,MS,Adams County,rural,South,East South Central,462.344,32413,21463,86.125,250
2013,28001,MS,Adams County,rural,South,East South Central,462.344,32175,21220,87,239
2014,28001,MS,Adams County,rural,South,East South Central,462.344,32111,21221,87,217
2014,28001,MS,Adams County,rural,South,East South Central,462.344,32111,21221,87,217
2015,28001,MS,Adams County,rural,South,East South Central,462.344,31962,21028,87,204
2016,28001,MS,Adams County,rural,South,East South Central,462.344,31400,20463,,
1970,28003,MS,Alcorn County,rural,South,East South Central,400.041,27322,16759,12,
1971,28003,MS,Alcorn County,rural,South,East South Central,400.041,27932,17131,12.5,
1972,28003,MS,Alcorn County,Rural,South,East South Central,400.041,28256,17352,13,
1973,28003,MS,Alcorn County,rural,South,East South Central,400.041,28820,17752,13.5,
1974,28003,MS,Alcorn County,rural,South,East South Central,400.041,29171,17991,14,
1975,28003,MS,Alcorn County,rural,South,East South Central,400.041,29544,18244,14.5,
1975,28003,MS,Alcorn County,rural,South,East South Central,400.041,29544,18244,14.5,
1976,28003,MS,Alcorn County, rural,South,East South Central,400.041,29647,18344,15,
1977,28003,MS,Alcorn County,rural,South,East South Central,400.041,30635,19067,15.5,
1978,28003,MS,Alcorn County,rural,South,East South Central,400.041,31708,19818,16,
1979,28003,MS,Alcorn County,rural,South,East South Central,400.041,32424,20308,17.2,
1980,28003,MS,Alcorn County,Rural,South,East South Central,400.041,33049,20756,18.4,
1981,28003,MS,Alcorn County,rural,South,East South Central,400.041,33002,20759,19.6,
1982,28003,MS,Alcorn County,Rural,South,East South Central,400.041,32666,20578,20.8,
1983,28003,MS,Alcorn County,rural,South,East South Central,400.041,32628,20552,22,30
1984,28003,MS,Alcorn County,  RURAL ,South,East South Central,400.041,32778,20669,21.2,32
1985,28003,MS,Alcorn County,  RURAL ,South,East South Central,400.041,32409,20449,20.4,32
1985,28003,MS,Alcorn County,  RURAL ,South,East South Central,400.041,32409,20449,20.4,32
1986,28003,MS,Alcorn County,rural,South,East South Central,400.041,32553,20614,19.6,40
1987,28003,MS,Alcorn County,Rural,South,East South Central,400.041,32154,20424,18.8,41
1988,28003,MS,Alcorn County,Rural,South,East South Central,400.041,32047,20389,18,39
1989,28003,MS,Alcorn County,rural,South,East South Central,400.041,31724,20210,18.2,32
1990,28003,MS,Alcorn County,rural,South,East South Central,400.041,31791,20452,18.4,42
1990,28003,MS,Alcorn County,rural,South,East South Central,400.041,31791,20452,18.4,42
1991,28003,MS,Alcorn County,Rural,South,East South Central,400.041,32369,20819,18.6,46
1992,28003,MS,Alcorn County,rural,South,East South Central,400.041,32938,21189,18.8,59
1993,28003,MS,Alcorn County,rural,South,East South Central,400.041,33115,21362,19,51
1994,28003,MS,Alcorn County, rural,South,East South Central,400.041,33258,21473,21.5,74
1995,28003,MS,Alcorn County,rural,South,East South Central,400.041,33456,21636,24,82
1996,28003,MS,Alcorn County,rural,South,East South Central,400.041,33454,21690,26.5,98
1997,28003,MS,Alcorn County,rural,South,East South Central,400.041,33808,21974,29,118
1998,28003,MS,Alcorn County,rural  ,South,East South Central,400.041,33913,22080,31.5,108
1999,28003,MS,Alcorn County, rural,South,East South Central,400.041,34320,22383,34,131
2000,28003,MS,Alcorn County,rural,South,East South Central,400.041,34600,22629,39.16667,142.5
2001,28003,MS,Alcorn County,rural,South,East South Central,400.041,34746,22755,44.33333,154
2002,28003,MS,Alcorn County,rural,South,East South Central,400.041,34946,22766,49.5,165.5
2003,28003,MS,Alcorn County,rural,South,East South Central,400.041,35045,22850,54.66667,177
2004,28003,MS,Alcorn County,  RURAL ,South,East South Central,400.041,35448,23045,59.83333,188.5
2005,28003,MS,Alcorn County, rural,South,East South Central,400.041,35688,23241,65,200
2006,28003,MS,Alcorn County,rural  ,South,East South Central,400.041,36183,23395,70.25,211.5
2006,28003,MS,Alcorn County,rural  ,South,East South Central,400.041,36183,23395,70.25,211.5
2007,28003,MS,Alcorn County,rural,South,East South Central,400.041,36608,23563,75.5,223
2008,28003,MS,Alcorn County,rural,South,East South Central,400.041,36793,23590,80.75,234.5
2009,28003,MS,Alcorn County,rural,South,East South Central,400.041,36868,23589,86,246
2010,28003,MS,Alcorn County,rural,South,East South Central,400.041,37057,23629,592,257.5
2010,28003,,,,,,,,,91.25,
2011,28003,MS,Alcorn County,rural,South,East South Central,400.041,37103,23655,96.5,269
2012,28003,MS,Alcorn County,Rural,South,East South Central,400.041,37269,23822,101.75,263
2013,28003,MS,Alcorn County,rural,South,East South Central,400.041,37201,23664,107,252
2014,28003,MS,Alcorn County,rural,South,East South Central,400.041,37274,23700,298,196
2015,28003,MS,Alcorn County,rural,South,East South Central,400.041,37235,23578,142,178
2016,28003,MS,Alcorn County,rural  ,South,East South Central,400.041,37250,23590,,
1970,28005,MS,Amite County,RURAL,South,East South Central,730.1,13662,7483,2,
1971,28005,MS,Amite County,rural,South,East South Central,730.1,13303,7304,2.5,
1972,28005,MS,Amite County,rural,South,East South Central,730.1,13360,7408,3,
1973,28005,MS,Amite County,rural,South,East South Central,730.1,13150,7344,3.5,
1974,28005,MS,Amite County, rural,South,East South Central,730.1,13032,7340,4,
1975,28005,MS,Amite County,rural,South,East South Central,730.1,13104,7451,4.5,
1976,28005,MS,Amite County,rural,South,East South Central,730.1,13244,7599,5,
1977,28005,MS,Amite County,rural,South,East South Central,730.1,13318,7678,5.5,
1978,28005,MS,Amite County,rural,South,East South Central,730.1,13100,7561,6,
1979,28005,MS,Amite County,rural,South,East South Central,730.1,13194,7662,5.4,
1980,28005,MS,Amite County,rural,South,East South Central,730.1,13348,7804,4.8,
1981,28005,MS,Amite County,rural,South,East South Central,730.1,13299,7796,4.2,
1982,28005,MS,Amite County,rural,South,East South Central,730.1,13386,7863,3.6,
1983,28005,MS,Amite County,rural,South,East South Central,730.1,13473,7931,3,12
1983,28005,MS,Amite County,rural,South,East South Central,730.1,13473,7931,3,12
1984,28005,MS,Amite County,rural,South,East South Central,730.1,13621,8035,4,19
1984,28005,MS,Amite County,rural,South,East South Central,730.1,13621,8035,4,19
1985,28005,MS,Amite County,rural,South,East South Central,730.1,13565,8019,5,20
1986,28005,MS,Amite County,rural,South,East South Central,730.1,13778,8191,6,17
1987,28005,MS,Amite County, rural,South,East South Central,730.1,13561,8101,7,13
1988,28005,MS,Amite County,rural,South,East South Central,730.1,13441,8066,8,23
1989,28005,MS,Amite County,rural,South,East South Central,730.1,13462,8094,9.4,21
1990,28005,MS,Amite County,rural,South,East South Central,730.1,13262,8038,10.8,29
1991,28005,MS,Amite County,rural,South,East South Central,730.1,13292,8095,12.2,32
1992,28005,MS,Amite County,rural  ,South,East South Central,730.1,13299,8066,13.6,27
1993,28005,MS,Amite County,rural,South,East South Central,730.1,13254,8094,15,26
1994,28005,MS,Amite County,rural,South,East South Central,730.1,13108,8050,18,30
1995,28005,MS,Amite County,  RURAL ,South,East South Central,730.1,13421,8348,21,43
1996,28005,MS,Amite County,rural,South,East South Central,730.1,13352,8355,24,41
1997,28005,MS,Amite County,rural,South,East South Central,730.1,13453,8476,27,42
1998,28005,MS,Amite County, rural,South,East South Central,730.1,13605,8634,30,55
1999,28005,MS,Amite County,rural,South,East South Central,730.1,13614,8680,33,62
2000,28005,MS,Amite County,rural,South,East South Central,730.1,13546,8658,18,63.0833333333
2001,28005,MS,Amite County,rural,South,East South Central,730.1,13471,8620,20,64.1666666667
2002,28005,MS,Amite County,rural,South,East South Central,730.1,13401,8566,17,65.25
2003,28005,MS,Amite County,rural,South,East South Central,730.1,13415,8553,21,66.3333333333
2004,28005,MS,Amite County,rural,South,East South Central,730.1,13337,8510,20,67.4166666667
2005,28005,MS,Amite County,rural,South,East South Central,730.1,13396,8546,20,68.5
2006,28005,MS,Amite County,Rural,South,East South Central,730.1,13586,8621,22.5,69.5833333333
2007,28005,MS,Amite County,rural,South,East South Central,730.1,13400,8570,25,70.6666666667
2008,28005,MS,Amite County,rural,South,East South Central,730.1,13324,8527,27.5,71.75
2009,28005,MS,Amite County,rural,South,East South Central,730.1,13171,8365,30,72.8333333333
2010,28005,MS,Amite County,rural,South,East South Central,730.1,13128,8302,32.5,73.9166666667
2011,28005,MS,Amite County,rural,South,East South Central,730.1,13130,8293,35,75
2012,28005,MS,Amite County,rural  ,South,East South Central,730.1,13133,8280,37.5,81
2012,28005,MS,Amite County,rural  ,South,East South Central,730.1,13133,8280,37.5,81
2013,28005,MS,Amite County,rural,South,East South Central,730.1,12931,8011,40,87
2013,28005,MS,Amite County,rural,South,East South Central,730.1,12931,8011,40,87
2014,28005,MS,Amite County,rural,South,East South Central,730.1,12850,7920,40,69
2015,28005,MS,Amite County,rural,South,East South Central,730.1,12598,7726,40,76
2016,28005,MS,Amite County,rural,South,East South Central,730.1,12546,7680,,
1970,28007,MS,Attala County,RURAL,South,East South Central,734.957,19270,10859,8,
1970,28007,MS,Attala County,small/mid,South,East South Central,734.957,19270,10859,8,
1971,28007,MS,Attala County,small/mid,South,East South Central,734.957,18134,10122,9.5,
1972,28007,MS,Attala County,rural,South,East South Central,734.957,19675,11175,11,
1973,28007,MS,Attala County,small/mid,South,East South Central,734.957,19845,11329,12.5,
1974,28007,MS,Attala County,rural,South,East South Central,734.957,19385,11065,14,
1975,28007,MS,Attala County,small/mid,South,East South Central,734.957,19348,11074,15.5,
1976,28007,MS,Attala County,small/mid,South,East South Central,734.957,19453,11187,17,
1976,28007,MS,Attala County,rural,South,East South Central,734.957,19453,11187,17,
1977,28007,MS,Attala County,small/mid,South,East South Central,734.957,20019,11610,18.5,
1978,28007,MS,Attala County,rural,South,East South Central,734.957,19973,11613,20,
1979,28007,MS,Attala County,rural,South,East South Central,734.957,19820,11532,19,
1980,28007,MS,Attala County,rural,South,East South Central,734.957,19779,11532,18,
1981,28007,MS,Attala County, rural,South,East South Central,734.957,19514,11393,17,
1982,28007,MS,Attala County,small/mid,South,East South Central,734.957,19297,11279,16,
1983,28007,MS,Attala County,rural,South,East South Central,734.957,18865,11029,15,27
1983,28007,MS,Attala County,small/mid,South,East South Central,734.957,18865,11029,15,27
1984,28007,MS,Attala County,rural,South,East South Central,734.957,18966,11102,15.2,22
1985,28007,MS,Attala County,rural,South,East South Central,734.957,19085,11174,15.4,23
1986,28007,MS,Attala County,rural,South,East South Central,734.957,19110,11238,15.6,28
1987,28007,MS,Attala County,small/mid,South,East South Central,734.957,19024,11227,15.8,36
1988,28007,MS,Attala County,small/mid,South,East South Central,734.957,18735,11080,16,33
1989,28007,MS,Attala County,rural,South,East South Central,734.957,18721,11084,17.4,36
1990,28007,MS,Attala County,small/mid,South,East South Central,734.957,18495,11042,18.8,39
1991,28007,MS,Attala County,RURAL,South,East South Central,734.957,18725,11188,20.2,38
1992,28007,MS,Attala County,small/mid,South,East South Central,734.957,18725,11151,21.6,40
1993,28007,MS,Attala County,RURAL,South,East South Central,734.957,18878,11289,23,47
1994,28007,MS,Attala County,small/mid,South,East South Central,734.957,18888,11338,22.5,66
1995,28007,MS,Attala County,small/mid,South,East South Central,734.957,19093,11540,22,93
1996,28007,MS,Attala County,rural,South,East South Central,734.957,19314,11717,21.5,91
1997,28007,MS,Attala County,rural,South,East South Central,734.957,19420,11805,21,79
1998,28007,MS,Attala County,rural,South,East South Central,734.957,19409,11873,20.5,77
1999,28007,MS,Attala County,rural,South,East South Central,734.957,19593,12009,20,78
2000,28007,MS,Attala County,small/mid,South,East South Central,734.957,19620,12080,21.33333,88
2001,28007,MS,Attala County,rural,South,East South Central,734.957,19595,11994,22.66667,98
2002,28007,MS,Attala County,rural,South,East South Central,734.957,19549,12045,24,108
2003,28007,MS,Attala County,rural,South,East South Central,734.957,19469,12000,25.33333,118
2003,28007,MS,Attala County,rural,South,East South Central,734.957,19469,12000,25.33333,118
2004,28007,MS,Attala County,rural,South,East South Central,734.957,19330,11946,26.66667,128
