year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8199,5067,7,
1971,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8225,5085,6.625,
1972,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8085,4995,585,
1972,30001,,,,,,,,,6.25,
1973,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8009,4955,5.875,
1974,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8126,5082,5.5,
1975,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,7975,5017,5.125,
1976,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,7906,5024,557,
1976,30001,,,,,,,,,4.75,
1977,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,7853,4997,4.375,
1977,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,7853,4997,4.375,
1978,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8046,5182,4,
1979,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,7920,5086,4.6,
1980,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8245,5331,5.2,
1981,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8447,5447,5.8,
1982,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8676,5577,6.4,
1983,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8716,5594,7,
1984,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8495,5430,6,
1985,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8496,5418,5,
1986,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8493,5410,4,
1987,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8462,5375,3,
1988,30001,MT,Beaverhead County,  RURAL ,West,Mountain,5542.687,8520,5397,2,
1989,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8546,5403,1.8,
1990,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8429,5332,1.6,
1990,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8429,5332,1.6,
1991,30001,MT,Beaverhead County,rural  ,West,Mountain,5542.687,8487,5409,1.4,
1992,30001,MT,Beaverhead County, rural,West,Mountain,5542.687,8696,5586,1.2,
1993,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8793,5668,1,
1994,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8951,5833,1.833333,
1995,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9168,6045,2.666667,
1996,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9394,6263,3.5,
1997,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9244,6202,4.333333,
1998,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9133,6137,5.166667,
1998,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9133,6137,5.166667,
1999,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9184,6194,6,
2000,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9204,6200,6.666667,
2000,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9204,6200,6.666667,
2001,30001,MT,Beaverhead County,rural  ,West,Mountain,5542.687,9058,6135,7.333333,
2002,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9018,6126,8,
2003,30001,MT,Beaverhead County,Rural,West,Mountain,5542.687,8924,6099,8.666667,
2004,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8908,6078,9.333333,
2005,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,8904,6102,10,
2006,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9012,6197,9.75,
2007,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9028,6158,9.5,
2008,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9166,6216,9.25,
2009,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9200,6201,9,
2010,30001,MT,Beaverhead County,  RURAL ,West,Mountain,5542.687,9246,6229,8.75,
2011,30001,MT,Beaverhead County,RURAL,West,Mountain,5542.687,9253,6240,8.5,
2012,30001,MT,Beaverhead County,rural  ,West,Mountain,5542.687,9205,6221,8.25,
2013,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9356,6262,8,
2014,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9301,6135,8,
2015,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9333,6122,8,
2016,30001,MT,Beaverhead County,rural,West,Mountain,5542.687,9288,6039,,
1970,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10075,5822,4,
1971,30003,MT,Big Horn County,RURAL,West,Mountain,4997.114,10145,5900,5.25,
1972,30003,MT,Big Horn County, rural,West,Mountain,4997.114,10294,6062,6.5,
1972,30003,MT,Big Horn County, rural,West,Mountain,4997.114,10294,6062,6.5,
1973,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10299,6126,7.75,
1974,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10494,6300,9,
1975,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10970,6649,10.25,
1976,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10615,6472,11.5,
1977,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10728,6582,12.75,
1978,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11341,7030,14,
1979,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10929,6773,15,
1979,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10929,6773,15,
1980,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10995,6833,16,
1981,30003,MT,Big Horn County,RURAL,West,Mountain,4997.114,10849,6687,17,
1981,30003,MT,Big Horn County,RURAL,West,Mountain,4997.114,10849,6687,17,
1982,30003,MT,Big Horn County,rural,West,Mountain,4997.114,10959,6704,18,
1983,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11032,6704,19,
1984,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11226,6776,23.5,
1985,30003,MT,Big Horn County, rural,West,Mountain,4997.114,11413,6843,28,
1986,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11442,6851,23,
1987,30003,MT,Big Horn County,RURAL,West,Mountain,4997.114,11260,6726,25,
1988,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11207,6678,14,
1989,30003,MT,Big Horn County,Rural,West,Mountain,4997.114,11467,6824,14.2,
1990,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11313,6759,14.4,
1991,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11400,6782,14.6,
1992,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11622,6913,14.8,
1993,30003,MT,Big Horn County,rural,West,Mountain,4997.114,11773,7023,15,
1994,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12074,7226,17.5,
1995,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12215,7399,20,
1996,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12418,7613,22.5,
1996,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12418,7613,22.5,
1997,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12669,7796,25,
1998,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12673,7809,27.5,
1999,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12653,7829,30,
2000,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12669,7863,22,
2001,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12783,7974,26,
2002,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12713,7944,25,
2003,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12652,7947,36,
2004,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12731,7945,37,
2005,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12634,7926,26,
2006,30003,MT,Big Horn County,RURAL,West,Mountain,4997.114,12540,7850,606,
2006,30003,,,,,,,,,27.375,
2007,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12549,7859,28.75,
2008,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12564,7774,30.125,
2009,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12747,7898,31.5,
2010,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12865,7966,32.875,
2011,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12912,7975,34.25,
2012,30003,MT,Big Horn County,rural,West,Mountain,4997.114,13054,8063,35.625,
2013,30003,MT,Big Horn County,rural,West,Mountain,4997.114,12996,7922,37,
2014,30003,MT,Big Horn County,rural,West,Mountain,4997.114,13116,7937,37,
2015,30003,MT,Big Horn County,rural,West,Mountain,4997.114,13327,7997,37,
2016,30003,MT,Big Horn County,rural,West,Mountain,4997.114,13277,7905,,
1970,30005,MT,Blaine County,rural,West,Mountain,4227.122,6723,3771,550,
1970,30005,,,,,,,,,10,
1971,30005,MT,Blaine County,rural,West,Mountain,4227.122,6753,3815,9.125,
1972,30005,MT,Blaine County,rural,West,Mountain,4227.122,6684,3810,8.25,
1973,30005,MT,Blaine County,rural,West,Mountain,4227.122,6831,3936,7.375,
1973,30005,MT,Blaine County,rural,West,Mountain,4227.122,6831,3936,7.375,
1974,30005,MT,Blaine County,Rural,West,Mountain,4227.122,6649,3863,6.5,
1975,30005,MT,Blaine County,  RURAL ,West,Mountain,4227.122,6713,3944,5.625,
1976,30005,MT,Blaine County,  RURAL ,West,Mountain,4227.122,6987,4149,4.75,
1977,30005,MT,Blaine County,rural,West,Mountain,4227.122,7008,4183,3.875,
1978,30005,MT,Blaine County,rural,West,Mountain,4227.122,7309,4407,3,
1979,30005,MT,Blaine County,rural,West,Mountain,4227.122,7240,4368,2.8,
1980,30005,MT,Blaine County, rural,West,Mountain,4227.122,6979,4194,2.6,
1981,30005,MT,Blaine County,rural,West,Mountain,4227.122,7002,4188,2.4,
1982,30005,MT,Blaine County,rural,West,Mountain,4227.122,6959,4137,2.2,
1983,30005,MT,Blaine County,rural,West,Mountain,4227.122,6995,4144,2,
1984,30005,MT,Blaine County, rural,West,Mountain,4227.122,7138,4212,1.5,
1985,30005,MT,Blaine County,rural,West,Mountain,4227.122,7198,4231,1,
1986,30005,MT,Blaine County,rural,West,Mountain,4227.122,7041,4135,2,
1987,30005,MT,Blaine County,rural,West,Mountain,4227.122,6969,4086,1,
1987,30005,MT,Blaine County,rural,West,Mountain,4227.122,6969,4086,1,
1988,30005,MT,Blaine County,rural  ,West,Mountain,4227.122,6940,4062,3,
1989,30005,MT,Blaine County,rural  ,West,Mountain,4227.122,6932,4059,6,
1990,30005,MT,Blaine County,rural,West,Mountain,4227.122,6685,3916,4,
1991,30005,MT,Blaine County,rural,West,Mountain,4227.122,6773,3965,6,
1992,30005,MT,Blaine County,rural,West,Mountain,4227.122,6819,3975,8,
1993,30005,MT,Blaine County,RURAL,West,Mountain,4227.122,6950,4084,5,
1994,30005,MT,Blaine County,rural,West,Mountain,4227.122,7054,4156,5.5,
1995,30005,MT,Blaine County,Rural,West,Mountain,4227.122,7051,4198,6,
1996,30005,MT,Blaine County,rural,West,Mountain,4227.122,7103,4271,6.5,
1997,30005,MT,Blaine County,rural,West,Mountain,4227.122,7159,4316,7,
1998,30005,MT,Blaine County,rural,West,Mountain,4227.122,7101,4289,7.5,
1999,30005,MT,Blaine County,rural,West,Mountain,4227.122,7087,4297,8,
2000,30005,MT,Blaine County,rural,West,Mountain,4227.122,6968,4240,7,
2001,30005,MT,Blaine County,rural,West,Mountain,4227.122,6748,4115,6,
2002,30005,MT,Blaine County,rural,West,Mountain,4227.122,6769,4169,5,
2003,30005,MT,Blaine County,rural,West,Mountain,4227.122,6699,4126,4,
2004,30005,MT,Blaine County,rural,West,Mountain,4227.122,6571,4114,3,
