year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,96896,62563,54,
1971,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,98494,63769,51.875,
1971,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,98494,63769,51.875,
1972,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,99745,64896,49.75,
1973,37001,NC,Alamance County,small/mid  ,South,South Atlantic,423.421,99948,65314,47.625,
1974,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,99282,65162,45.5,
1975,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,98243,64688,43.375,
1976,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,98719,65605,41.25,
1977,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,98505,65770,39.125,
1978,37001,NC,Alamance County,  SMALL/MID ,South,South Atlantic,423.421,98539,66248,37,
1979,37001,NC,Alamance County,small/mid  ,South,South Atlantic,423.421,99048,66997,34.4,
1980,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,99511,67477,31.8,
1981,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,100086,67885,29.2,
1982,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,101000,68454,26.6,
1983,37001,NC,Alamance County,small/mid  ,South,South Atlantic,423.421,101555,68766,24,343
1984,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,101704,68996,36.8,376
1985,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,102520,69612,49.6,419
1986,37001,NC,Alamance County,Small/mid,South,South Atlantic,423.421,103517,70247,62.4,502
1987,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,105076,71210,75.2,468.6
1988,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,106333,71809,88,435.2
1988,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,106333,71809,88,435.2
1989,37001,NC,Alamance County,  SMALL/MID ,South,South Atlantic,423.421,107422,72237,101,401.8
1990,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,108695,72714,121,368.4
1991,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,110762,73995,142,335
1992,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,112825,75015,153,382.875
1993,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,114678,75846,145,430.75
1994,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,116788,77005,154,478.625
1995,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,118796,78277,164,526.5
1996,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,121263,79860,162,574.375
1997,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,123877,81545,204,622.25
1998,37001,NC,Alamance County,small/mid  ,South,South Atlantic,423.421,126232,83080,216,670.125
1998,37001,NC,Alamance County,small/mid  ,South,South Atlantic,423.421,126232,83080,216,670.125
1999,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,128743,84760,199,718
2000,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,131423,86564,215,686
2001,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,133346,87797,230,741
2002,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,135239,88991,216,723
2002,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,135239,88991,216,723
2003,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,136009,89571,228,735
2004,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,137619,90911,261,776
2005,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,139311,92242,255,749
2006,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,141462,93604,280.75,839
2006,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,141462,93604,280.75,839
2007,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,144712,95585,306.5,825
2008,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,147704,97467,332.25,797
2009,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,149954,98893,358,817
2010,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,151198,99672,383.75,764
2011,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,151490,99850,409.5,728
2012,37001,NC,Alamance County,small/mid  ,South,South Atlantic,423.421,152857,100730,435.25,722
2013,37001,NC,Alamance County,SMALL/MID,South,South Atlantic,423.421,153471,100635,461,687
2014,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,154417,100868,457,697
2015,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,155698,101434,453,721
2016,37001,NC,Alamance County,small/mid,South,South Atlantic,423.421,157389,102337,,
1970,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,19635,12250,5,
1971,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,20346,12756,6.125,
1972,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,21184,13401,7.25,
1973,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,22074,14084,8.375,
1974,37003,NC,Alexander County,SMALL/MID,South,South Atlantic,259.985,22678,14570,9.5,
1975,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,22899,14776,10.625,
1976,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,23081,15064,11.75,
1977,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,23592,15511,12.875,
1978,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,24058,15928,14,
1979,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,24719,16485,15.2,
1979,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,24719,16485,15.2,
1980,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,25072,16799,16.4,
1981,37003,NC,Alexander County,  SMALL/MID ,South,South Atlantic,259.985,25258,17006,17.6,
1982,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,25577,17278,18.8,
1983,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,25864,17532,20,45
1984,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,26099,17795,18.2,65
1984,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,26099,17795,18.2,65
1985,37003,NC,Alexander County,small/mid  ,South,South Atlantic,259.985,26347,18049,16.4,70
1986,37003,NC,Alexander County, small/mid,South,South Atlantic,259.985,26555,18246,14.6,70
1987,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,26796,18448,12.8,75.4
1988,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,27077,18638,11,80.8
1989,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,27424,18872,12.4,86.2
1990,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,27652,18984,13.8,91.6
1991,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,28095,19300,15.2,97
1992,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,28453,19471,16.6,95.125
1993,37003,NC,Alexander County,small/mid  ,South,South Atlantic,259.985,29208,19926,18,93.25
1994,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,29949,20391,19.16667,91.375
1994,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,29949,20391,19.16667,91.375
1995,37003,NC,Alexander County,Small/mid,South,South Atlantic,259.985,30496,20765,20.33333,89.5
1996,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,30967,21047,21.5,87.625
1997,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,31668,21490,22.66667,85.75
1997,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,31668,21490,22.66667,85.75
1998,37003,NC,Alexander County,  SMALL/MID ,South,South Atlantic,259.985,32492,22027,23.83333,83.875
1999,37003,NC,Alexander County, small/mid,South,South Atlantic,259.985,33274,22560,25,82
2000,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,33774,22799,26.33333,90
2001,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,34187,23113,27.66667,90
2002,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,34665,23368,29,83
2003,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,34998,23679,30.33333,81
2004,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,35343,23871,31.66667,101
2005,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,35786,24120,33,81
2006,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,36243,24295,38.5,91
2007,37003,NC,Alexander County,SMALL/MID,South,South Atlantic,259.985,36609,24465,44,92
2008,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,36840,24524,49.5,99
2009,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,37053,24640,55,95
2010,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,37192,24632,60.5,93
2011,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,37241,24638,66,109
2012,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,37039,24479,71.5,88
2013,37003,NC,Alexander County,  SMALL/MID ,South,South Atlantic,259.985,36940,24098,77,93
2014,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,37091,24020,77,88
2015,37003,NC,Alexander County,small/mid,South,South Atlantic,259.985,37092,23947,77,107
2016,37003,NC,Alexander County,Small/mid,South,South Atlantic,259.985,37058,23763,,
1970,37005,NC,Alleghany County,  RURAL ,South,South Atlantic,234.403,8174,4973,2,
1971,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,8343,5098,1.875,
1972,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,8663,5344,1.75,
1973,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,8767,5442,1.625,
1974,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,9035,5634,1.5,
1975,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,9029,5635,1.375,
1976,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,9278,5869,1.25,
1977,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,9309,5900,1.125,
1978,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,9416,5987,1,
1979,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,9623,6145,1.6,
1979,37005,NC,Alleghany County,rural,South,South Atlantic,234.403,9623,6145,1.6,
