year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3809,2218,0,
1970,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3809,2218,0,
1971,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3725,2156,0,
1972,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3708,2153,0,
1973,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3753,2191,0,
1974,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3735,2195,0,
1975,38001,ND,Adams County,Rural,Midwest,West North Central,987.634,3717,2209,0,
1976,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3731,2257,0,
1977,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3731,2268,0,
1978,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3622,2208,0,
1979,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3595,2197,0,
1980,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3578,2183,0,
1981,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3541,2147,0,
1982,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3472,2097,0,
1983,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3543,2128,0,
1984,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3524,2103,0,
1985,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3575,2120,0,
1985,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3575,2120,0,
1986,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3484,2052,0,
1987,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3398,1980,1,
1988,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3309,1916,1,
1989,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3214,1845,1,0
1990,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3157,1805,1,0
1990,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3157,1805,1,0
1991,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3092,1756,1,0
1992,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3024,1702,1,
1992,38001,ND,Adams County,rural,Midwest,West North Central,987.634,3024,1702,1,
1993,38001,ND,Adams County,rural,Midwest,West North Central,987.634,2834,1647,1,
1994,38001,ND,Adams County,rural,Midwest,West North Central,987.634,2866,1675,1,4
1995,38001,ND,Adams County,rural,Midwest,West North Central,987.634,2814,1625,1,4
1996,38001,ND,Adams County,rural,Midwest,West North Central,987.634,2820,1646,1,
1997,38001,ND,Adams County,rural,Midwest,West North Central,987.634,2784,1618,1,
1998,38001,ND,Adams County,RURAL,Midwest,West North Central,987.634,2734,1575,1,
1999,38001,ND,Adams County, rural,Midwest,West North Central,987.634,2648,1522,1,
2000,38001,ND,Adams County,rural,Midwest,West North Central,987.634,2578,1491,1,
2001,38001,ND,Adams County,rural,Midwest,West North Central,987.634,2542,1490,1,
2002,38001,ND,Adams County,rural  ,Midwest,West North Central,987.634,2509,1455,1,
