year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,31001,NE,Adams County,Rural,Midwest,West North Central,563.273,30579,18267,12,
1971,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30662,18327,11.5,
1972,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31144,18715,11,
1973,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31110,18756,10.5,
1974,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30611,18553,10,
1975,31001,NE,Adams County,rural,Midwest,West North Central,563.273,29979,18245,9.5,
1976,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30253,18638,9,
1977,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30221,18787,8.5,
1978,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30236,18971,8,
1979,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30637,19397,9.4,
1980,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30754,19551,10.8,
1981,31001,NE,Adams County,Rural,Midwest,West North Central,563.273,30989,19686,12.2,
1981,31001,NE,Adams County,Rural,Midwest,West North Central,563.273,30989,19686,12.2,
1982,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31204,19772,13.6,
1983,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30895,19535,15,33
1984,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30847,19481,15.6,31
1985,31001,NE,Adams County,  RURAL ,Midwest,West North Central,563.273,30854,19443,16.2,39
1986,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30500,19166,16.8,38
1987,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30005,18800,17.4,36
1988,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30022,18771,18,32
1989,31001,NE,Adams County,rural,Midwest,West North Central,563.273,29900,18600,18.8,24
1990,31001,NE,Adams County,rural,Midwest,West North Central,563.273,29639,18431,19.6,22
1991,31001,NE,Adams County,rural,Midwest,West North Central,563.273,29918,18567,20.4,39
1992,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30047,18693,21.2,28
1993,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30320,18901,22,18
1994,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30508,19050,23,18
1995,31001,NE,Adams County,Rural,Midwest,West North Central,563.273,30783,19306,24,22
1996,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30890,19428,25,17
1997,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31050,19595,26,25
1998,31001,NE,Adams County, rural,Midwest,West North Central,563.273,31054,19695,27,33
1999,31001,NE,Adams County,rural  ,Midwest,West North Central,563.273,31106,19787,28,38
2000,31001,NE,Adams County,  RURAL ,Midwest,West North Central,563.273,31154,19895,29.16667,41
2001,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31021,19876,30.33333,48
2002,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30716,19704,31.5,52
2003,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30693,19739,32.66667,59
2004,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30740,19857,33.83333,70
2004,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30740,19857,33.83333,70
2005,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30987,20041,35,68
2006,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30910,19997,34.625,53
2007,31001,NE,Adams County,rural,Midwest,West North Central,563.273,30892,19957,34.25,53
2008,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31160,20182,33.875,54
2009,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31280,20231,33.5,55
2010,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31367,20325,33.125,65
2010,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31367,20325,33.125,65
2011,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31324,20292,32.75,58
2012,31001,NE,Adams County, rural,Midwest,West North Central,563.273,31206,20221,32.375,71
2013,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31369,20226,32,73
2014,31001,NE,Adams County,Rural,Midwest,West North Central,563.273,31547,20265,32,93
2015,31001,NE,Adams County,rural,Midwest,West North Central,563.273,31387,20049,32,88
2016,31001,NE,Adams County,  RURAL ,Midwest,West North Central,563.273,31549,20107,,
1970,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,9017,4900,6,
1971,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8902,4866,5.375,
1972,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8999,4978,4.75,
1973,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8911,4975,4.125,
1974,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8780,4943,3.5,
1975,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,9057,5193,2.875,
1976,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8974,5176,2.25,
1977,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8862,5124,1.625,
1977,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8862,5124,1.625,
1978,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8715,5038,1,
1979,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8818,5135,1.2,
1980,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8669,5044,1.4,
1981,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8611,4987,1.6,
1982,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8632,4968,1.8,
1982,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8632,4968,1.8,
1983,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8653,4947,529,
1983,31003,,,,,,,,,2,
1984,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8548,4864,2.6,
1985,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8445,4781,3.2,4
1986,31003,NE,Antelope County,  RURAL ,Midwest,West North Central,857.218,8250,4640,3.8,
1987,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8155,4559,4.4,
1988,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8096,4501,5,4
1988,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8096,4501,5,4
1989,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,8043,4428,4.4,6
1990,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7942,4370,3.8,4
1991,31003,NE,Antelope County,rural  ,Midwest,West North Central,857.218,7941,4370,3.2,6
1992,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7879,4359,2.6,8
1993,31003,NE,Antelope County,RURAL,Midwest,West North Central,857.218,7793,4335,2,4
1994,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7733,4340,2.666667,
1995,31003,NE,Antelope County, rural,Midwest,West North Central,857.218,7717,4365,3.333333,
1996,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7639,4352,4,4
1997,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7645,4409,4.666667,8
1998,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7604,4380,5.333333,14
1999,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7493,4344,6,11
2000,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7435,4355,5.833333,9
2001,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7242,4270,5.666667,10
2002,31003,NE,Antelope County, rural,Midwest,West North Central,857.218,7229,4296,5.5,11
2003,31003,NE,Antelope County, rural,Midwest,West North Central,857.218,7172,4308,5.333333,11
2004,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,7063,4263,5.166667,12
2005,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6994,4228,5,13
2005,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6994,4228,5,13
2006,31003,NE,Antelope County,RURAL,Midwest,West North Central,857.218,6836,4177,5.125,15
2007,31003,NE,Antelope County,rural  ,Midwest,West North Central,857.218,6767,4124,5.25,17
2008,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6704,4024,5.375,13
2009,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6739,4003,5.5,11
2010,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6685,3984,5.625,12
2011,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6679,3965,5.75,14
2012,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6620,3941,5.875,17
2013,31003,NE,Antelope County,rural  ,Midwest,West North Central,857.218,6550,3859,6,14
2014,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6471,3792,6,17
2015,31003,NE,Antelope County,  RURAL ,Midwest,West North Central,857.218,6422,3736,6,15
2016,31003,NE,Antelope County,rural,Midwest,West North Central,857.218,6419,3715,,
1970,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,605,367,0,
1970,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,605,367,0,
1971,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,591,363,0,
1972,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,567,355,0,
1972,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,567,355,0,
1973,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,603,387,0,
1974,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,598,395,0,
1975,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,590,400,0,
1976,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,577,389,0,
1977,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,586,395,0,
1978,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,565,375,0,
1979,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,580,388,0,
1980,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,511,334,0,
1981,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,502,326,0,
1982,31005,NE,Arthur County,rural  ,Midwest,West North Central,715.355,513,331,0,
1983,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,510,329,0,
1984,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,465,293,0,0
1985,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,480,303,0,0
1986,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,484,303,0,0
1987,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,466,290,0,0
1988,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,441,273,0,0
1989,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,442,271,0,0
1990,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,468,287,0,0
1991,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,445,273,0,0
1992,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,462,290,0,0
1992,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,462,290,0,0
1993,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,472,295,0,0
1994,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,441,280,0,0
1995,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,434,281,0,0
1996,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,429,276,0,0
1997,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,440,285,0,0
1998,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,447,294,0,0
1999,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,445,286,0,
2000,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,445,286,0,0
2001,31005,NE,Arthur County, rural,Midwest,West North Central,715.355,423,263,0,0
2002,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,421,275,0,0
2003,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,439,270,0,0
2004,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,433,263,0,0
2005,31005,NE,Arthur County,  RURAL ,Midwest,West North Central,715.355,428,252,0,0
2006,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,450,265,0,0
2007,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,457,265,0,0
2008,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,453,261,0,0
2009,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,442,246,0,0
2010,31005,NE,Arthur County,  RURAL ,Midwest,West North Central,715.355,460,262,0,0
2011,31005,NE,Arthur County,rural,Midwest,West North Central,715.355,465,261,0,0
