year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,33001,NH,Belknap County,rural,Northeast,New England,401.597,32605,19519,28,
1971,33001,NH,Belknap County,rural,Northeast,New England,401.597,33585,20228,27.625,
1972,33001,NH,Belknap County,rural,Northeast,New England,401.597,34399,20881,27.25,
1973,33001,NH,Belknap County,rural,Northeast,New England,401.597,35423,21693,26.875,
1974,33001,NH,Belknap County,rural,Northeast,New England,401.597,36439,22512,26.5,
1975,33001,NH,Belknap County,rural,Northeast,New England,401.597,36986,22993,26.125,
1976,33001,NH,Belknap County,rural,Northeast,New England,401.597,38136,23958,25.75,
1977,33001,NH,Belknap County,rural,Northeast,New England,401.597,39250,24853,25.375,
1978,33001,NH,Belknap County,rural,Northeast,New England,401.597,41444,26500,25,
1979,33001,NH,Belknap County,rural,Northeast,New England,401.597,42800,27577,24.2,
1979,33001,NH,Belknap County,rural,Northeast,New England,401.597,42800,27577,24.2,
1980,33001,NH,Belknap County,rural,Northeast,New England,401.597,42937,27726,23.4,
1981,33001,NH,Belknap County,Rural,Northeast,New England,401.597,42934,27799,22.6,
1982,33001,NH,Belknap County,  RURAL ,Northeast,New England,401.597,43621,28239,21.8,
1983,33001,NH,Belknap County,rural,Northeast,New England,401.597,44022,28568,21,16
1984,33001,NH,Belknap County,  RURAL ,Northeast,New England,401.597,44703,29135,24.6,18
1985,33001,NH,Belknap County,rural,Northeast,New England,401.597,45084,29496,28.2,23
1986,33001,NH,Belknap County,rural,Northeast,New England,401.597,46143,30266,31.8,25
1987,33001,NH,Belknap County,rural,Northeast,New England,401.597,47277,31075,35.4,29
1988,33001,NH,Belknap County, rural,Northeast,New England,401.597,48525,31768,39,40
1989,33001,NH,Belknap County,rural,Northeast,New England,401.597,49223,32065,41.2,51
1990,33001,NH,Belknap County,rural,Northeast,New England,401.597,49347,32023,43.4,57
1991,33001,NH,Belknap County,rural,Northeast,New England,401.597,49180,31627,45.6,84
1992,33001,NH,Belknap County,rural  ,Northeast,New England,401.597,49626,31687,47.8,100
1993,33001,NH,Belknap County,rural,Northeast,New England,401.597,50226,32004,50,107
1993,33001,NH,Belknap County,rural,Northeast,New England,401.597,50226,32004,50,107
1994,33001,NH,Belknap County,rural,Northeast,New England,401.597,50850,32216,51.33333,123
1995,33001,NH,Belknap County,rural,Northeast,New England,401.597,51991,33190,52.66667,127
1996,33001,NH,Belknap County,rural,Northeast,New England,401.597,53020,33818,54,118
1997,33001,NH,Belknap County,rural,Northeast,New England,401.597,53391,34458,55.33333,114
1998,33001,NH,Belknap County,rural,Northeast,New England,401.597,54459,35200,56.66667,125
1999,33001,NH,Belknap County,rural,Northeast,New England,401.597,55517,36224,585,114
1999,33001,,,,,,,,,58,
2000,33001,NH,Belknap County,rural,Northeast,New England,401.597,56473,37082,52,112
2001,33001,NH,Belknap County,rural,Northeast,New England,401.597,57597,37917,45,102
2002,33001,NH,Belknap County,rural,Northeast,New England,401.597,58609,38804,65,124
2003,33001,NH,Belknap County,rural,Northeast,New England,401.597,59497,39568,66,127.375
2004,33001,NH,Belknap County,rural,Northeast,New England,401.597,60170,39973,81,130.75
2005,33001,NH,Belknap County,rural,Northeast,New England,401.597,60287,40279,70,134.125
2006,33001,NH,Belknap County,rural,Northeast,New England,401.597,60105,40299,75,137.5
2007,33001,NH,Belknap County,rural,Northeast,New England,401.597,60109,40334,80,140.875
2008,33001,NH,Belknap County,rural,Northeast,New England,401.597,60239,40319,85,144.25
2009,33001,NH,Belknap County,rural,Northeast,New England,401.597,60171,40118,90,147.625
2010,33001,NH,Belknap County,rural,Northeast,New England,401.597,60072,39990,95,151
2011,33001,NH,Belknap County,rural,Northeast,New England,401.597,60094,39982,100,152
2012,33001,NH,Belknap County,rural,Northeast,New England,401.597,60265,39984,105,168
2013,33001,NH,Belknap County,rural,Northeast,New England,401.597,60327,39598,110,166
2014,33001,NH,Belknap County,rural,Northeast,New England,401.597,60106,39036,110,174
