year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,175993,101875,189,
1971,34001,NJ,Atlantic County,Small/mid,Northeast,Middle Atlantic,555.594,179823,104783,187,
1972,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,184989,108925,185,
1973,34001,NJ,Atlantic County, small/mid,Northeast,Middle Atlantic,555.594,187203,111060,697,
1973,34001,,,,,,,,,183,
1974,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,189119,113265,181,
1975,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,189538,114316,179,
1975,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,189538,114316,179,
1976,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,189615,115458,177,
1976,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,189615,115458,177,
1977,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,189311,116112,175,
1978,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,191123,118539,173,
1979,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,193083,121183,189,
1980,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,194579,123148,205,
1981,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,195988,125393,221,
1982,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,196541,126746,237,
1983,34001,NJ,Atlantic County,SMALL/MID,Northeast,Middle Atlantic,555.594,199167,129343,767,509
1983,34001,,,,,,,,,253,
1984,34001,NJ,Atlantic County,small/mid  ,Northeast,Middle Atlantic,555.594,202757,132625,317,705
1985,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,206045,135532,381,847
1986,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,209386,138551,449,1020
1987,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,212581,140919,531,1202
1987,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,212581,140919,531,1202
1988,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,217443,144322,650,1370
1989,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,221596,146783,619,1693
1990,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,225431,149131,662,1748
1991,34001,NJ,Atlantic County,Small/mid,Northeast,Middle Atlantic,555.594,228763,150355,801,2099
1992,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,231612,151361,715,1999
1993,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,234288,152239,772,2088
1994,34001,NJ,Atlantic County,SMALL/MID,Northeast,Middle Atlantic,555.594,236589,153127,817,2044
1995,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,239212,154647,882,2106
1996,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,242152,156694,896,2044
1997,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,244771,158922,945,2111
1998,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,247863,161093,1217,2197
1998,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,247863,161093,1217,2197
1999,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,250432,162800,1338,2162
2000,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,253674,165180,1029,2100.33333333
2001,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,255737,167099,844,2038.66666667
2002,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,259263,170033,1383,1977
2002,34001,,,,,,,,,882,
2003,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,263285,173536,966,2007
2004,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,267723,177571,948,1878
2005,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,270332,180042,1038,1883
2006,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,271759,181619,1062,1925
2007,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,272303,182231,1149,1969
2008,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,273014,182709,1000,1979
2009,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,274049,183317,1000,1877
2010,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,274540,183769,1139,1814
2011,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,274761,183975,795,1846
2012,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,275107,184133,865,1789
2013,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,275732,183336,800,1765
2014,34001,NJ,Atlantic County,small/mid  ,Northeast,Middle Atlantic,555.594,275954,182953,892,1619
2014,34001,NJ,Atlantic County,small/mid  ,Northeast,Middle Atlantic,555.594,275954,182953,892,1619
2015,34001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,555.594,274842,181313,650,1414
2016,34001,NJ,Atlantic County,small/mid  ,Northeast,Middle Atlantic,555.594,273088,179398,,
1970,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,896473,579858,269,
1971,34003,NJ,Bergen County,  SUBURBAN ,Northeast,Middle Atlantic,232.765,893794,582222,260.625,
1972,34003,NJ,Bergen County,Suburban,Northeast,Middle Atlantic,232.765,884745,581487,252.25,
1972,34003,NJ,Bergen County,Suburban,Northeast,Middle Atlantic,232.765,884745,581487,252.25,
1973,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,879579,583864,243.875,
1974,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,873770,585078,235.5,
1975,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,871593,588647,227.125,
1976,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,865556,588846,218.75,
1977,34003,NJ,Bergen County, suburban,Northeast,Middle Atlantic,232.765,859949,588757,210.375,
1978,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,855005,589023,202,
1979,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,851298,589514,232.8,
1980,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,846120,587468,263.6,
1981,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,846360,588523,294.4,
1982,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,844416,587124,865,
1982,34003,,,,,,,,,325.2,
1983,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,845969,587786,356,456
1983,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,845969,587786,356,456
1984,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,845831,587495,421.5,576
1985,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,842550,584304,487,504
1986,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,840302,582067,550,735
1986,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,840302,582067,550,735
1987,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,835367,575985,710,840
1988,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,831345,570502,825,910
1989,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,826520,562927,900,1008
1990,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,826129,558958,925,1152
1991,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,829599,556981,961,1215
1992,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,837520,558531,953,1133
1993,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,843198,558463,800,1171
1994,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,848392,559119,799,1205
1995,34003,NJ,Bergen County,  SUBURBAN ,Northeast,Middle Atlantic,232.765,855242,561856,822,1365
1996,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,862048,565529,789,1403
1997,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,868897,570419,799,1424
1998,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,875050,574700,700,1653
1999,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,880225,576929,675,1582
2000,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,885180,579277,700,1428
2001,34003,NJ,Bergen County,Suburban,Northeast,Middle Atlantic,232.765,888782,582035,600,1274
2002,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,890647,583767,656,1120
2002,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,890647,583767,656,1120
2003,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,892214,585085,776,1121
2004,34003,NJ,Bergen County,SUBURBAN,Northeast,Middle Atlantic,232.765,893378,586647,898,1120
2005,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,891446,587534,991,1137
2006,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,889406,588618,1012,1137
2007,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,890817,590839,1003,1088
2008,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,895328,594073,993,1032
2009,34003,NJ,Bergen County,Suburban,Northeast,Middle Atlantic,232.765,900319,598047,919,964
2010,34003,NJ,Bergen County,  SUBURBAN ,Northeast,Middle Atlantic,232.765,905147,601407,867,995
2011,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,906879,602702,778,1001
2012,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,914233,608409,777,970
2013,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,921035,611063,852,952
2014,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,927202,614768,938,895
2015,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,933348,617895,760,862
2016,34003,NJ,Bergen County,suburban,Northeast,Middle Atlantic,232.765,938255,620413,,
1970,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,325933,207551,135,
1971,34005,NJ,Burlington County, suburban,Northeast,Middle Atlantic,798.938,337162,215201,140.125,
1972,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,347703,223237,145.25,
1973,34005,NJ,Burlington County,Suburban,Northeast,Middle Atlantic,798.938,340323,219494,150.375,
1974,34005,NJ,Burlington County,SUBURBAN,Northeast,Middle Atlantic,798.938,336671,218880,155.5,
1975,34005,NJ,Burlington County,suburban  ,Northeast,Middle Atlantic,798.938,344487,225881,160.625,
1976,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,353281,236000,165.75,
1977,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,357499,240941,170.875,
1977,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,357499,240941,170.875,
1978,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,358760,243506,690,
1978,34005,,,,,,,,,176,
1979,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,361913,247990,182,
1979,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,361913,247990,182,
1980,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,363658,250440,188,
1981,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,367213,254052,194,
1982,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,370612,257097,200,
1983,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,371605,258170,206,193
1984,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,374538,260597,204,287
1985,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,376097,261796,202,300
1986,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,377938,263265,245,327
1987,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,383434,266244,217,338
1988,34005,NJ,Burlington County,  SUBURBAN ,Northeast,Middle Atlantic,798.938,390534,270114,236,404
1989,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,392766,269854,326,384
1990,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,396180,270797,355,354
1991,34005,NJ,Burlington County,SUBURBAN,Northeast,Middle Atlantic,798.938,399888,271165,369,426
1992,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,400773,269755,392,441
1993,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,402717,269427,335,439
1994,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,407060,270858,375,443
1995,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,411890,273592,368,477
1996,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,415266,275288,386,457
1997,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,417226,276935,400,454
1998,34005,NJ,Burlington County, suburban,Northeast,Middle Atlantic,798.938,418250,277541,461,513
1999,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,420542,279333,500,506
2000,34005,NJ,Burlington County,SUBURBAN,Northeast,Middle Atlantic,798.938,424453,282126,484,514.666666667
2000,34005,NJ,Burlington County,SUBURBAN,Northeast,Middle Atlantic,798.938,424453,282126,484,514.666666667
2001,34005,NJ,Burlington County, suburban,Northeast,Middle Atlantic,798.938,429727,286107,391,523.333333333
2002,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,436445,291200,398,532
2003,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,442434,295307,465,597
2003,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,442434,295307,465,597
2004,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,446548,298982,540,694
2005,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,447245,300509,548,745
2006,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,448373,302211,545.25,716
2007,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,447560,301926,542.5,740
2008,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,446831,300933,539.75,809
2009,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,447391,300972,537,887
2010,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,448738,301831,534.25,852
2011,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,449200,302293,531.5,822
2011,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,449200,302293,531.5,822
2012,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,450486,303370,528.75,770
2013,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,451256,302646,526,752
2014,34005,NJ,Burlington County,  SUBURBAN ,Northeast,Middle Atlantic,798.938,449858,301053,526,771
2015,34005,NJ,Burlington County,  SUBURBAN ,Northeast,Middle Atlantic,798.938,450318,300949,526,744
2016,34005,NJ,Burlington County,suburban,Northeast,Middle Atlantic,798.938,448844,299346,,
1970,34007,NJ,Camden County,suburban,Northeast,Middle Atlantic,221.345,458668,283189,217,
1971,34007,NJ,Camden County,suburban,Northeast,Middle Atlantic,221.345,468199,291432,223.75,
