year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,35001,NM,Bernalillo County, small/mid,West,Mountain,1161.129,318858,197864,254,
1971,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,331208,208169,244.625,
1972,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,339661,216441,235.25,
1973,35001,NM,Bernalillo County, small/mid,West,Mountain,1161.129,353813,228732,225.875,
1974,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,365407,239173,216.5,
1975,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,371718,245744,207.125,
1976,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,380716,254768,197.75,
1977,35001,NM,Bernalillo County,Small/mid,West,Mountain,1161.129,392444,264919,188.375,
1978,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,399594,271602,179,
1979,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,410992,281215,225,
1980,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,422475,290020,271,
1981,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,430029,294740,317,
1982,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,433476,297050,363,
1983,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,441596,302823,409,
1983,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,441596,302823,409,
1984,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,447306,306166,507,
1985,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,452559,309500,605,
1986,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,459936,314542,735,
1987,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,468543,318987,754,
1988,35001,NM,Bernalillo County,  SMALL/MID ,West,Mountain,1161.129,472972,319784,876,
1989,35001,NM,Bernalillo County,  SMALL/MID ,West,Mountain,1161.129,478802,322096,819,
1990,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,482696,323091,928,
1991,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,492880,329609,779,
1992,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,505395,337871,900,
1993,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,515914,343889,876,
1994,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,528842,353658,969,
1995,35001,NM,Bernalillo County,Small/mid,West,Mountain,1161.129,538615,361212,1016,
1996,35001,NM,Bernalillo County, small/mid,West,Mountain,1161.129,544201,366190,1014,
1997,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,547997,368093,1817,
1997,35001,,,,,,,,,1251,
1998,35001,NM,Bernalillo County, small/mid,West,Mountain,1161.129,551298,371383,1368,
1999,35001,NM,Bernalillo County,small/mid  ,West,Mountain,1161.129,553002,372544,1350,
2000,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,557601,376202,1363,
2001,35001,NM,Bernalillo County,Small/mid,West,Mountain,1161.129,564241,381288,1422,
2002,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,576532,391440,1410,
2003,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,587049,399611,1680,
2003,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,587049,399611,1680,
2004,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,600449,410128,2096,
2005,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,615320,420511,2157,
2006,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,628632,429864,2292,
2007,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,638978,436836,2497,
2008,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,646879,440943,2607,
2008,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,646879,440943,2607,
2009,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,655279,444823,2636,
2010,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,662532,448714,2689,
2011,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,663999,449581,2638,
2011,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,663999,449581,2638,
2012,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,669336,452596,2587,
2012,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,669336,452596,2587,
2013,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,672335,452362,2536,
2014,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,673914,451208,2521,
2015,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,673902,449642,2506,
2016,35001,NM,Bernalillo County,small/mid,West,Mountain,1161.129,674100,447779,,
1970,35003,NM,Catron County,Rural,West,Mountain,6924.187,2173,1278,10,
1971,35003,NM,Catron County,rural,West,Mountain,6924.187,2088,1220,9,
1972,35003,NM,Catron County,rural  ,West,Mountain,6924.187,2253,1335,8,
1973,35003,NM,Catron County,rural,West,Mountain,6924.187,2372,1423,7,
1974,35003,NM,Catron County,rural,West,Mountain,6924.187,2445,1484,6,
1974,35003,NM,Catron County,rural,West,Mountain,6924.187,2445,1484,6,
1975,35003,NM,Catron County,rural,West,Mountain,6924.187,2360,1440,5,
1976,35003,NM,Catron County,rural,West,Mountain,6924.187,2456,1491,4,
1977,35003,NM,Catron County,rural,West,Mountain,6924.187,2574,1566,3,
1978,35003,NM,Catron County,rural,West,Mountain,6924.187,2712,1656,2,
1979,35003,NM,Catron County,Rural,West,Mountain,6924.187,2747,1685,2.6,
1980,35003,NM,Catron County,  RURAL ,West,Mountain,6924.187,2717,1667,3.2,
1980,35003,NM,Catron County,  RURAL ,West,Mountain,6924.187,2717,1667,3.2,
1981,35003,NM,Catron County,rural  ,West,Mountain,6924.187,2698,1658,3.8,
1982,35003,NM,Catron County,RURAL,West,Mountain,6924.187,2668,1645,4.4,
1983,35003,NM,Catron County,rural,West,Mountain,6924.187,2733,1696,5,
1984,35003,NM,Catron County,rural,West,Mountain,6924.187,2749,1714,4.6,
1985,35003,NM,Catron County,rural,West,Mountain,6924.187,2597,1620,4.2,
1986,35003,NM,Catron County,rural,West,Mountain,6924.187,2579,1616,3.8,
1987,35003,NM,Catron County,rural,West,Mountain,6924.187,2616,1643,3.4,
1988,35003,NM,Catron County,rural,West,Mountain,6924.187,2618,1637,3,
1989,35003,NM,Catron County, rural,West,Mountain,6924.187,2565,1603,2.8,
1990,35003,NM,Catron County, rural,West,Mountain,6924.187,2580,1622,2.6,
1991,35003,NM,Catron County,rural,West,Mountain,6924.187,2575,1607,2.4,
1992,35003,NM,Catron County,rural,West,Mountain,6924.187,2585,1602,2.2,
1993,35003,NM,Catron County,rural,West,Mountain,6924.187,2704,1663,2,
1994,35003,NM,Catron County,rural,West,Mountain,6924.187,2808,1744,1.833333,
1994,35003,NM,Catron County,rural,West,Mountain,6924.187,2808,1744,1.833333,
1995,35003,NM,Catron County,rural,West,Mountain,6924.187,2897,1818,1.666667,
1996,35003,NM,Catron County,rural,West,Mountain,6924.187,2987,1897,1.5,
1997,35003,NM,Catron County,rural,West,Mountain,6924.187,3186,2049,1.333333,
1998,35003,NM,Catron County,rural,West,Mountain,6924.187,3274,2139,1.166667,
1999,35003,NM,Catron County,rural,West,Mountain,6924.187,3413,2227,1,
2000,35003,NM,Catron County,rural,West,Mountain,6924.187,3567,2315,1.833333,
2001,35003,NM,Catron County,rural,West,Mountain,6924.187,3488,2253,2.666667,
2002,35003,NM,Catron County,rural,West,Mountain,6924.187,3501,2276,3.5,
2003,35003,NM,Catron County,rural,West,Mountain,6924.187,3456,2251,4.333333,
2004,35003,NM,Catron County,rural,West,Mountain,6924.187,3468,2239,5.166667,
2005,35003,NM,Catron County,rural,West,Mountain,6924.187,3425,2182,6,
2006,35003,NM,Catron County,rural,West,Mountain,6924.187,3573,2281,5.875,
2007,35003,NM,Catron County,rural,West,Mountain,6924.187,3638,2284,5.75,
2008,35003,NM,Catron County,rural,West,Mountain,6924.187,3631,2238,5.625,
2009,35003,NM,Catron County,rural,West,Mountain,6924.187,3689,2251,5.5,
2010,35003,NM,Catron County,rural,West,Mountain,6924.187,3729,2226,5.375,
2011,35003,NM,Catron County,rural,West,Mountain,6924.187,3750,2234,5.25,
2012,35003,NM,Catron County, rural,West,Mountain,6924.187,3718,2195,5.125,
2013,35003,NM,Catron County,rural,West,Mountain,6924.187,3637,2073,5,
2014,35003,NM,Catron County,rural,West,Mountain,6924.187,3587,1980,5,
2015,35003,NM,Catron County,rural,West,Mountain,6924.187,3549,1906,5,
2016,35003,NM,Catron County,rural,West,Mountain,6924.187,3480,1796,,
1970,35005,NM,Chaves County,rural,West,Mountain,6067.148,43733,25850,45,
1971,35005,NM,Chaves County,rural,West,Mountain,6067.148,45343,26891,46.125,
1972,35005,NM,Chaves County,Rural,West,Mountain,6067.148,45909,27339,47.25,
