year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,32001,NV,Churchill County,rural,West,Mountain,4930.574,10638,6591,8,
1971,32001,NV,Churchill County,rural,West,Mountain,4930.574,11163,6927,8.875,
1972,32001,NV,Churchill County,rural,West,Mountain,4930.574,11631,7242,9.75,
1973,32001,NV,Churchill County,rural,West,Mountain,4930.574,11851,7400,10.625,
1974,32001,NV,Churchill County,rural,West,Mountain,4930.574,11924,7445,11.5,
1975,32001,NV,Churchill County,rural,West,Mountain,4930.574,11994,7499,12.375,
1976,32001,NV,Churchill County,rural,West,Mountain,4930.574,11963,7511,13.25,
1977,32001,NV,Churchill County,rural,West,Mountain,4930.574,12130,7641,14.125,
1978,32001,NV,Churchill County,rural,West,Mountain,4930.574,12770,8111,15,
1979,32001,NV,Churchill County,Rural,West,Mountain,4930.574,13581,8687,17.6,
1980,32001,NV,Churchill County,rural,West,Mountain,4930.574,13908,8917,20.2,
1981,32001,NV,Churchill County,rural,West,Mountain,4930.574,13895,8910,22.8,
1982,32001,NV,Churchill County,rural,West,Mountain,4930.574,14177,9081,25.4,
1983,32001,NV,Churchill County,rural,West,Mountain,4930.574,14315,9148,28,
1984,32001,NV,Churchill County,rural,West,Mountain,4930.574,14395,9219,29.8,
1985,32001,NV,Churchill County,rural,West,Mountain,4930.574,15031,9617,31.6,36
1985,32001,NV,Churchill County,rural,West,Mountain,4930.574,15031,9617,31.6,36
1986,32001,NV,Churchill County,rural,West,Mountain,4930.574,15716,10061,33.4,48
1987,32001,NV,Churchill County,rural,West,Mountain,4930.574,16423,10489,35.2,39
1987,32001,NV,Churchill County,rural,West,Mountain,4930.574,16423,10489,35.2,39
1988,32001,NV,Churchill County,rural,West,Mountain,4930.574,16987,10792,37,50.7142857143
1989,32001,NV,Churchill County,rural,West,Mountain,4930.574,17555,11126,37.6,62.4285714286
1989,32001,NV,Churchill County,rural,West,Mountain,4930.574,17555,11126,37.6,62.4285714286
1990,32001,NV,Churchill County,rural,West,Mountain,4930.574,18039,11206,38.2,74.1428571429
1991,32001,NV,Churchill County,rural,West,Mountain,4930.574,18637,11733,38.8,85.8571428571
1992,32001,NV,Churchill County,RURAL,West,Mountain,4930.574,18963,11942,39.4,97.5714285714
1992,32001,NV,Churchill County,RURAL,West,Mountain,4930.574,18963,11942,39.4,97.5714285714
1993,32001,NV,Churchill County,rural,West,Mountain,4930.574,19723,12367,40,109.285714286
1994,32001,NV,Churchill County,rural,West,Mountain,4930.574,20519,12896,43.16667,121
1995,32001,NV,Churchill County,rural,West,Mountain,4930.574,21197,13411,46.33333,131
1996,32001,NV,Churchill County,rural,West,Mountain,4930.574,21960,13847,49.5,133
1997,32001,NV,Churchill County,rural,West,Mountain,4930.574,23179,14803,52.66667,152
1998,32001,NV,Churchill County, rural,West,Mountain,4930.574,23503,15004,55.83333,148.333333333
1998,32001,NV,Churchill County, rural,West,Mountain,4930.574,23503,15004,55.83333,148.333333333
1999,32001,NV,Churchill County,RURAL,West,Mountain,4930.574,23859,15199,59,144.666666667
2000,32001,NV,Churchill County,rural,West,Mountain,4930.574,24024,15294,56,141
2001,32001,NV,Churchill County,rural,West,Mountain,4930.574,24342,15530,42,146.285714286
2002,32001,NV,Churchill County,rural,West,Mountain,4930.574,24155,15432,56,151.571428571
2002,32001,NV,Churchill County,rural,West,Mountain,4930.574,24155,15432,56,151.571428571
2003,32001,NV,Churchill County,rural,West,Mountain,4930.574,24026,15455,592,156.857142857
2003,32001,,,,,,,,,52,
2004,32001,NV,Churchill County,Rural,West,Mountain,4930.574,24226,15648,43,162.142857143
2004,32001,NV,Churchill County,Rural,West,Mountain,4930.574,24226,15648,43,162.142857143
2005,32001,NV,Churchill County,rural,West,Mountain,4930.574,24593,16013,44,167.428571429
2006,32001,NV,Churchill County,rural,West,Mountain,4930.574,24842,16138,52,172.714285714
2007,32001,NV,Churchill County,rural,West,Mountain,4930.574,24961,16194,52,178
2008,32001,NV,Churchill County,rural,West,Mountain,4930.574,25049,16099,45,178
2008,32001,NV,Churchill County,rural,West,Mountain,4930.574,25049,16099,45,178
2009,32001,NV,Churchill County,rural,West,Mountain,4930.574,25067,16028,49,185
2010,32001,NV,Churchill County,rural,West,Mountain,4930.574,24877,15960,43,164
2011,32001,NV,Churchill County,rural,West,Mountain,4930.574,24822,15936,33,169
2012,32001,NV,Churchill County,rural,West,Mountain,4930.574,24618,15777,38,170
2013,32001,NV,Churchill County,rural,West,Mountain,4930.574,24278,15517,87,162
2014,32001,NV,Churchill County,rural,West,Mountain,4930.574,23958,15223,48,173
2015,32001,NV,Churchill County,rural,West,Mountain,4930.574,23883,15111,48,189
2016,32001,NV,Churchill County,rural,West,Mountain,4930.574,24024,15105,,
1970,32003,NV,Clark County,urban,West,Mountain,7891.651,277230,178421,365,
1971,32003,NV,Clark County,urban,West,Mountain,7891.651,292999,190198,386.25,
1972,32003,NV,Clark County,urban,West,Mountain,7891.651,307421,201720,407.5,
1973,32003,NV,Clark County,urban,West,Mountain,7891.651,319395,211623,428.75,
1974,32003,NV,Clark County,urban,West,Mountain,7891.651,336925,225340,450,
1975,32003,NV,Clark County,urban  ,West,Mountain,7891.651,351336,236721,471.25,
1975,32003,NV,Clark County,urban  ,West,Mountain,7891.651,351336,236721,471.25,
