year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,287114,179934,267,
1971,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,288615,182058,263.875,
1971,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,288615,182058,263.875,
1972,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,290302,184755,260.75,
1973,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,289754,185949,257.625,
1974,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,289148,187077,254.5,
1975,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,287864,187571,251.375,
1976,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,286519,189174,248.25,
1977,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,286155,190222,245.125,
1978,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,286918,191608,242,
1979,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,286968,192806,267.2,
1979,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,286968,192806,267.2,
1980,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,286290,193240,292.4,
1981,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,286689,194296,317.6,
1982,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,287158,194962,342.8,
1983,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,287776,195633,368,
1984,36001,NY,Albany County,small/mid  ,Northeast,Middle Atlantic,522.815,288455,196428,376.5,
1985,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,289766,197473,385,
1986,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,291010,198439,373,
1987,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,290849,197773,418,852
1987,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,290849,197773,418,852
1988,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,291099,197471,477,866
1989,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,292208,197399,597,798
1990,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,292956,197371,577,843.666666667
1991,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,295530,197921,590,889.333333333
1992,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,296913,197837,618,935
1993,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,298592,198196,614,964
1994,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,300262,198628,661,1035
1995,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,299725,198043,751,1027
1996,36001,NY,Albany County,small/mid  ,Northeast,Middle Atlantic,522.815,297680,196684,727,1066
1997,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,296187,196242,738,1071
1998,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,295097,196387,734,1078
1999,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,294692,196691,733,1204
2000,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,295106,197566,744,1253
2001,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,296232,199611,733,1422
2002,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,298283,202202,793,1520
2003,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,301085,205331,884,1673
2004,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,302173,207405,887,1754
2005,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,302791,209152,828,1768
2006,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,303997,211125,835,1840
2007,36001,NY,Albany County,small/mid,Northeast,Middle Atlantic,522.815,303858,211727,775,1837
2008,36001,NY,Albany County,  SMALL/MID ,Northeast,Middle Atlantic,522.815,303739,211849,713,1777
