year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,39001,OH,Adams County,rural,Midwest,East North Central,583.867,19137,10845,5,
1971,39001,OH,Adams County,rural,Midwest,East North Central,583.867,19872,11164,8.125,
1972,39001,OH,Adams County,rural,Midwest,East North Central,583.867,20692,11563,11.25,
1973,39001,OH,Adams County,rural,Midwest,East North Central,583.867,21845,12201,14.375,
1974,39001,OH,Adams County,rural,Midwest,East North Central,583.867,22521,12724,17.5,
1975,39001,OH,Adams County,rural,Midwest,East North Central,583.867,22250,12599,20.625,
1976,39001,OH,Adams County,rural,Midwest,East North Central,583.867,23179,13714,23.75,
1977,39001,OH,Adams County, rural,Midwest,East North Central,583.867,23545,14049,26.875,
1978,39001,OH,Adams County,rural,Midwest,East North Central,583.867,23933,14524,30,
1979,39001,OH,Adams County,rural,Midwest,East North Central,583.867,23977,14576,27.6,
1980,39001,OH,Adams County,rural,Midwest,East North Central,583.867,24370,14867,25.2,
1981,39001,OH,Adams County,rural,Midwest,East North Central,583.867,24389,14948,22.8,
1982,39001,OH,Adams County,rural,Midwest,East North Central,583.867,24461,15041,20.4,
1983,39001,OH,Adams County,rural  ,Midwest,East North Central,583.867,24112,14851,18,33
1984,39001,OH,Adams County,rural,Midwest,East North Central,583.867,23860,14754,18.4,39
1985,39001,OH,Adams County,RURAL,Midwest,East North Central,583.867,24119,14997,18.8,37
1986,39001,OH,Adams County,rural,Midwest,East North Central,583.867,24306,15213,19.2,40
1987,39001,OH,Adams County,rural,Midwest,East North Central,583.867,24689,15500,19.6,42
1988,39001,OH,Adams County,rural,Midwest,East North Central,583.867,24888,15641,20,34
1989,39001,OH,Adams County,rural,Midwest,East North Central,583.867,25208,15821,21,45
1989,39001,OH,Adams County,rural,Midwest,East North Central,583.867,25208,15821,21,45
1990,39001,OH,Adams County,rural,Midwest,East North Central,583.867,25411,16011,22,55
1991,39001,OH,Adams County,rural,Midwest,East North Central,583.867,25731,16260,23,63
1992,39001,OH,Adams County,rural,Midwest,East North Central,583.867,26044,16477,24,66
1993,39001,OH,Adams County,rural,Midwest,East North Central,583.867,26299,16659,25,63
1994,39001,OH,Adams County,rural,Midwest,East North Central,583.867,26550,16856,25.16667,67
1995,39001,OH,Adams County,rural,Midwest,East North Central,583.867,26823,17124,25.33333,72
1996,39001,OH,Adams County,rural,Midwest,East North Central,583.867,27273,17511,25.5,75
1996,39001,OH,Adams County,rural,Midwest,East North Central,583.867,27273,17511,25.5,75
1997,39001,OH,Adams County, rural,Midwest,East North Central,583.867,27291,17593,25.66667,89
1998,39001,OH,Adams County,rural,Midwest,East North Central,583.867,27422,17732,25.83333,81
1999,39001,OH,Adams County,rural,Midwest,East North Central,583.867,27422,17799,26,86
2000,39001,OH,Adams County,rural,Midwest,East North Central,583.867,27317,17745,27.83333,80
2001,39001,OH,Adams County,rural,Midwest,East North Central,583.867,27522,17843,29.66667,74
2002,39001,OH,Adams County,rural,Midwest,East North Central,583.867,27817,18059,31.5,80
2003,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28111,18276,33.33333,86
2004,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28328,18391,35.16667,79
2005,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28522,18529,37,84.5
2005,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28522,18529,37,84.5
2006,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28615,18574,39.75,90
2007,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28538,18523,42.5,101
2008,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28686,18514,45.25,111
2009,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28500,18406,48,130
2010,39001,OH,Adams County,rural,Midwest,East North Central,583.867,28552,18416,50.75,154
2011,39001,OH,Adams County,rural  ,Midwest,East North Central,583.867,28547,18406,53.5,182
