year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,40001,OK,Adair County,rural,South,West South Central,573.479,15221,8636,18,
1971,40001,OK,Adair County,suburban,South,West South Central,573.479,15536,8810,17.75,
1972,40001,OK,Adair County,suburban,South,West South Central,573.479,16261,9279,17.5,
1973,40001,OK,Adair County,suburban,South,West South Central,573.479,16713,9580,17.25,
1974,40001,OK,Adair County,suburban,South,West South Central,573.479,16772,9648,17,
1975,40001,OK,Adair County,rural,South,West South Central,573.479,17078,9885,16.75,
1976,40001,OK,Adair County,rural,South,West South Central,573.479,17293,10152,16.5,
1977,40001,OK,Adair County,suburban,South,West South Central,573.479,17656,10463,16.25,
1977,40001,OK,Adair County,rural,South,West South Central,573.479,17656,10463,16.25,
1978,40001,OK,Adair County,suburban,South,West South Central,573.479,18176,10905,16,
1978,40001,OK,Adair County,rural,South,West South Central,573.479,18176,10905,16,
1979,40001,OK,Adair County,suburban,South,West South Central,573.479,18692,11294,15.6,
1980,40001,OK,Adair County,rural,South,West South Central,573.479,18456,11163,15.2,
1981,40001,OK,Adair County,  RURAL ,South,West South Central,573.479,18260,11067,14.8,
1982,40001,OK,Adair County,suburban,South,West South Central,573.479,18437,11250,14.4,
1983,40001,OK,Adair County,rural,South,West South Central,573.479,18845,11482,14,
1984,40001,OK,Adair County,rural,South,West South Central,573.479,18368,11168,11,13
1985,40001,OK,Adair County,suburban,South,West South Central,573.479,18357,11140,8,18
1986,40001,OK,Adair County,suburban,South,West South Central,573.479,18555,11286,7,16
1986,40001,OK,Adair County,suburban,South,West South Central,573.479,18555,11286,7,16
1987,40001,OK,Adair County,rural,South,West South Central,573.479,18816,11415,11,12
1988,40001,OK,Adair County,rural,South,West South Central,573.479,18771,11392,9,18
1989,40001,OK,Adair County,suburban,South,West South Central,573.479,18515,11279,10.8,20
1990,40001,OK,Adair County,Rural,South,West South Central,573.479,18444,11264,12.6,21
1991,40001,OK,Adair County,rural,South,West South Central,573.479,18844,11488,14.4,20
1992,40001,OK,Adair County,rural,South,West South Central,573.479,19178,11699,16.2,19
1993,40001,OK,Adair County,suburban,South,West South Central,573.479,19483,11914,18,25
1994,40001,OK,Adair County,suburban,South,West South Central,573.479,19784,12155,19.66667,33
1995,40001,OK,Adair County,rural,South,West South Central,573.479,19933,12302,21.33333,37
1996,40001,OK,Adair County,rural,South,West South Central,573.479,20182,12484,23,41
1997,40001,OK,Adair County,rural,South,West South Central,573.479,20421,12691,24.66667,31
1997,40001,OK,Adair County,rural,South,West South Central,573.479,20421,12691,24.66667,31
1998,40001,OK,Adair County,rural,South,West South Central,573.479,20748,12971,26.33333,38
1999,40001,OK,Adair County,rural,South,West South Central,573.479,20904,13120,28,40
2000,40001,OK,Adair County,Rural,South,West South Central,573.479,21031,13281,34.5,51
2001,40001,OK,Adair County,rural,South,West South Central,573.479,21101,13339,41,60
2002,40001,OK,Adair County,rural,South,West South Central,573.479,21271,13443,47.5,63
2002,40001,OK,Adair County,rural,South,West South Central,573.479,21271,13443,47.5,63
2003,40001,OK,Adair County,suburban,South,West South Central,573.479,21445,13556,54,50
2004,40001,OK,Adair County,rural,South,West South Central,573.479,21589,13650,60.5,43
2005,40001,OK,Adair County,rural,South,West South Central,573.479,21887,13898,67,37
2006,40001,OK,Adair County,rural,South,West South Central,573.479,22215,14100,69,34
2006,40001,OK,Adair County,suburban,South,West South Central,573.479,22215,14100,69,34
2007,40001,OK,Adair County,rural,South,West South Central,573.479,22345,14182,80,41
2008,40001,OK,Adair County,rural,South,West South Central,573.479,22346,14242,85,36
2009,40001,OK,Adair County,rural,South,West South Central,573.479,22477,14339,75,35
2010,40001,OK,Adair County,Rural,South,West South Central,573.479,22683,14473,54,31
2011,40001,OK,Adair County,suburban,South,West South Central,573.479,22738,14509,78,50
2012,40001,OK,Adair County,rural  ,South,West South Central,573.479,22559,14437,77,63
2012,40001,OK,Adair County,rural  ,South,West South Central,573.479,22559,14437,77,63
2013,40001,OK,Adair County,rural,South,West South Central,573.479,22313,14267,68,68
2014,40001,OK,Adair County,rural,South,West South Central,573.479,22309,14187,59,81
2014,40001,OK,Adair County,rural,South,West South Central,573.479,22309,14187,59,81
2015,40001,OK,Adair County,suburban,South,West South Central,573.479,22240,14080,59,
2016,40001,OK,Adair County,rural,South,West South Central,573.479,22109,13927,,
1970,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7219,4198,3,
1971,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7216,4186,3.5,
1972,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7113,4106,4,
1973,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7028,4038,4.5,
1974,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7014,4037,5,
1975,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7182,4169,5.5,
1975,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7182,4169,5.5,
1976,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7246,4235,6,
1977,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7241,4232,6.5,
1978,40003,OK,Alfalfa County, rural,South,West South Central,866.455,7323,4271,7,
1979,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7241,4204,6.2,
1980,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7113,4093,5.4,
1981,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7234,4192,4.6,
1982,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7378,4340,3.8,
1983,40003,OK,Alfalfa County, rural,South,West South Central,866.455,7519,4443,3,
1984,40003,OK,Alfalfa County,rural,South,West South Central,866.455,7323,4330,3.2,9
1985,40003,OK,Alfalfa County,rural  ,South,West South Central,866.455,7196,4262,3.4,11
1986,40003,OK,Alfalfa County,  RURAL ,South,West South Central,866.455,7223,4296,3.6,14
1987,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6981,4146,3.8,12
1988,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6637,3942,4,17
1989,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6573,3916,17,21
1990,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6384,3817,6,21
1991,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6367,3815,7,16
1992,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6327,3823,8,20
1993,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6309,3826,8,21
1994,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6291,3845,7.833333,21
1995,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6275,3847,7.666667,24
1996,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6291,3902,7.5,29
1997,40003,OK,Alfalfa County, rural,South,West South Central,866.455,6247,3899,7.333333,30
1998,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6244,3935,7.166667,32
1999,40003,OK,Alfalfa County,rural,South,West South Central,866.455,6125,3897,7,35
