year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,41001,OR,Baker County,rural,West,Pacific,3067.967,15077,8778,16,
1971,41001,OR,Baker County,rural,West,Pacific,3067.967,15727,9202,16,
1971,41001,OR,Baker County,rural,West,Pacific,3067.967,15727,9202,16,
1972,41001,OR,Baker County,rural,West,Pacific,3067.967,15611,9126,16,
1973,41001,OR,Baker County,rural,West,Pacific,3067.967,15496,9067,16,
1974,41001,OR,Baker County,rural,West,Pacific,3067.967,15211,8911,16,
1975,41001,OR,Baker County,rural,West,Pacific,3067.967,15746,9325,16,
1976,41001,OR,Baker County,rural,West,Pacific,3067.967,15460,9244,543,
1976,41001,,,,,,,,,16,
1977,41001,OR,Baker County,rural,West,Pacific,3067.967,15805,9541,16,
1978,41001,OR,Baker County,rural,West,Pacific,3067.967,15708,9559,16,
1979,41001,OR,Baker County,  RURAL ,West,Pacific,3067.967,16115,9886,16.13333,
1980,41001,OR,Baker County,rural,West,Pacific,3067.967,16158,9911,16.26667,
1981,41001,OR,Baker County,rural,West,Pacific,3067.967,16198,9881,16.4,
1982,41001,OR,Baker County,rural,West,Pacific,3067.967,16376,9938,16.53333,
1983,41001,OR,Baker County,rural,West,Pacific,3067.967,16253,9792,16.66667,8
1984,41001,OR,Baker County,rural,West,Pacific,3067.967,16120,9687,16.8,10
1985,41001,OR,Baker County,rural,West,Pacific,3067.967,15731,9443,16.93333,15
1986,41001,OR,Baker County,rural,West,Pacific,3067.967,15425,9243,17.06667,14
1987,41001,OR,Baker County,rural,West,Pacific,3067.967,15130,9036,17.2,26
1988,41001,OR,Baker County,rural  ,West,Pacific,3067.967,14994,8941,17.33333,17
1989,41001,OR,Baker County,rural,West,Pacific,3067.967,14892,8827,17.46667,15
1990,41001,OR,Baker County,rural,West,Pacific,3067.967,15433,9075,17.6,13
1991,41001,OR,Baker County,rural,West,Pacific,3067.967,15581,9212,17.73333,8
1992,41001,OR,Baker County,rural,West,Pacific,3067.967,15847,9384,17.86667,
1993,41001,OR,Baker County,rural,West,Pacific,3067.967,16172,9673,18,
1994,41001,OR,Baker County,rural,West,Pacific,3067.967,16418,9895,20.33333,
1995,41001,OR,Baker County,rural,West,Pacific,3067.967,16691,10094,22.66667,
1996,41001,OR,Baker County,rural,West,Pacific,3067.967,16652,10129,25,
1996,41001,OR,Baker County,rural,West,Pacific,3067.967,16652,10129,25,
1997,41001,OR,Baker County,  RURAL ,West,Pacific,3067.967,16746,10239,27.33333,
1998,41001,OR,Baker County,rural,West,Pacific,3067.967,16841,10365,29.66667,0
