year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,42001,PA,Adams County,small/mid  ,Northeast,Middle Atlantic,518.688,57273,34712,23,
1971,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,58631,35448,22.875,
1972,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,60816,36849,22.75,
1973,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,62629,38020,22.625,
1974,42001,PA,Adams County,  SMALL/MID ,Northeast,Middle Atlantic,518.688,63523,38919,22.5,
1975,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,63836,39394,22.375,
1976,42001,PA,Adams County,  SMALL/MID ,Northeast,Middle Atlantic,518.688,64437,40873,22.25,
1977,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,65402,41889,22.125,
1977,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,65402,41889,22.125,
1978,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,66233,43086,22,
1979,42001,PA,Adams County,Small/mid,Northeast,Middle Atlantic,518.688,67410,44197,26.8,
1980,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,68563,45203,31.6,
1980,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,68563,45203,31.6,
1981,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,69506,45922,36.4,
1982,42001,PA,Adams County,small/mid  ,Northeast,Middle Atlantic,518.688,70424,46551,41.2,
1983,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,70683,46699,46,45
1984,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,70297,46486,50.6,48
1985,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,71047,46960,55.2,46
1986,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,72502,47925,59.8,52
1987,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,73978,48806,64.4,55
1987,42001,PA,Adams County,small/mid,Northeast,Middle Atlantic,518.688,73978,48806,64.4,55
