year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,44001,RI,Bristol County,  SUBURBAN ,Northeast,New England,24.137,46002,28665,,
1970,44001,RI,Bristol County,  SUBURBAN ,Northeast,New England,24.137,46002,28665,,
1971,44001,RI,Bristol County,SUBURBAN,Northeast,New England,24.137,46263,29066,,
1972,44001,RI,Bristol County,suburban,Northeast,New England,24.137,46703,29670,,
1973,44001,RI,Bristol County,suburban,Northeast,New England,24.137,46849,30083,,
1974,44001,RI,Bristol County,suburban,Northeast,New England,24.137,46695,30255,,
1975,44001,RI,Bristol County,suburban,Northeast,New England,24.137,46707,30532,,
1976,44001,RI,Bristol County,suburban,Northeast,New England,24.137,47176,31199,,
1977,44001,RI,Bristol County,suburban,Northeast,New England,24.137,47763,31863,,
1978,44001,RI,Bristol County,suburban,Northeast,New England,24.137,47734,32017,,
1979,44001,RI,Bristol County,Suburban,Northeast,New England,24.137,46846,31567,,
1980,44001,RI,Bristol County,suburban,Northeast,New England,24.137,46859,31652,,
1981,44001,RI,Bristol County, suburban,Northeast,New England,24.137,46257,31265,,
1982,44001,RI,Bristol County,suburban,Northeast,New England,24.137,46487,31353,,
1983,44001,RI,Bristol County,suburban,Northeast,New England,24.137,47281,31822,,
1984,44001,RI,Bristol County,suburban,Northeast,New England,24.137,47375,31893,,
1985,44001,RI,Bristol County,suburban,Northeast,New England,24.137,47631,32031,,
1986,44001,RI,Bristol County,suburban,Northeast,New England,24.137,48202,32346,,
1987,44001,RI,Bristol County,suburban  ,Northeast,New England,24.137,48461,32400,,
1988,44001,RI,Bristol County,suburban,Northeast,New England,24.137,49269,32791,,
1989,44001,RI,Bristol County,suburban,Northeast,New England,24.137,48866,32311,,
1990,44001,RI,Bristol County,suburban,Northeast,New England,24.137,48915,32176,,
1991,44001,RI,Bristol County,SUBURBAN,Northeast,New England,24.137,49130,32032,,
1992,44001,RI,Bristol County,suburban,Northeast,New England,24.137,49310,31917,,
1993,44001,RI,Bristol County,suburban,Northeast,New England,24.137,49604,31903,,
1994,44001,RI,Bristol County, suburban,Northeast,New England,24.137,49656,31835,,
1995,44001,RI,Bristol County,suburban,Northeast,New England,24.137,49750,31780,,
1996,44001,RI,Bristol County,Suburban,Northeast,New England,24.137,49868,31824,,
1997,44001,RI,Bristol County,suburban,Northeast,New England,24.137,50028,31862,,
1998,44001,RI,Bristol County,  SUBURBAN ,Northeast,New England,24.137,50328,32169,,
1999,44001,RI,Bristol County,suburban,Northeast,New England,24.137,50466,32335,,
2000,44001,RI,Bristol County,suburban,Northeast,New England,24.137,50697,32634,,
2001,44001,RI,Bristol County,suburban,Northeast,New England,24.137,50942,32982,,
