year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,21180,13230,22,
1971,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,21495,13431,22,
1972,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,21547,13480,22,
1973,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,21611,13545,22,
1974,45001,SC,Abbeville County, rural,South,South Atlantic,490.48,21857,13738,22,
1975,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22053,13889,22,
1976,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22234,14150,22,
1977,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22631,14472,22,
1978,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22935,14723,22,
1979,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22874,14682,22,
1980,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22655,14504,22,
1981,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22788,14641,22,
1982,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22962,14746,22,
1983,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22924,14703,22,62
1984,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22979,14749,21.2,57
1985,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22960,14745,20.4,67
1986,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,22832,14669,19.6,64
1987,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,23013,14786,18.8,76
1988,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,23299,14927,18,84
1989,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,23644,15105,21.4,79
1990,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,23958,15324,24.8,97
1991,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,24157,15392,28.2,110
1992,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,24352,15515,31.6,126
1993,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,24487,15596,35,105
1994,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,24680,15689,36.83333,92
1995,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,24941,15877,38.66667,117
1996,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25074,15953,40.5,118
1996,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25074,15953,40.5,118
1997,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25308,16131,42.33333,124
1998,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25670,16425,44.16667,129
1999,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25921,16664,46,135
1999,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25921,16664,46,135
2000,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,26229,16896,48.16667,136
2001,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,26330,16982,50.33333,143
2002,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,26311,16999,52.5,123
2003,45001,SC,Abbeville County,Rural,South,South Atlantic,490.48,26306,17046,620,154
2003,45001,,,,,,,,,54.66667,
2004,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,26235,17006,56.83333,149
2005,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25995,16952,59,127
2006,45001,SC,Abbeville County,Rural,South,South Atlantic,490.48,25821,16863,61,130
2007,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25745,16760,63,141
2008,45001,SC,Abbeville County,rural,South,South Atlantic,490.48,25699,16648,65,143
2009,45001,SC,Abbeville County,RURAL,South,South Atlantic,490.48,25614,16601,67,140
