year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,4236,2389,0,
1971,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,4460,2556,0,
1972,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,4241,2436,0,
1973,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,4108,2377,0,
1974,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,4036,2354,0,
1975,46003,SD,Aurora County,Rural,Midwest,West North Central,708.426,4002,2358,0,
1976,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,4001,2371,0,
1977,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3897,2300,0,
1978,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3804,2248,0,
1979,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3721,2203,0,
1980,46003,SD,Aurora County,RURAL,Midwest,West North Central,708.426,3622,2136,0,
1981,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3606,2117,0,
1981,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3606,2117,0,
1982,46003,SD,Aurora County, rural,Midwest,West North Central,708.426,3553,2070,0,
1983,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3522,2041,0,5
1984,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3509,2027,0,
1985,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3374,1936,0,
1986,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3319,1892,0,
1987,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3304,1880,0,
1988,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3262,1840,0,3.4
1989,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3161,1771,0,4.2
1990,46003,SD,Aurora County,Rural,Midwest,West North Central,708.426,3130,1753,0,5
1991,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3050,1699,0,6
1992,46003,SD,Aurora County,rural  ,Midwest,West North Central,708.426,3033,1679,0,
1993,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3056,1708,0,
1994,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3057,1717,0,8
1995,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3117,1781,0,9
1996,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3064,1762,0,7
1997,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3058,1759,0,10
1998,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3063,1759,0,10
1999,46003,SD,Aurora County,  RURAL ,Midwest,West North Central,708.426,3038,1744,0,12
2000,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,3045,1760,0,16
2001,46003,SD,Aurora County, rural,Midwest,West North Central,708.426,2946,1676,0,16
2002,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,2869,1634,0,22
2002,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,2869,1634,0,22
2003,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,2862,1641,0,19
2004,46003,SD,Aurora County,rural,Midwest,West North Central,708.426,2860,1643,0,13
