year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,47001,TN,Anderson County,small/mid,South,East South Central,337.18,60568,38829,20,
1971,47001,TN,Anderson County,small/mid,South,East South Central,337.18,61674,39659,22,
1972,47001,TN,Anderson County,small/mid,South,East South Central,337.18,61045,39401,24,
1973,47001,TN,Anderson County,small/mid,South,East South Central,337.18,60969,39536,26,
1974,47001,TN,Anderson County,small/mid,South,East South Central,337.18,61556,40229,28,
1974,47001,TN,Anderson County,small/mid,South,East South Central,337.18,61556,40229,28,
1975,47001,TN,Anderson County,small/mid,South,East South Central,337.18,61799,40664,30,
1976,47001,TN,Anderson County,small/mid,South,East South Central,337.18,63359,42120,32,
1977,47001,TN,Anderson County,small/mid,South,East South Central,337.18,65201,43546,34,
1978,47001,TN,Anderson County,small/mid,South,East South Central,337.18,65103,43586,36,
1979,47001,TN,Anderson County,  SMALL/MID ,South,East South Central,337.18,66031,44225,35.6,
1980,47001,TN,Anderson County,small/mid,South,East South Central,337.18,67498,45257,35.2,
1981,47001,TN,Anderson County,small/mid,South,East South Central,337.18,67820,45327,34.8,
1982,47001,TN,Anderson County,small/mid,South,East South Central,337.18,67762,45130,34.4,
1983,47001,TN,Anderson County,small/mid,South,East South Central,337.18,67890,45048,34,124
1984,47001,TN,Anderson County,Small/mid,South,East South Central,337.18,67878,44934,40.5,106
1985,47001,TN,Anderson County,small/mid,South,East South Central,337.18,67396,44573,47,111
1986,47001,TN,Anderson County,small/mid,South,East South Central,337.18,67044,44255,46,120
1987,47001,TN,Anderson County,small/mid  ,South,East South Central,337.18,67545,44492,53,122
1988,47001,TN,Anderson County,small/mid,South,East South Central,337.18,67900,44430,57,129
1989,47001,TN,Anderson County,small/mid,South,East South Central,337.18,68082,44267,65.4,124
1990,47001,TN,Anderson County,small/mid,South,East South Central,337.18,68406,44298,73.8,99
1991,47001,TN,Anderson County,small/mid,South,East South Central,337.18,69292,44726,82.2,100
1991,47001,TN,Anderson County,small/mid,South,East South Central,337.18,69292,44726,82.2,100
1992,47001,TN,Anderson County,small/mid,South,East South Central,337.18,70509,45378,90.6,103
1992,47001,TN,Anderson County,small/mid,South,East South Central,337.18,70509,45378,90.6,103
1993,47001,TN,Anderson County,small/mid,South,East South Central,337.18,70837,45514,99,110
1994,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71151,45791,101,107
1995,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71597,46160,103,94
1996,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71797,46356,105,104
1997,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71736,46346,107,114
1998,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71321,46066,109,129
1998,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71321,46066,109,129
1999,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71454,46096,111,123
2000,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71357,45990,99,133
2001,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71461,46097,116,129
2002,47001,TN,Anderson County,  SMALL/MID ,South,East South Central,337.18,71515,46159,125,126
2003,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71608,46275,152,136
2004,47001,TN,Anderson County,small/mid,South,East South Central,337.18,71587,46327,194,136
2005,47001,TN,Anderson County,small/mid,South,East South Central,337.18,72040,46680,183,124
2006,47001,TN,Anderson County,SMALL/MID,South,East South Central,337.18,73117,47501,201.25,132
