year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,48001,TX,Anderson County,rural,South,West South Central,1062.603,28109,16273,25,
1971,48001,TX,Anderson County,rural,South,West South Central,1062.603,29442,17072,24.375,
1972,48001,TX,Anderson County,rural,South,West South Central,1062.603,30689,17854,23.75,
1973,48001,TX,Anderson County,rural,South,West South Central,1062.603,30651,17729,23.125,
1974,48001,TX,Anderson County,rural,South,West South Central,1062.603,30887,17987,22.5,
1975,48001,TX,Anderson County,rural,South,West South Central,1062.603,32141,18972,21.875,
1976,48001,TX,Anderson County,rural,South,West South Central,1062.603,33456,20664,21.25,
1977,48001,TX,Anderson County,rural,South,West South Central,1062.603,34754,21738,20.625,
1978,48001,TX,Anderson County,rural,South,West South Central,1062.603,36540,22990,20,
1979,48001,TX,Anderson County,rural,South,West South Central,1062.603,37958,24083,22.4,
1980,48001,TX,Anderson County,rural,South,West South Central,1062.603,38861,24746,24.8,
1981,48001,TX,Anderson County,rural,South,West South Central,1062.603,40726,26218,27.2,
1982,48001,TX,Anderson County,rural,South,West South Central,1062.603,41869,27276,29.6,
1983,48001,TX,Anderson County,rural,South,West South Central,1062.603,44380,29205,32,53
1984,48001,TX,Anderson County,rural,South,West South Central,1062.603,45213,29972,32.5,69
1985,48001,TX,Anderson County,rural,South,West South Central,1062.603,46017,30684,33,63
1986,48001,TX,Anderson County,rural,South,West South Central,1062.603,46491,31167,40,73
1987,48001,TX,Anderson County,RURAL,South,West South Central,1062.603,46257,31059,39,82
1988,48001,TX,Anderson County,rural  ,South,West South Central,1062.603,48087,32321,571,103
1988,48001,,,,,,,,,31,
1989,48001,TX,Anderson County,rural,South,West South Central,1062.603,48603,32842,50.4,138
1990,48001,TX,Anderson County,rural,South,West South Central,1062.603,47980,32366,69.8,185
1991,48001,TX,Anderson County,rural,South,West South Central,1062.603,48284,32496,89.2,215
1992,48001,TX,Anderson County,rural,South,West South Central,1062.603,48618,32745,108.6,257
1993,48001,TX,Anderson County,  RURAL ,South,West South Central,1062.603,49763,33804,128,287
1994,48001,TX,Anderson County,rural,South,West South Central,1062.603,50729,34637,123,336
1994,48001,TX,Anderson County,rural,South,West South Central,1062.603,50729,34637,123,336
1995,48001,TX,Anderson County,rural,South,West South Central,1062.603,53094,36911,118,380
1995,48001,TX,Anderson County,rural,South,West South Central,1062.603,53094,36911,118,380
1996,48001,TX,Anderson County,rural,South,West South Central,1062.603,53510,37262,113,405
1997,48001,TX,Anderson County,rural,South,West South Central,1062.603,54051,37976,108,430
1998,48001,TX,Anderson County,rural,South,West South Central,1062.603,54290,38270,103,455
1999,48001,TX,Anderson County,rural,South,West South Central,1062.603,54876,38954,98,480
2000,48001,TX,Anderson County,rural,South,West South Central,1062.603,55062,39319,112,505
2000,48001,TX,Anderson County,rural,South,West South Central,1062.603,55062,39319,112,505
2001,48001,TX,Anderson County,rural,South,West South Central,1062.603,54263,38531,105,530
2002,48001,TX,Anderson County,rural,South,West South Central,1062.603,54740,38851,116,555
2003,48001,TX,Anderson County,rural,South,West South Central,1062.603,56068,40125,115,580
2004,48001,TX,Anderson County,  RURAL ,South,West South Central,1062.603,56245,40323,106,605
2005,48001,TX,Anderson County,rural,South,West South Central,1062.603,56873,40794,113,626
2006,48001,TX,Anderson County,rural,South,West South Central,1062.603,57386,41070,119.5,621
2007,48001,TX,Anderson County,rural,South,West South Central,1062.603,57870,41290,126,597
2008,48001,TX,Anderson County,rural,South,West South Central,1062.603,57963,41190,132.5,560
2009,48001,TX,Anderson County,rural,South,West South Central,1062.603,58410,41461,139,542
2010,48001,TX,Anderson County,rural,South,West South Central,1062.603,58458,41571,145.5,515
2011,48001,TX,Anderson County,rural,South,West South Central,1062.603,58495,41602,152,477
2012,48001,TX,Anderson County,rural,South,West South Central,1062.603,58379,41418,158.5,434
2013,48001,TX,Anderson County,rural,South,West South Central,1062.603,58036,40984,165,433
2014,48001,TX,Anderson County,rural,South,West South Central,1062.603,57960,40804,171.5,446
2015,48001,TX,Anderson County,rural,South,West South Central,1062.603,57837,40664,178,406
2016,48001,TX,Anderson County,rural,South,West South Central,1062.603,57641,40360,,
1970,48003,TX,Andrews County,rural,South,West South Central,1500.721,10491,6723,5,
1971,48003,TX,Andrews County,rural,South,West South Central,1500.721,10998,7048,5.5,
1972,48003,TX,Andrews County,rural,South,West South Central,1500.721,11145,7155,6,
1973,48003,TX,Andrews County,rural,South,West South Central,1500.721,10583,6776,6.5,
