year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,51001,VA,Accomack County,rural,South,South Atlantic,449.324,28908,16906,10,
1971,51001,VA,Accomack County,rural,South,South Atlantic,449.324,28557,16619,11.625,
1971,51001,VA,Accomack County,rural,South,South Atlantic,449.324,28557,16619,11.625,
1972,51001,VA,Accomack County,rural,South,South Atlantic,449.324,28718,16725,13.25,
1972,51001,VA,Accomack County,rural,South,South Atlantic,449.324,28718,16725,13.25,
1973,51001,VA,Accomack County,rural,South,South Atlantic,449.324,29549,17303,14.875,
1974,51001,VA,Accomack County,rural,South,South Atlantic,449.324,30554,18138,16.5,
1975,51001,VA,Accomack County,rural,South,South Atlantic,449.324,30895,18492,18.125,
1976,51001,VA,Accomack County,rural,South,South Atlantic,449.324,30877,18785,19.75,
1977,51001,VA,Accomack County,rural,South,South Atlantic,449.324,30893,18867,21.375,
1978,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31260,19303,550,
1978,51001,,,,,,,,,23,
1979,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31441,19509,23.8,
1980,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31266,19420,24.6,
1981,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31305,19515,25.4,
1982,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31268,19477,26.2,
1983,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31212,19444,27,38
1984,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31077,19396,33.8,52
1985,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31073,19389,40.6,52
1986,51001,VA,Accomack County, rural,South,South Atlantic,449.324,31228,19504,47.4,61
1987,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31567,19687,54.2,67
1988,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31711,19734,61,82
1989,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31868,19720,64.2,87
1990,51001,VA,Accomack County,rural,South,South Atlantic,449.324,31803,19586,67.4,83
1991,51001,VA,Accomack County,  RURAL ,South,South Atlantic,449.324,32520,20027,70.6,99
1991,51001,VA,Accomack County,  RURAL ,South,South Atlantic,449.324,32520,20027,70.6,99
1992,51001,VA,Accomack County,rural,South,South Atlantic,449.324,33215,20429,73.8,108
1993,51001,VA,Accomack County,rural,South,South Atlantic,449.324,33907,20891,77,110
1993,51001,VA,Accomack County,rural,South,South Atlantic,449.324,33907,20891,77,110
1994,51001,VA,Accomack County,rural,South,South Atlantic,449.324,34568,21373,81,129
1995,51001,VA,Accomack County,rural,South,South Atlantic,449.324,35024,21709,79,146
1996,51001,VA,Accomack County,rural,South,South Atlantic,449.324,35680,22179,65,153
1997,51001,VA,Accomack County,rural,South,South Atlantic,449.324,36268,22632,75,160
1998,51001,VA,Accomack County,rural,South,South Atlantic,449.324,37059,23207,80,153
1999,51001,VA,Accomack County,rural,South,South Atlantic,449.324,37614,23655,108,144
2000,51001,VA,Accomack County,rural,South,South Atlantic,449.324,38215,24198,104.8333,244
2001,51001,VA,Accomack County,rural,South,South Atlantic,449.324,37742,23837,101.6667,251
2002,51001,VA,Accomack County,Rural,South,South Atlantic,449.324,37308,23701,98.5,274
2003,51001,VA,Accomack County,rural,South,South Atlantic,449.324,36742,23313,95.33334,282
