year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,50001,VT,Addison County,rural,Northeast,New England,766.328,24308,14692,,
1971,50001,VT,Addison County,rural,Northeast,New England,766.328,24462,14906,,
1972,50001,VT,Addison County,rural,Northeast,New England,766.328,24706,15213,,
1973,50001,VT,Addison County,rural,Northeast,New England,766.328,25727,16047,,
1974,50001,VT,Addison County,rural,Northeast,New England,766.328,26400,16635,,
1975,50001,VT,Addison County,rural,Northeast,New England,766.328,26800,17039,,
1976,50001,VT,Addison County,rural,Northeast,New England,766.328,27132,17476,,
1977,50001,VT,Addison County,rural,Northeast,New England,766.328,27271,17703,,
1978,50001,VT,Addison County,rural,Northeast,New England,766.328,27597,18093,,
1979,50001,VT,Addison County,rural,Northeast,New England,766.328,28482,18818,,
1980,50001,VT,Addison County,Rural,Northeast,New England,766.328,29467,19631,,
1981,50001,VT,Addison County,Rural,Northeast,New England,766.328,29552,19755,,
1982,50001,VT,Addison County,Rural,Northeast,New England,766.328,29928,20055,,
1983,50001,VT,Addison County,rural,Northeast,New England,766.328,30443,20450,,
1984,50001,VT,Addison County,rural,Northeast,New England,766.328,30525,20557,,
1984,50001,VT,Addison County,rural,Northeast,New England,766.328,30525,20557,,
1985,50001,VT,Addison County,rural,Northeast,New England,766.328,30642,20705,,
1986,50001,VT,Addison County,rural,Northeast,New England,766.328,30742,20829,,
1987,50001,VT,Addison County,rural,Northeast,New England,766.328,31353,21264,,
1988,50001,VT,Addison County,rural,Northeast,New England,766.328,31988,21731,,
1989,50001,VT,Addison County,rural  ,Northeast,New England,766.328,32379,21996,,
1990,50001,VT,Addison County,rural,Northeast,New England,766.328,33150,22479,,
1991,50001,VT,Addison County,rural,Northeast,New England,766.328,33454,22554,,
1992,50001,VT,Addison County,  RURAL ,Northeast,New England,766.328,33762,22681,,
1993,50001,VT,Addison County,rural,Northeast,New England,766.328,34140,22904,,
1994,50001,VT,Addison County,rural,Northeast,New England,766.328,34394,23047,,
1995,50001,VT,Addison County,rural,Northeast,New England,766.328,34599,23265,,
1996,50001,VT,Addison County,rural,Northeast,New England,766.328,34930,23537,,
1997,50001,VT,Addison County,Rural,Northeast,New England,766.328,35103,23818,,
