year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,53001,WA,Adams County,rural,West,Pacific,1924.975,12108,7287,0,
1970,53001,WA,Adams County,rural,West,Pacific,1924.975,12108,7287,0,
1971,53001,WA,Adams County,rural,West,Pacific,1924.975,12481,7515,0,
1972,53001,WA,Adams County,rural,West,Pacific,1924.975,12381,7452,0,
1973,53001,WA,Adams County,RURAL,West,Pacific,1924.975,12561,7583,0,
1974,53001,WA,Adams County,rural,West,Pacific,1924.975,12427,7549,0,
1975,53001,WA,Adams County,rural,West,Pacific,1924.975,12659,7759,0,
1976,53001,WA,Adams County,rural,West,Pacific,1924.975,13426,8399,0,
1977,53001,WA,Adams County,rural,West,Pacific,1924.975,13637,8589,0,
1978,53001,WA,Adams County,rural,West,Pacific,1924.975,13607,8587,0,
1979,53001,WA,Adams County,rural,West,Pacific,1924.975,13701,8657,0,
1980,53001,WA,Adams County,rural,West,Pacific,1924.975,13264,8344,0,
1981,53001,WA,Adams County,rural,West,Pacific,1924.975,13202,8269,0,
1982,53001,WA,Adams County,rural,West,Pacific,1924.975,13239,8248,0,
1983,53001,WA,Adams County,rural,West,Pacific,1924.975,13404,8301,5,
1984,53001,WA,Adams County,rural,West,Pacific,1924.975,13534,8359,585,10
1984,53001,,,,,,,,,6.8,
1985,53001,WA,Adams County,rural,West,Pacific,1924.975,13616,8373,8.6,12
1986,53001,WA,Adams County,rural,West,Pacific,1924.975,13487,8275,10.4,6
1987,53001,WA,Adams County,rural,West,Pacific,1924.975,13599,8290,12.2,6
1988,53001,WA,Adams County,rural,West,Pacific,1924.975,13473,8159,14,9
1989,53001,WA,Adams County,rural,West,Pacific,1924.975,13576,8138,14.8,15
1990,53001,WA,Adams County,rural,West,Pacific,1924.975,13636,8065,15.6,16
1991,53001,WA,Adams County,rural,West,Pacific,1924.975,14100,8436,16.4,9
1992,53001,WA,Adams County,rural,West,Pacific,1924.975,14476,8678,17.2,11
1993,53001,WA,Adams County,rural,West,Pacific,1924.975,14932,9055,18,14
1994,53001,WA,Adams County,rural,West,Pacific,1924.975,15646,9539,18.5,13
