year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,55001,WI,Adams County,urban,Midwest,West North Central,645.617,9333,5202,6,
1971,55001,WI,Adams County,rural,Midwest,West North Central,645.617,9742,5476,6.125,
1972,55001,WI,Adams County,rural,Midwest,West North Central,645.617,10317,5875,6.25,
1973,55001,WI,Adams County,rural,Midwest,West North Central,645.617,10888,6273,6.375,
1974,55001,WI,Adams County,rural,Midwest,West North Central,645.617,11240,6582,6.5,
1975,55001,WI,Adams County,urban,Midwest,West North Central,645.617,12011,7199,6.625,
1976,55001,WI,Adams County,rural,Midwest,West North Central,645.617,12457,7700,6.75,
1977,55001,WI,Adams County,rural,Midwest,West North Central,645.617,12496,7776,6.875,
1978,55001,WI,Adams County,urban,Midwest,West North Central,645.617,12939,8145,7,
1979,55001,WI,Adams County,urban,Midwest,West North Central,645.617,13447,8558,7.8,
1980,55001,WI,Adams County,rural,Midwest,West North Central,645.617,13577,8638,8.6,
1981,55001,WI,Adams County,urban,Midwest,West North Central,645.617,14007,8914,9.4,
1982,55001,WI,Adams County,rural,Midwest,West North Central,645.617,14316,9105,10.2,
1983,55001,WI,Adams County,urban,Midwest,West North Central,645.617,14405,9155,11,10
1984,55001,WI,Adams County,rural,Midwest,West North Central,645.617,14538,9246,11.4,11
1985,55001,WI,Adams County,rural,Midwest,West North Central,645.617,14765,9388,11.8,11
1986,55001,WI,Adams County,urban,Midwest,West North Central,645.617,14781,9391,12.2,12
1987,55001,WI,Adams County,urban,Midwest,West North Central,645.617,15029,9527,12.6,12
1988,55001,WI,Adams County,urban,Midwest,West North Central,645.617,15111,9572,13,17
1989,55001,WI,Adams County,Rural,Midwest,West North Central,645.617,15477,9768,14.4,15
1990,55001,WI,Adams County,urban,Midwest,West North Central,645.617,15696,9839,15.8,17
1991,55001,WI,Adams County,rural,Midwest,West North Central,645.617,15954,9906,17.2,21
1992,55001,WI,Adams County,urban,Midwest,West North Central,645.617,16151,9976,18.6,21
1993,55001,WI,Adams County,rural,Midwest,West North Central,645.617,16533,10209,20,21
1994,55001,WI,Adams County,rural,Midwest,West North Central,645.617,17051,10504,28.5,24
1995,55001,WI,Adams County,urban,Midwest,West North Central,645.617,17246,10593,37,23
1996,55001,WI,Adams County,rural,Midwest,West North Central,645.617,17545,10813,45.5,37
1997,55001,WI,Adams County,rural,Midwest,West North Central,645.617,17989,11119,54,39
1998,55001,WI,Adams County,rural,Midwest,West North Central,645.617,18158,11233,62.5,45
1999,55001,WI,Adams County,rural,Midwest,West North Central,645.617,18462,11453,71,62
2000,55001,WI,Adams County,rural,Midwest,West North Central,645.617,20047,12909,73.16666,61
2001,55001,WI,Adams County,urban,Midwest,West North Central,645.617,20337,13041,75.33334,70
2002,55001,WI,Adams County,rural,Midwest,West North Central,645.617,20578,13238,77.5,74
2002,55001,WI,Adams County,rural,Midwest,West North Central,645.617,20578,13238,77.5,74
2003,55001,WI,Adams County,rural,Midwest,West North Central,645.617,20644,13321,79.66666,63
2004,55001,WI,Adams County,urban,Midwest,West North Central,645.617,20774,13405,81.83334,74
2005,55001,WI,Adams County,rural,Midwest,West North Central,645.617,21211,13723,84,84
2006,55001,WI,Adams County,rural,Midwest,West North Central,645.617,21185,13704,81,86
2007,55001,WI,Adams County,rural  ,Midwest,West North Central,645.617,21156,13606,78,89
2007,55001,WI,Adams County,rural  ,Midwest,West North Central,645.617,21156,13606,78,89
2008,55001,WI,Adams County,rural,Midwest,West North Central,645.617,21101,13460,75,94
2009,55001,WI,Adams County,urban,Midwest,West North Central,645.617,20930,13278,72,108
2010,55001,WI,Adams County,rural,Midwest,West North Central,645.617,20875,13219,69,90
2011,55001,WI,Adams County,RURAL,Midwest,West North Central,645.617,20886,13217,66,93
2011,55001,WI,Adams County,RURAL,Midwest,West North Central,645.617,20886,13217,66,93
2012,55001,WI,Adams County,rural,Midwest,West North Central,645.617,20778,13126,63,94
2013,55001,WI,Adams County,rural  ,Midwest,West North Central,645.617,20426,12743,60,90
2013,55001,WI,Adams County,rural  ,Midwest,West North Central,645.617,20426,12743,60,90
2014,55001,WI,Adams County,urban,Midwest,West North Central,645.617,20419,12589,60,74
2015,55001,WI,Adams County,rural,Midwest,West North Central,645.617,20135,12304,60,
2016,55001,WI,Adams County,rural,Midwest,West North Central,645.617,20032,12106,,
1970,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16701,9457,4,
1970,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16701,9457,4,
1971,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16495,9374,3.875,
1972,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16256,9288,3.75,
1973,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16381,9454,3.625,
1974,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16247,9433,3.5,
1975,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16503,9693,3.375,
1976,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16570,9825,3.25,
1977,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16832,10053,3.125,
1978,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16387,9779,3,
1979,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16291,9725,5.2,
1980,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,16907,10196,7.4,
1981,55003,WI,Ashland County,rural,Midwest,West North Central,1044.999,17389,10487,9.6,
1982,55003,WI,Ashland County,RURAL,Midwest,West North Central,1044.999,17363,10456,11.8,
