year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,54001,WV,Barbour County,  RURAL ,South,South Atlantic,341.059,14167,8533,7,
1970,54001,WV,Barbour County,  RURAL ,South,South Atlantic,341.059,14167,8533,7,
1971,54001,WV,Barbour County,rural,South,South Atlantic,341.059,14719,8842,6.625,
1972,54001,WV,Barbour County,rural,South,South Atlantic,341.059,14975,8974,6.25,
1973,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15081,9006,5.875,
1974,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15086,9023,5.5,
1974,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15086,9023,5.5,
1975,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15349,9210,5.125,
1976,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15861,9734,4.75,
1977,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15976,9865,4.375,
1978,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15961,9941,4,
1979,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16158,10108,3.8,
1980,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16670,10429,3.6,
1981,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16734,10502,3.4,
1982,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16734,10512,3.2,
1983,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16737,10528,3,
1984,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16851,10614,4,9
1985,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16752,10592,5,7
1986,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16477,10446,6,4
1987,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16253,10330,7,
1987,54001,WV,Barbour County,rural,South,South Atlantic,341.059,16253,10330,7,
1988,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15966,10150,8,
1989,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15731,10006,8.2,5
1990,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15675,10040,8.4,4
1991,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15572,9978,8.6,4
1992,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15760,10131,8.8,4
1993,54001,WV,Barbour County,  RURAL ,South,South Atlantic,341.059,15806,10206,9,8
1994,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15925,10329,9.5,12
1995,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15948,10327,10,12
1996,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15981,10411,10.5,9
1996,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15981,10411,10.5,9
1997,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15698,10220,11,8
1998,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15735,10308,11.5,10
1999,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15616,10258,12,9
2000,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15560,10249,18.43147,13
2001,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15436,10233,28.30819,17
2002,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15569,10371,38.48103,21
2002,54001,WV,Barbour County,rural,South,South Atlantic,341.059,15569,10371,38.48103,21
