year,fips,state,county_name,urbanicity,region,division,land_area,total_pop,total_pop_15to64,total_jail_pop,total_prison_pop
1970,56001,WY,Albany County,rural,West,Mountain,4274.327,26453,18530,4,
1971,56001,WY,Albany County,rural,West,Mountain,4274.327,26538,18677,5.25,
1972,56001,WY,Albany County,rural,West,Mountain,4274.327,26751,18945,6.5,
1973,56001,WY,Albany County,rural,West,Mountain,4274.327,26717,19049,7.75,
1974,56001,WY,Albany County,rural,West,Mountain,4274.327,27223,19485,9,
1975,56001,WY,Albany County,rural,West,Mountain,4274.327,26884,19319,10.25,
1976,56001,WY,Albany County,rural,West,Mountain,4274.327,27581,20103,11.5,
1977,56001,WY,Albany County,rural,West,Mountain,4274.327,27937,20557,12.75,
1978,56001,WY,Albany County,rural,West,Mountain,4274.327,28119,20733,14,
1979,56001,WY,Albany County,rural,West,Mountain,4274.327,28772,21296,13.4,
1980,56001,WY,Albany County,rural,West,Mountain,4274.327,29237,21684,12.8,
1981,56001,WY,Albany County,rural,West,Mountain,4274.327,29793,22065,12.2,
1982,56001,WY,Albany County,rural,West,Mountain,4274.327,30607,22666,11.6,
1983,56001,WY,Albany County,rural,West,Mountain,4274.327,30943,22744,11,
1984,56001,WY,Albany County,rural,West,Mountain,4274.327,30899,22681,11.2,
1985,56001,WY,Albany County,rural,West,Mountain,4274.327,30644,22519,11.4,
1986,56001,WY,Albany County,rural,West,Mountain,4274.327,30550,22441,11.6,
1986,56001,WY,Albany County,rural,West,Mountain,4274.327,30550,22441,11.6,
1987,56001,WY,Albany County,rural,West,Mountain,4274.327,30456,22291,11.8,
1988,56001,WY,Albany County,rural,West,Mountain,4274.327,30552,22435,12,
1989,56001,WY,Albany County,rural,West,Mountain,4274.327,30844,22755,12.8,
1990,56001,WY,Albany County,rural,West,Mountain,4274.327,30879,22878,13.6,
1991,56001,WY,Albany County,rural,West,Mountain,4274.327,31285,23278,14.4,
1992,56001,WY,Albany County,rural,West,Mountain,4274.327,31566,23575,15.2,
1992,56001,WY,Albany County,rural,West,Mountain,4274.327,31566,23575,15.2,
1993,56001,WY,Albany County,rural,West,Mountain,4274.327,32227,24171,16,
1993,56001,WY,Albany County,rural,West,Mountain,4274.327,32227,24171,16,
1994,56001,WY,Albany County,rural,West,Mountain,4274.327,32526,24559,21.66667,
1995,56001,WY,Albany County,rural,West,Mountain,4274.327,32742,24842,27.33333,
1996,56001,WY,Albany County,rural,West,Mountain,4274.327,32879,25026,33,
1997,56001,WY,Albany County,rural,West,Mountain,4274.327,32264,24588,38.66667,
1998,56001,WY,Albany County,rural,West,Mountain,4274.327,32180,24627,44.33333,
1999,56001,WY,Albany County,rural,West,Mountain,4274.327,32192,24653,50,
2000,56001,WY,Albany County,rural,West,Mountain,4274.327,31966,24538,46,
2001,56001,WY,Albany County,rural,West,Mountain,4274.327,32419,25035,49,
2002,56001,WY,Albany County,rural,West,Mountain,4274.327,32675,25352,59,
2003,56001,WY,Albany County,rural,West,Mountain,4274.327,33098,25763,60,
2004,56001,WY,Albany County,rural,West,Mountain,4274.327,33580,26097,58,
2005,56001,WY,Albany County,rural,West,Mountain,4274.327,33631,26158,70,95
2006,56001,WY,Albany County,rural,West,Mountain,4274.327,33950,26492,66.75,108
2007,56001,WY,Albany County,rural,West,Mountain,4274.327,33858,26351,63.5,112
2008,56001,WY,Albany County,rural,West,Mountain,4274.327,34643,26912,60.25,122
2009,56001,WY,Albany County,rural,West,Mountain,4274.327,35743,27642,57,107
2010,56001,WY,Albany County,rural,West,Mountain,4274.327,36299,28050,53.75,109
2011,56001,WY,Albany County,rural,West,Mountain,4274.327,36433,28136,50.5,105
2012,56001,WY,Albany County,rural,West,Mountain,4274.327,36883,28470,47.25,107
2013,56001,WY,Albany County,Rural,West,Mountain,4274.327,37332,28711,44,119
2014,56001,WY,Albany County,rural,West,Mountain,4274.327,37573,28832,44,130
2015,56001,WY,Albany County,rural  ,West,Mountain,4274.327,37793,28752,44,
2015,56001,WY,Albany County,rural  ,West,Mountain,4274.327,37793,28752,44,
2016,56001,WY,Albany County,rural,West,Mountain,4274.327,38036,28764,,
1970,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10263,5934,0,
1971,56003,WY,Big Horn County,rural  ,West,Mountain,3136.501,10505,6108,0,
1972,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10426,6086,0,
1973,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10619,6258,0,
1974,56003,WY,Big Horn County,Rural,West,Mountain,3136.501,10599,6247,0,
1975,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10898,6439,0,
1976,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11290,6706,0,
1977,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11444,6787,0,
1978,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11656,6940,3,
1979,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11843,7023,3.8,
1980,56003,WY,Big Horn County,rural,West,Mountain,3136.501,12036,7104,4.6,
1981,56003,WY,Big Horn County,rural,West,Mountain,3136.501,12547,7393,5.4,
1981,56003,WY,Big Horn County,rural,West,Mountain,3136.501,12547,7393,5.4,
1982,56003,WY,Big Horn County,rural,West,Mountain,3136.501,12792,7552,6.2,
1982,56003,WY,Big Horn County,rural,West,Mountain,3136.501,12792,7552,6.2,
1983,56003,WY,Big Horn County,rural,West,Mountain,3136.501,12688,7417,7,
1984,56003,WY,Big Horn County,rural,West,Mountain,3136.501,12288,7167,7.2,
1985,56003,WY,Big Horn County,rural,West,Mountain,3136.501,12166,7105,7.4,
1986,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11911,6943,7.6,
1987,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11376,6568,7.8,
1988,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11087,6393,8,
1989,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10836,6244,10.12,
1990,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10487,6006,12.24,
1991,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10582,6088,14.36,
1992,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10708,6189,16.48,
1993,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10770,6251,18.6,
1994,56003,WY,Big Horn County,rural,West,Mountain,3136.501,10950,6387,20.72,
1995,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11228,6615,22.84,
1995,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11228,6615,22.84,
1996,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11334,6769,24.96,
1997,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11255,6721,27.08,
1998,56003,WY,Big Horn County, rural,West,Mountain,3136.501,11520,6928,29.2,
1999,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11480,6876,31.32,
1999,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11480,6876,31.32,
2000,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11398,6832,33.44,
2001,56003,WY,Big Horn County,rural,West,Mountain,3136.501,11209,6756,35.56,
