meter_id,timestamp,register_kwh
M-A,2024-07-20T12:00:00-05:00,100.000
M-B,2024-07-20T12:00:00-05:00,500.000
M-A,2024-07-20T12:15:00-05:00,100.750
M-B,2024-07-20T12:15:00-05:00,500.400
M-A,2024-07-20T12:30:00-05:00,101.500
M-B,2024-07-20T12:30:00-05:00,500.800
M-A,2024-07-20T12:45:00-05:00,102.250
M-B,2024-07-20T12:45:00-05:00,501.200
M-A,2024-07-20T13:00:00-05:00,103.000
M-B,2024-07-20T13:00:00-05:00,501.600
M-A,2024-07-20T13:15:00-05:00,103.750
M-B,2024-07-20T13:15:00-05:00,502.000
M-A,2024-07-20T13:30:00-05:00,104.500
M-B,2024-07-20T13:30:00-05:00,502.400
M-A,2024-07-20T13:45:00-05:00,105.250
M-B,2024-07-20T13:45:00-05:00,502.800
M-A,2024-07-20T14:00:00-05:00,106.000
M-B,2024-07-20T14:00:00-05:00,503.200
